ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
152.7622870,-57.8038639,b'10h11m02.95s',b'-57d48m13.91s',0.0082,0.0137,0.0060,3.110,0.015,73.6,75.270,2.531,0.008,143.1,80.460,1,0,b'0000',b'AA',5,57560.40243124,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.056256,67.022101
152.7623006,-57.8038707,b'10h11m02.95s',b'-57d48m13.93s',0.0235,0.0253,-0.0158,1.531,,1.1,0.037,2.046,0.014,80.0,70.980,1,0,b'hh00',b'UA',5,58852.18205584,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.077938,91.853392
152.7622142,-57.8038785,b'10h11m02.93s',b'-57d48m13.96s',0.0107,0.0115,0.0039,5.816,0.016,67.3,1418.000,1.872,0.007,154.2,173.600,1,0,b'dh00',b'AA',5,57757.17679039,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.093024,250.795925
152.7623326,-57.8039034,b'10h11m02.96s',b'-57d48m14.05s',0.0141,0.0090,0.0052,2.398,0.121,9.0,0.875,2.071,0.007,159.1,167.600,1,0,b'0000',b'BA',5,57028.81800225,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.183979,130.808545
152.7621780,-57.8039062,b'10h11m02.92s',b'-57d48m14.06s',0.0090,0.0085,-0.0021,2.222,0.391,2.8,0.140,2.337,0.006,184.2,140.200,1,0,b'hh00',b'CA',5,57921.02461648,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.204272,230.356751
152.7621954,-57.8039227,b'10h11m02.93s',b'-57d48m14.12s',0.0122,0.0159,0.0000,3.246,0.033,33.1,14.550,2.605,0.008,133.0,98.870,1,0,b'0000',b'AA',5,57392.81413163,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.226592,213.149837
152.7621434,-57.8038540,b'10h11m02.91s',b'-57d48m13.87s',0.0114,0.0107,-0.0059,2.749,0.066,16.5,2.197,1.789,0.008,143.9,123.700,1,0,b'0000',b'AA',5,58851.85556116,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.230949,284.441965
152.7622547,-57.8039367,b'10h11m02.94s',b'-57d48m14.17s',0.0094,0.0112,-0.0047,2.990,0.110,9.9,0.484,2.223,0.006,184.8,158.800,1,0,b'0000',b'BA',5,57393.14190069,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.24033,182.424334
152.7621339,-57.8038647,b'10h11m02.91s',b'-57d48m13.91s',0.0214,0.0148,-0.0081,3.057,0.153,7.1,1.344,2.576,0.011,101.4,62.170,1,0,b'0000',b'BA',5,56664.05092537,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.242638,274.510244
152.7623856,-57.8038861,b'10h11m02.97s',b'-57d48m13.99s',0.0150,0.0103,0.0052,2.898,0.121,9.0,0.452,2.512,0.007,161.7,178.300,1,0,b'g000',b'BA',5,57197.63002253,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.2478,103.527114
152.7622612,-57.8039441,b'10h11m02.94s',b'-57d48m14.20s',0.0054,0.0037,0.0032,2.351,0.307,3.5,0.228,1.982,0.002,439.3,1369.000,1,0,b'hh00',b'BA',5,58126.96913662,1523057601351018160,3.750,0.412,3.400,0.257,3.638,0.032,3.187,0.025,790806364,5.150,0.0203,4.486,0.2062,3.915,0.0362,0.266765,179.505628
