ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
111.4053399,29.9541419,b'07h25m37.28s',b'29d57m14.91s',0.0325,0.0316,-0.0093,10.645,0.018,62.0,48.890,9.488,0.016,67.9,14.530,1,0,b'0000',b'AA',10,57308.53499918,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.098032,276.003478
111.4053298,29.9541443,b'07h25m37.28s',b'29d57m14.92s',0.0909,0.0925,-0.0159,10.860,0.042,26.1,4.328,9.148,0.040,27.5,6.074,1,0,b'0000',b'AA',0,58557.90308354,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.130277,276.272036
111.4053171,29.9541676,b'07h25m37.28s',b'29d57m15.00s',0.0318,0.0341,-0.0090,10.582,0.019,57.0,39.480,9.486,0.016,68.6,12.230,1,0,b'0000',b'AA',5,58036.88090693,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.181465,280.108499
111.4053117,29.9540774,b'07h25m37.27s',b'29d57m14.68s',0.0304,0.0351,-0.0130,10.700,0.019,56.0,64.890,9.621,0.015,72.1,47.570,1,0,b'0000',b'AA',0,58193.68795296,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.185791,264.320117
111.4053094,29.9541733,b'07h25m37.27s',b'29d57m15.02s',0.0315,0.0313,-0.0081,10.599,0.018,59.1,47.440,9.435,0.015,70.3,6.921,1,0,b'0000',b'AA',10,58039.30312882,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.208814,280.86624
111.4053020,29.9541259,b'07h25m37.27s',b'29d57m14.85s',0.0343,0.0328,-0.0129,10.662,0.016,68.2,41.330,9.492,0.017,62.4,8.451,1,0,b'0000',b'AA',10,58194.27702109,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.211577,272.708001
111.4053253,29.9542286,b'07h25m37.28s',b'29d57m15.22s',0.0310,0.0317,-0.0115,10.631,0.016,66.8,45.480,9.622,0.017,63.0,18.270,1,0,b'0000',b'AA',10,57308.14139700,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.215035,290.572912
111.4053018,29.9541501,b'07h25m37.27s',b'29d57m14.94s',0.0318,0.0305,-0.0157,10.703,0.017,65.0,57.790,9.439,0.016,69.1,8.597,1,0,b'0000',b'AA',10,56946.63891969,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.219423,276.798942
111.4052990,29.9541344,b'07h25m37.27s',b'29d57m14.88s',0.0316,0.0311,-0.0114,10.669,0.016,70.0,44.700,9.499,0.016,67.4,10.960,1,0,b'0000',b'AA',5,58561.36998756,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.222738,274.119699
111.4053008,29.9541583,b'07h25m37.27s',b'29d57m14.97s',0.0301,0.0304,-0.0111,10.637,0.017,62.2,45.300,9.429,0.014,75.5,8.441,1,0,b'0000',b'AA',5,56942.89060466,1113130201351018045,10.583,0.023,9.429,0.019,6.116,0.014,3.386,0.023,874248387,12.992,0.0370,12.249,0.0520,11.763,0.0400,1.226357,278.151304
