source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09282a254',55486.59512370,11.749,0.030,15.210,11.053,0.026,7.364,,,,,,,1.0,70,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09286a254',55486.72742770,11.827,0.030,16.980,11.039,0.027,7.061,,,,,,,1.0,53,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03789b049',55304.90256670,11.395,0.021,16.330,10.689,0.022,8.920,7.725,0.028,0.981,5.020,0.050,0.897,1.0,115,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03792a025',55304.96878250,11.398,0.027,16.230,10.736,0.021,7.265,7.742,0.030,1.004,5.014,0.059,0.907,1.0,99,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09279a231',55486.46281970,11.711,0.039,14.520,10.968,0.025,5.863,,,,,,,1.0,92,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09279a232',55486.46294710,11.752,0.029,15.260,10.961,0.033,5.774,,,,,,,1.0,92,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03788a024',55304.83635100,11.285,0.028,21.700,10.763,0.024,6.559,7.763,0.029,1.071,5.118,0.069,0.904,1.0,133,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03788a025',55304.83647830,11.404,0.021,16.020,10.690,0.025,8.872,7.748,0.039,1.018,5.048,0.057,0.869,1.0,133,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03816a025',55305.76260830,11.457,0.029,14.610,10.713,0.021,8.011,7.704,0.025,1.001,5.068,0.057,0.864,1.0,114,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09209a179',55484.14820000,11.701,0.024,14.370,11.020,0.026,6.671,,,,,,,1.0,94,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03781b049',55304.63795830,11.340,0.021,18.610,10.751,0.023,6.852,7.737,0.031,0.992,5.060,0.071,0.865,1.0,83,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03785b049',55304.77026250,11.390,0.021,16.500,10.706,0.024,8.242,7.728,0.026,0.982,5.002,0.056,0.930,1.0,116,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09202a252',55483.94980760,11.696,0.033,14.290,10.985,0.036,6.093,,,,,,,1.0,55,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09198a251',55483.81750360,11.781,0.026,15.870,11.009,0.023,6.470,,,,,,,1.0,47,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03777b049',55304.50565410,11.408,0.024,15.880,10.736,0.023,7.271,7.729,0.028,0.983,5.117,0.052,0.903,1.0,58,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03824a025',55306.02721660,11.410,0.022,15.820,10.700,0.030,8.486,7.663,0.023,1.195,5.107,0.050,0.889,1.0,86,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03828a025',55306.15952080,11.416,0.026,15.640,10.716,0.026,7.911,7.710,0.028,0.989,5.047,0.056,0.870,1.0,67,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03817b049',55305.82869670,11.416,0.020,15.640,10.740,0.020,7.144,7.729,0.026,0.983,5.116,0.063,0.901,1.0,132,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03820a025',55305.89491240,11.416,0.029,15.660,10.704,0.021,8.340,7.677,0.027,1.104,5.071,0.064,0.864,1.0,117,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09325a231',55487.98399730,11.772,0.031,15.680,10.944,0.031,5.595,,,,,,,1.0,61,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09333a230',55488.24847780,11.730,0.028,14.850,11.018,0.026,6.642,,,,,,,1.0,120,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09321a230',55487.85169330,11.705,0.027,14.430,10.963,0.028,5.796,,,,,,,1.0,49,b'0011',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09322a254',55487.91778160,11.668,0.035,13.920,11.029,0.030,6.843,,,,,,,1.0,51,b'0011',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09317a230',55487.71938930,11.742,0.033,15.060,11.059,0.030,7.494,,,,,,,1.0,54,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09318a255',55487.78560490,11.706,0.029,14.440,11.044,0.026,7.152,,,,,,,1.0,48,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09313a231',55487.58721260,11.743,0.032,15.090,11.008,0.027,6.459,,,,,,,1.0,72,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09314a254',55487.65330090,11.699,0.027,14.340,11.037,0.027,7.004,,,,,,,0.5,64,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09337a230',55488.38078180,11.711,0.029,14.520,11.031,0.028,6.896,,,,,,,1.0,111,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09310a254',55487.52099690,11.730,0.024,14.840,11.058,0.029,7.466,,,,,,,1.0,80,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03813b049',55305.69639250,11.463,0.023,14.480,10.714,0.021,7.961,7.725,0.028,0.981,5.016,0.045,0.903,1.0,97,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09207a177',55484.08211160,11.682,0.027,14.100,11.022,0.025,6.718,,,,,,,1.0,80,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09306a255',55487.38882030,11.651,0.032,13.750,11.091,0.034,8.264,,,,,,,1.0,109,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09309a230',55487.45490860,11.740,0.028,15.040,11.074,0.030,7.852,,,,,,,1.0,93,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03809b049',55305.56408820,11.441,0.022,14.980,10.750,0.029,6.881,7.709,0.027,0.991,5.169,0.066,1.013,1.0,68,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03812a025',55305.63030400,11.366,0.021,17.430,10.724,0.021,7.632,7.737,0.028,0.993,5.073,0.066,0.865,1.0,82,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09305a230',55487.32260460,11.793,0.032,16.150,11.001,0.027,6.345,,,,,,,1.0,127,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09306a254',55487.38869300,11.799,0.032,16.290,11.062,0.026,7.555,,,,,,,1.0,109,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03808a024',55305.49787250,11.407,0.025,15.920,10.719,0.023,7.792,7.734,0.030,0.989,5.076,0.046,0.866,1.0,57,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03808a025',55305.49799980,11.374,0.023,17.090,10.694,0.026,8.705,7.699,0.030,1.012,5.067,0.057,0.864,1.0,57,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09301a230',55487.19030070,11.781,0.033,15.870,10.994,0.026,6.229,,,,,,,1.0,105,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09302a254',55487.25651630,11.772,0.030,15.670,11.067,0.027,7.675,,,,,,,1.0,123,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03804a024',55305.36556770,11.391,0.024,16.460,10.703,0.023,8.377,7.745,0.029,1.011,5.015,0.043,0.905,1.0,48,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03805b049',55305.43178350,11.418,0.021,15.590,10.762,0.023,6.596,7.732,0.029,0.986,5.100,0.054,0.881,1.0,49,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09293a230',55486.92582010,11.751,0.027,15.240,10.938,0.034,5.539,,,,,,,0.5,52,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09294a254',55486.99190840,11.819,0.034,16.770,10.987,0.029,6.113,,,,,,,1.0,61,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03800a024',55305.23326350,11.370,0.022,17.280,10.719,0.021,7.792,7.744,0.027,1.008,5.063,0.045,0.864,1.0,58,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03801b049',55305.29947930,11.426,0.022,15.370,10.727,0.024,7.552,7.717,0.027,0.982,5.083,0.044,0.869,1.0,49,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09289a230',55486.79351610,11.760,0.029,15.430,11.026,0.027,6.792,,,,,,,1.0,48,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'09290a255',55486.85973170,11.744,0.037,15.110,10.989,0.026,6.155,,,,,,,1.0,49,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03793b049',55305.03487090,11.434,0.023,15.150,10.727,0.024,7.528,7.769,0.030,1.103,5.078,0.044,0.866,1.0,84,b'0000',0.088175,5.182849
b'2871p424_ac51-038093',286.3580830,42.4610344,b'19h05m25.94s',b'42d27m39.72s',1,0,b'0000',b'03797b049',55305.16717510,11.374,0.023,17.110,10.688,0.024,8.955,7.695,0.025,1.025,5.063,0.073,0.864,1.0,66,b'0000',0.088175,5.182849
