source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'08184a135',55450.24310470,10.132,0.032,9.595,9.663,0.023,3.346,,,,,,,1.0,33,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'08188a134',55450.37528150,10.119,0.030,9.647,9.649,0.025,3.263,,,,,,,1.0,25,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'08177b159',55450.04458490,10.140,0.026,9.574,9.596,0.028,3.276,,,,,,,1.0,63,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'08180a135',55450.11080060,10.168,0.025,9.583,9.635,0.026,3.216,,,,,,,1.0,50,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'02398a144',55258.89907560,10.135,0.023,9.586,9.618,0.028,3.208,6.306,0.016,1.410,3.554,0.019,6.756,1.0,24,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'08176a134',55449.97849650,10.101,0.023,9.772,9.626,0.021,3.205,,,,,,,1.0,81,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'02394a144',55258.76677160,10.176,0.030,9.609,9.574,0.023,3.448,6.291,0.022,1.407,3.546,0.032,6.720,1.0,26,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'02397a120',55258.83286000,10.150,0.029,9.564,9.586,0.028,3.344,6.296,0.016,1.402,3.522,0.023,6.656,1.0,22,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'02390a143',55258.63434020,10.143,0.023,9.569,9.652,0.020,3.278,6.322,0.016,1.485,3.499,0.023,6.658,1.0,43,b'0000',0.250228,100.947497
b'0770p166_ac51-052265',77.0821115,17.3633468,b'05h08m19.71s',b'17d21m48.05s',1,0,b'000d',b'02393a120',55258.70055590,10.137,0.021,9.581,9.604,0.017,3.243,6.303,0.018,1.406,3.514,0.036,6.649,1.0,36,b'0000',0.250228,100.947497
