ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
77.0820444,17.3633711,b'05h08m19.69s',b'17d21m48.14s',0.0337,0.0301,-0.0083,10.295,0.016,65.9,31.770,10.026,0.019,57.8,8.190,1,0,b'0000',b'AA',10,59100.35606899,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.0427,20.723291
77.0820545,17.3633626,b'05h08m19.69s',b'17d21m48.11s',0.0309,0.0297,-0.0070,10.110,0.015,70.9,26.690,9.613,0.017,62.9,6.587,1,0,b'0000',b'AA',10,58004.87005490,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.050691,79.359788
77.0820563,17.3633594,b'05h08m19.69s',b'17d21m48.09s',0.0332,0.0299,-0.0115,10.256,0.015,71.7,26.220,9.824,0.016,68.0,5.253,1,0,b'0000',b'AA',10,57640.76626619,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.056088,92.208645
77.0820580,17.3633578,b'05h08m19.69s',b'17d21m48.09s',0.0289,0.0257,-0.0055,9.748,0.016,67.8,13.760,9.114,0.014,75.3,2.977,1,0,b'0000',b'AA',10,56911.71938988,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.062387,97.297442
77.0820502,17.3633810,b'05h08m19.69s',b'17d21m48.17s',0.0291,0.0255,-0.0080,9.781,0.015,71.9,14.200,9.146,0.014,76.1,4.966,1,0,b'0000',b'AA',10,56911.45631331,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.083328,24.871538
77.0820570,17.3633782,b'05h08m19.69s',b'17d21m48.16s',0.0317,0.0296,0.0072,10.151,0.018,60.7,25.860,9.659,0.016,68.7,6.788,1,0,b'0000',b'AA',10,58372.36812169,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.087799,41.717058
77.0820501,17.3633360,b'05h08m19.69s',b'17d21m48.01s',0.0282,0.0278,0.0115,9.804,0.020,54.5,24.040,9.134,0.014,79.9,8.611,1,0,b'0000',b'AA',10,56911.58784981,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.093125,158.116813
77.0820647,17.3633730,b'05h08m19.70s',b'17d21m48.14s',0.0341,0.0277,-0.0048,10.309,0.016,67.2,33.340,10.036,0.016,67.5,11.440,1,0,b'0000',b'AA',10,59100.22529316,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.096903,61.125705
77.0820606,17.3633795,b'05h08m19.69s',b'17d21m48.17s',0.0285,0.0280,-0.0069,9.939,0.016,67.6,17.640,9.334,0.016,66.2,3.213,1,0,b'0000',b'AA',10,57082.50859515,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.09969,45.235967
77.0820662,17.3633719,b'05h08m19.70s',b'17d21m48.14s',0.0310,0.0281,-0.0070,10.246,0.015,74.5,29.510,9.806,0.016,69.7,6.337,1,0,b'0000',b'AA',10,58736.51950689,770116601351052265,10.152,0.023,9.624,0.019,6.297,0.015,3.511,0.022,1217648209,12.541,0.0640,11.712,0.0790,11.131,0.0510,0.09969,64.550973
