ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
291.1382826,50.2441039,b'19h24m33.19s',b'50d14m38.77s',0.3665,0.7667,-0.3749,0.884,0.121,9.0,16.610,0.528,,-1.5,0.335,1,0,b'hd00',b'BU',0,58404.67323110,,,,,,,,,,,,,,,,,0.261797,204.635977
291.1384497,50.2441706,b'19h24m33.23s',b'50d14m39.01s',1.3972,2.5955,-1.3465,-0.406,,1.2,0.190,0.861,,-3.1,2.472,1,0,b'hh00',b'UU',10,57877.18943532,,,,,,,,,,,,,,,,,0.275596,89.550879
291.1385187,50.2440918,b'19h24m33.24s',b'50d14m38.73s',16.1274,11.2232,-6.5762,-0.333,,0.6,0.166,-0.812,,-0.1,0.599,1,0,b'dh00',b'UU',5,58608.09794422,,,,,,,,,,,,,,,,,0.517678,122.943601
291.1385249,50.2445573,b'19h24m33.25s',b'50d14m40.41s',16.6597,12.8611,-6.2317,0.469,,0.3,0.524,-1.052,,-0.3,0.062,1,0,b'dd00',b'UU',5,56783.34994881,,,,,,,,,,,,,,,,,1.464704,17.839208
291.1376842,50.2442377,b'19h24m33.04s',b'50d14m39.26s',8.7227,6.5153,-2.5531,-0.197,,1.0,0.267,-0.587,,-0.5,0.070,1,0,b'hh00',b'UU',10,59136.10602639,,,,,,,,,,,,,,,,,1.506643,279.309525
291.1391355,50.2441911,b'19h24m33.39s',b'50d14m39.09s',18.5235,12.2863,-6.5943,0.197,,0.5,0.257,-0.250,,-1.2,0.165,1,0,b'dh00',b'UU',10,57324.97893523,,,,,,,,,,,,,,,,,1.856026,87.65414
291.1385244,50.2436619,b'19h24m33.25s',b'50d14m37.18s',9.2434,7.6362,-4.0687,0.578,,1.2,0.223,0.155,,-2.7,0.126,1,0,b'hh00',b'UU',10,58405.39307221,,,,,,,,,,,,,,,,,1.88312,166.250826
291.1391524,50.2441422,b'19h24m33.40s',b'50d14m38.91s',12.0769,9.1180,-3.9629,-0.209,,0.5,0.112,0.421,,-2.6,0.147,1,0,b'dd00',b'UU',10,57683.98073109,,,,,,,,,,,,,,,,,1.896023,93.025399
291.1387982,50.2437028,b'19h24m33.31s',b'50d14m37.33s',12.5847,9.3682,-3.8719,0.425,,0.1,0.337,0.333,,-2.7,0.215,1,0,b'hh00',b'UU',10,58771.82315087,,,,,,,,,,,,,,,,,1.997693,147.344448
291.1391100,50.2438900,b'19h24m33.39s',b'50d14m38.00s',18.4341,14.6055,-8.4804,0.232,,-0.5,0.168,-0.326,,-0.9,0.151,1,0,b'hh00',b'UU',0,58404.86958617,,,,,,,,,,,,,,,,,2.059334,119.306034
