ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
169.2669560,-29.0422140,b'11h17m04.07s',b'-29d02m31.97s',0.0297,0.0317,-0.0110,10.333,0.014,77.5,80.670,10.407,0.018,58.8,41.340,1,0,b'0000',b'AA',10,58999.80828770,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,2.21391,286.62986
169.2671402,-29.0417988,b'11h17m04.11s',b'-29d02m30.48s',0.0366,0.0331,-0.0101,11.258,0.020,54.9,37.020,9.747,0.018,61.5,51.370,1,0,b'0000',b'AA',0,59003.01210796,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,2.627962,324.083558
169.2669589,-29.0417966,b'11h17m04.07s',b'-29d02m30.47s',0.0354,0.0428,-0.0195,11.268,0.020,53.8,39.870,10.429,0.019,57.6,10.570,1,0,b'0000',b'AA',10,56829.91096520,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.004138,315.324246
169.2670182,-29.0417206,b'11h17m04.08s',b'-29d02m30.19s',0.0368,0.0386,-0.0106,11.515,0.017,62.4,90.270,10.586,0.020,54.3,43.190,1,0,b'0000',b'AA',0,56654.22793190,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.08465,321.373749
169.2669085,-29.0417823,b'11h17m04.06s',b'-29d02m30.42s',0.0366,0.0388,-0.0086,11.124,0.022,50.5,17.320,10.354,0.021,51.1,6.263,1,0,b'0000',b'AA',5,59002.16200012,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.153205,313.932153
169.2668757,-29.0418038,b'11h17m04.05s',b'-29d02m30.49s',0.0409,0.0479,-0.0095,11.281,0.021,50.7,21.740,10.449,0.022,50.1,13.710,1,0,b'0000',b'AA',0,59002.61965273,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.176403,311.634142
169.2669210,-29.0417415,b'11h17m04.06s',b'-29d02m30.27s',0.0390,0.0343,0.0037,11.270,0.019,56.7,10.430,10.361,0.020,53.9,2.237,1,0,b'0000',b'AA',10,58843.41202745,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.229522,316.293697
169.2668662,-29.0417885,b'11h17m04.05s',b'-29d02m30.44s',0.0375,0.0411,-0.0058,11.333,0.021,51.5,19.860,10.406,0.020,55.4,12.240,1,0,b'0000',b'AA',5,58270.77051139,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.235414,312.011379
169.2668775,-29.0417772,b'11h17m04.05s',b'-29d02m30.40s',0.0335,0.0367,0.0041,11.276,0.021,52.6,8.230,10.319,0.018,59.1,4.239,1,0,b'0000',b'AA',10,58271.29412464,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.236666,312.967845
169.2669102,-29.0417475,b'11h17m04.06s',b'-29d02m30.29s',0.0341,0.0357,-0.0043,11.235,0.018,59.2,10.220,10.319,0.019,58.7,3.595,1,0,b'0000',b'AA',10,56654.68915076,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.237636,315.59471
169.2669049,-29.0417509,b'11h17m04.06s',b'-29d02m30.30s',0.0387,0.0410,-0.0139,11.374,0.018,59.2,11.290,10.519,0.021,51.3,3.905,1,0,b'0000',b'AA',10,58635.93908690,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.240629,315.232581
169.2668896,-29.0417599,b'11h17m04.05s',b'-29d02m30.34s',0.0380,0.0405,-0.0069,11.310,0.021,52.7,5.520,10.394,0.019,57.8,3.058,1,0,b'0000',b'AA',10,58271.35944898,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.252036,314.228182
169.2669019,-29.0417435,b'11h17m04.06s',b'-29d02m30.28s',0.0349,0.0387,-0.0058,11.264,0.018,60.2,7.355,10.376,0.022,49.0,2.318,1,0,b'0000',b'AA',10,58842.95412039,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.266213,315.444084
169.2668879,-29.0417557,b'11h17m04.05s',b'-29d02m30.32s',0.0359,0.0375,-0.0102,11.226,0.019,56.2,9.194,10.430,0.021,50.7,2.239,1,0,b'0000',b'AA',10,58999.74296334,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.266424,314.352763
169.2668654,-29.0417758,b'11h17m04.05s',b'-29d02m30.39s',0.0319,0.0352,-0.0044,11.298,0.018,61.6,7.804,10.373,0.018,62.0,2.720,1,0,b'0000',b'AA',10,58270.90141475,1697028801351015570,11.509,0.025,10.481,0.021,7.663,0.019,5.480,0.041,496561398,14.396,0.0371,13.482,0.0422,12.501,0.0358,3.268045,312.577415
