source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04424a032',55325.87438520,11.331,0.024,52.410,10.328,0.022,10.010,5.932,0.017,2.996,2.733,0.023,0.844,1.0,123,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04425b057',55325.94060100,11.240,0.027,52.820,10.383,0.032,9.784,5.907,0.018,3.202,2.724,0.016,0.842,1.0,105,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04420a032',55325.74208110,11.357,0.028,52.540,10.328,0.024,10.000,5.939,0.018,2.977,2.730,0.019,0.842,1.0,109,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04421b057',55325.80829680,11.285,0.022,52.440,10.363,0.024,9.802,5.919,0.015,3.077,2.749,0.032,0.883,1.0,126,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04416a032',55325.60977690,11.331,0.028,52.410,10.346,0.024,9.874,,,,,,,1.0,77,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04417b057',55325.67599270,11.308,0.023,52.380,10.361,0.025,9.807,5.934,0.015,2.988,2.742,0.031,0.862,1.0,92,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04412a032',55325.47747280,11.207,0.023,53.350,10.295,0.024,10.400,5.974,0.015,3.144,2.750,0.017,0.891,1.0,54,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04413b057',55325.54368850,11.448,0.026,53.720,10.359,0.024,9.813,5.921,0.016,3.061,2.725,0.013,0.841,1.0,63,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04408a032',55325.34516860,11.289,0.023,52.420,10.380,0.023,9.783,5.945,0.019,2.975,2.736,0.023,0.848,1.0,47,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04409b057',55325.41138440,11.235,0.024,52.890,10.352,0.026,9.842,5.942,0.014,2.974,2.740,0.031,0.856,1.0,47,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04397b057',55325.01447190,11.263,0.023,52.580,10.295,0.024,10.400,5.935,0.017,2.985,2.735,0.017,0.847,1.0,88,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04404a032',55325.21286450,11.202,0.028,53.440,10.358,0.026,9.817,5.953,0.021,2.993,2.770,0.022,1.007,1.0,60,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04405b057',55325.27908020,11.297,0.023,52.400,10.318,0.025,10.100,5.937,0.015,2.979,2.745,0.020,0.870,1.0,50,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09849a220',55505.31009450,11.374,0.023,52.680,10.361,0.023,9.807,,,,,,,1.0,130,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09857a220',55505.57470260,11.249,0.024,52.710,10.463,0.023,10.320,,,,,,,0.5,72,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09861a220',55505.70687940,11.303,0.021,52.390,10.405,0.024,9.840,,,,,,,1.0,55,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04401b057',55325.14677610,11.309,0.021,52.380,10.373,0.024,9.785,5.946,0.014,2.976,2.693,0.020,0.953,1.0,68,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09845a219',55505.17779030,11.409,0.030,53.090,10.321,0.024,10.070,,,,,,,1.0,101,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09846a244',55505.24400610,11.238,0.022,52.840,10.410,0.029,9.860,,,,,,,1.0,119,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04393b057',55324.88216770,11.269,0.024,52.530,10.297,0.025,10.370,5.960,0.019,3.025,2.742,0.025,0.860,1.0,120,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09838a243',55504.97939790,11.258,0.024,52.620,10.436,0.023,10.040,,,,,,,1.0,58,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09841a220',55505.04561360,11.232,0.022,52.930,10.350,0.023,9.852,,,,,,,1.0,71,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09834a244',55504.84722120,11.255,0.024,52.650,10.340,0.021,9.911,,,,,,,1.0,47,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09837a220',55504.91330960,11.360,0.023,52.560,10.410,0.024,9.860,,,,,,,1.0,50,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04389b057',55324.74986350,11.233,0.022,52.910,10.318,0.028,10.100,5.937,0.014,2.980,2.771,0.028,1.012,1.0,111,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09833a220',55504.78100550,11.286,0.027,52.440,10.446,0.032,10.130,,,,,,,1.0,47,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09829a220',55504.64882880,11.355,0.026,52.530,10.355,0.025,9.830,,,,,,,1.0,64,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09830a244',55504.71491710,11.258,0.023,52.620,10.347,0.024,9.869,,,,,,,1.0,54,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09825a220',55504.51652460,11.248,0.027,52.720,10.380,0.031,9.782,,,,,,,1.0,80,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09826a244',55504.58261300,11.321,0.023,52.390,10.342,0.027,9.898,,,,,,,1.0,71,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09814b244',55504.18582240,11.324,0.024,52.400,10.364,0.023,9.801,,,,,,,1.0,103,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'09818a244',55504.31812640,11.337,0.024,52.440,10.384,0.024,9.785,,,,,,,1.0,128,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04440a032',55326.40360190,11.269,0.023,52.530,10.349,0.021,9.855,5.926,0.015,3.022,2.716,0.015,0.853,1.0,48,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04444a032',55326.53590600,11.319,0.024,52.390,10.371,0.018,9.787,5.880,0.015,3.696,2.698,0.014,0.920,1.0,62,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04432a032',55326.13899360,11.309,0.028,52.380,10.293,0.029,10.440,5.941,0.015,2.975,2.728,0.017,0.841,1.0,69,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04436a032',55326.27129770,11.249,0.023,52.710,10.368,0.021,9.791,5.916,0.017,3.098,2.709,0.017,0.872,1.0,51,b'0000',0.211944,98.202907
b'3006p408_ac51-037209',299.8682269,40.7339116,b'19h59m28.37s',b'40d44m02.08s',1,0,b'0h00',b'04428a032',55326.00668940,11.313,0.024,52.380,10.370,0.023,9.789,5.944,0.015,2.974,2.709,0.015,0.872,1.0,90,b'0000',0.211944,98.202907
