ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
279.5847354,-65.4275647,b'18h38m20.34s',b'-65d25m39.23s',0.0266,0.0245,-0.0098,9.678,0.018,59.7,18.080,8.105,0.013,84.5,10.690,1,0,b'0000',b'AA',5,59098.28746756,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.027662,232.255379
279.5847308,-65.4275504,b'18h38m20.34s',b'-65d25m39.18s',0.0292,0.0270,-0.0078,9.734,0.017,64.1,9.412,8.271,0.014,76.4,2.528,1,0,b'0000',b'AA',10,58006.07250633,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.044963,320.250136
279.5847384,-65.4275439,b'18h38m20.34s',b'-65d25m39.16s',0.0274,0.0237,-0.0082,9.744,0.014,75.9,14.450,8.222,0.013,86.6,1.890,1,0,b'0000',b'AA',10,57107.04420493,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.060543,343.321045
279.5847367,-65.4275434,b'18h38m20.34s',b'-65d25m39.16s',0.0325,0.0281,-0.0085,9.695,0.019,57.5,12.150,8.216,0.015,74.9,3.063,1,0,b'0000',b'AA',10,56924.63464375,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.06299,341.573167
279.5847413,-65.4275427,b'18h38m20.34s',b'-65d25m39.15s',0.0314,0.0319,0.0081,9.733,0.019,58.1,11.850,8.288,0.016,67.6,6.777,1,0,b'0000',b'AA',10,58366.89527029,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.063661,348.188317
279.5847721,-65.4275754,b'18h38m20.35s',b'-65d25m39.27s',0.0279,0.0272,-0.0086,9.672,0.016,67.7,28.640,8.148,0.015,72.0,20.630,1,0,b'0000',b'AA',0,59098.22201603,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.064545,149.172859
279.5847359,-65.4275413,b'18h38m20.34s',b'-65d25m39.15s',0.0250,0.0211,-0.0076,9.793,0.015,74.3,15.170,8.222,0.012,93.3,5.040,1,0,b'0000',b'AA',10,57472.19228865,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.070559,342.591152
279.5847677,-65.4275416,b'18h38m20.34s',b'-65d25m39.15s',0.0295,0.0263,-0.0051,9.641,0.019,57.6,17.430,8.063,0.013,82.1,28.630,1,0,b'0000',b'AA',0,59099.00679828,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.071358,21.802573
279.5846989,-65.4275604,b'18h38m20.33s',b'-65d25m39.22s',0.0279,0.0249,-0.0101,9.794,0.015,74.3,15.120,8.277,0.013,82.4,4.064,1,0,b'0000',b'AA',10,58006.92363244,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.076532,268.921575
279.5847078,-65.4275479,b'18h38m20.33s',b'-65d25m39.17s',0.0257,0.0250,-0.0036,9.728,0.017,63.7,18.740,8.279,0.012,90.6,4.569,1,0,b'0000',b'AA',5,58570.50305299,2796065201351018625,9.691,0.023,8.121,0.020,4.367,0.014,1.518,0.020,989739353,13.015,0.0710,12.118,0.0830,11.510,0.0470,0.076717,304.586783
