source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11865a002',55571.94666070,11.081,0.027,9.428,10.165,0.025,4.444,,,,,,,0.5,18,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11866a026',55572.01274930,11.169,0.028,8.916,10.268,0.023,3.789,,,,,,,1.0,22,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11946a028',55574.65794580,11.101,0.027,9.196,10.225,0.021,3.813,,,,,,,1.0,38,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11949a005',55574.72416160,11.115,0.024,9.074,10.236,0.024,3.774,,,,,,,0.5,31,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06612a253',55398.26658870,11.083,0.023,9.403,10.184,0.024,4.163,6.977,0.017,2.701,4.380,0.052,0.917,1.0,16,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06613b277',55398.33267690,11.136,0.026,8.956,10.185,0.024,4.151,6.989,0.022,2.630,4.380,0.036,0.917,1.0,14,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06564a253',55396.67907050,11.109,0.025,9.117,10.193,0.023,4.054,6.996,0.021,2.599,4.352,0.046,0.920,1.0,54,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06565b277',55396.74515870,11.142,0.020,8.935,10.212,0.021,3.887,7.028,0.019,2.608,4.314,0.030,1.017,1.0,60,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00982a026',55212.03952940,11.039,0.020,10.170,10.184,0.022,4.158,6.959,0.019,2.870,4.425,0.031,1.022,1.0,23,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00985a002',55212.10574550,11.021,0.023,10.600,10.153,0.023,4.661,7.030,0.021,2.618,4.367,0.026,0.912,0.5,31,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11862a025',55571.88044490,11.148,0.027,8.921,10.217,0.028,3.854,,,,,,,1.0,20,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11862a026',55571.88057220,11.102,0.026,9.184,10.284,0.027,3.861,,,,,,,1.0,19,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11942b029',55574.52576870,11.151,0.025,8.916,10.238,0.025,3.770,,,,,,,1.0,54,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11945a004',55574.59185720,11.089,0.024,9.322,10.206,0.030,3.932,,,,,,,0.5,46,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06605b277',55398.06806950,11.095,0.025,9.259,10.248,0.024,3.759,6.980,0.021,2.679,4.398,0.032,0.943,1.0,35,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06605b278',55398.06819680,11.040,0.023,10.130,10.122,0.020,5.391,6.954,0.022,2.938,4.366,0.041,0.912,1.0,35,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06560a253',55396.54676670,11.080,0.025,9.445,10.226,0.023,3.809,7.001,0.021,2.587,4.383,0.026,0.920,1.0,37,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06561b277',55396.61285490,11.131,0.023,8.979,10.212,0.022,3.887,7.013,0.022,2.578,4.372,0.034,0.912,1.0,46,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00978a026',55211.90722470,11.061,0.019,9.741,10.165,0.019,4.452,7.021,0.018,2.588,4.392,0.048,0.932,1.0,16,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00981a002',55211.97344080,11.063,0.023,9.705,10.135,0.018,5.050,7.008,0.021,2.578,4.419,0.045,1.000,0.5,18,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11854a026',55571.61596340,11.100,0.021,9.199,10.260,0.019,3.769,,,,,,,1.0,44,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11858a026',55571.74826780,11.119,0.022,9.043,10.211,0.033,3.893,,,,,,,1.0,29,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11938a028',55574.39346440,11.148,0.023,8.922,10.255,0.030,3.762,,,,,,,1.0,58,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11941a004',55574.45955290,11.121,0.023,9.031,10.155,0.020,4.631,,,,,,,1.0,58,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06601b278',55397.93589300,11.055,0.024,9.832,10.182,0.021,4.192,6.974,0.021,2.725,4.380,0.046,0.917,1.0,54,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06604a252',55398.00198120,11.148,0.022,8.922,10.162,0.025,4.495,7.001,0.023,2.587,4.388,0.026,0.926,1.0,44,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06549b278',55396.21607110,11.089,0.022,9.318,10.112,0.024,5.667,6.982,0.026,2.666,4.411,0.039,0.973,1.0,20,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06553b277',55396.34824740,11.088,0.027,9.333,10.160,0.024,4.527,7.045,0.020,2.700,4.362,0.038,0.913,1.0,15,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00973a002',55211.70870400,11.068,0.020,9.614,10.174,0.023,4.306,7.048,0.018,2.717,4.375,0.036,0.914,0.5,32,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00974a026',55211.77492000,11.039,0.021,10.160,10.166,0.026,4.419,7.010,0.018,2.578,4.409,0.046,0.970,1.0,25,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11937a005',55574.32737590,11.083,0.028,9.395,10.272,0.033,3.803,,,,,,,0.5,55,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11850b026',55571.48378640,11.184,0.025,8.951,10.155,0.028,4.629,,,,,,,0.5,57,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11997a004',55576.31117760,11.089,0.023,9.324,10.203,0.019,3.957,,,,,,,1.0,54,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11997a005',55576.31130500,10.918,0.023,14.500,10.207,0.024,3.927,,,,,,,0.5,55,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06597b278',55397.80358920,11.063,0.024,9.693,10.200,0.021,3.984,6.973,0.022,2.732,4.380,0.043,0.917,1.0,62,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06600a252',55397.86967740,11.105,0.022,9.157,10.193,0.021,4.060,6.990,0.019,2.622,4.366,0.039,0.912,1.0,62,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00926a025',55210.18675340,11.016,0.023,10.720,10.149,0.023,4.749,6.975,0.021,2.712,4.381,0.030,0.917,1.0,41,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00930a026',55210.31918550,11.094,0.022,9.268,10.160,0.022,4.531,6.995,0.017,2.605,4.335,0.026,0.949,1.0,55,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00970a025',55211.64248800,10.945,0.023,13.230,10.108,0.023,5.790,6.990,0.019,2.623,4.434,0.041,1.055,1.0,40,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00970a026',55211.64261530,10.975,0.026,12.020,10.216,0.019,3.862,6.950,0.018,2.983,4.373,0.046,0.913,1.0,39,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06664a253',55399.98641150,11.127,0.021,8.999,10.261,0.019,3.771,6.991,0.020,2.620,4.312,0.037,1.026,1.0,47,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11993a004',55576.17900060,11.115,0.024,9.072,10.250,0.025,3.759,,,,,,,0.5,40,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11994b028',55576.24508910,11.149,0.020,8.920,10.368,0.026,4.889,,,,,,,1.0,48,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06593b278',55397.67128540,11.091,0.023,9.299,10.152,0.021,4.681,7.008,0.018,2.578,4.338,0.028,0.944,1.0,53,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06596a252',55397.73737360,11.077,0.024,9.486,10.163,0.023,4.474,7.017,0.019,2.581,4.371,0.033,0.912,1.0,59,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06660a252',55399.85410760,11.111,0.021,9.107,10.267,0.019,3.786,6.972,0.019,2.740,4.396,0.042,0.940,1.0,63,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00922a026',55210.05444880,11.062,0.023,9.722,10.146,0.021,4.816,6.990,0.018,2.622,4.359,0.027,0.915,1.0,24,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00966b026',55211.51018320,11.046,0.021,10.020,10.127,0.025,5.251,6.995,0.021,2.603,4.415,0.031,0.988,1.0,56,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00969a002',55211.57639930,11.062,0.020,9.722,10.090,0.020,6.393,,,,,,,0.5,48,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12014a029',55576.90648370,11.115,0.028,9.070,10.246,0.020,3.760,,,,,,,1.0,16,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11985a004',55575.91439180,11.160,0.027,8.910,10.269,0.026,3.794,,,,,,,0.5,17,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11989a004',55576.04669620,11.132,0.022,8.974,10.248,0.021,3.759,,,,,,,0.5,24,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06589b278',55397.53898110,11.110,0.024,9.108,10.190,0.023,4.088,6.997,0.017,2.596,4.464,0.039,1.204,1.0,35,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'06592a252',55397.60506990,11.058,0.026,9.780,10.187,0.023,4.126,7.025,0.017,2.598,4.381,0.037,0.918,1.0,45,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12037a004',55577.63383940,11.073,0.022,9.543,10.271,0.023,3.799,,,,,,,1.0,40,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12041a005',55577.76614380,11.113,0.024,9.088,10.209,0.027,3.908,,,,,,,0.5,25,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00962a026',55211.37787800,11.034,0.019,10.270,10.155,0.022,4.629,7.013,0.017,2.578,4.360,0.047,0.914,1.0,59,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00965a002',55211.44409400,10.918,0.025,14.530,7.120,,2824.000,6.958,0.022,2.885,4.398,0.045,0.942,0.5,60,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12013a004',55576.84026780,11.148,0.022,8.921,10.299,0.026,3.971,,,,,,,0.5,20,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12014a028',55576.90635640,11.060,0.026,9.748,10.192,0.026,4.069,,,,,,,1.0,17,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11850b025',55571.48365900,11.001,0.031,11.140,10.188,0.020,4.113,,,,,,,1.0,56,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'11985a005',55575.91451910,11.048,0.025,9.976,10.144,0.026,4.848,,,,,,,0.5,16,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12021a005',55577.10487660,11.060,0.029,9.755,10.254,0.020,3.761,,,,,,,1.0,31,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12022b028',55577.17096510,11.063,0.022,9.705,10.165,0.025,4.450,,,,,,,1.0,39,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12029a005',55577.36935800,11.091,0.025,9.297,10.173,0.023,4.322,,,,,,,1.0,59,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'12033a004',55577.50153510,11.096,0.030,9.249,10.206,0.024,3.932,,,,,,,1.0,57,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00958b026',55211.24557320,11.080,0.028,9.438,10.164,0.023,4.466,7.032,0.019,2.625,4.363,0.038,0.913,1.0,48,b'0000',0.366002,349.298113
b'0691m591_ac51-002600',69.9960026,-59.6815901,b'04h39m59.04s',b'-59d40m53.72s',1,0,b'0000',b'00961a002',55211.31166190,11.045,0.024,10.030,10.174,0.024,4.294,7.015,0.018,2.579,4.382,0.033,0.919,1.0,55,b'0000',0.366002,349.298113
