ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
252.8343583,-59.2345543,b'16h51m20.25s',b'-59d14m04.40s',0.0283,0.0266,-0.0086,8.870,0.018,58.9,27.460,7.692,0.013,80.8,24.340,1,0,b'0000',b'AA',0,58352.17260037,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.225644,48.476182
252.8344055,-59.2345629,b'16h51m20.26s',b'-59d14m04.43s',0.0272,0.0269,0.0036,9.051,0.018,61.4,20.700,7.707,0.013,84.4,8.898,1,0,b'0000',b'AA',5,58352.23792459,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.272757,52.116019
252.8343436,-59.2345238,b'16h51m20.24s',b'-59d14m04.29s',0.0241,0.0220,-0.0061,8.877,0.015,72.1,9.525,7.714,0.013,86.2,3.864,1,0,b'0000',b'AA',10,58715.93877569,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.282083,43.995948
252.8343752,-59.2345345,b'16h51m20.25s',b'-59d14m04.32s',0.0249,0.0248,-0.0091,9.039,0.017,63.2,9.760,7.780,0.013,86.7,2.787,1,0,b'0000',b'AA',10,59080.43649903,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.296609,47.02954
252.8343462,-59.2345165,b'16h51m20.24s',b'-59d14m04.26s',0.0254,0.0234,-0.0116,8.919,0.016,69.9,12.150,7.745,0.012,90.8,7.386,1,0,b'0000',b'AA',5,58348.77027074,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.304399,43.345414
252.8343565,-59.2345213,b'16h51m20.25s',b'-59d14m04.28s',0.0284,0.0259,-0.0119,8.999,0.016,70.0,7.474,7.815,0.014,76.4,2.550,1,0,b'0000',b'AA',5,59080.10949587,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.305105,44.471754
252.8343765,-59.2345301,b'16h51m20.25s',b'-59d14m04.31s',0.0259,0.0215,-0.0081,8.861,0.014,77.4,9.432,7.629,0.013,82.7,1.543,1,0,b'0000',b'AA',10,56910.03445736,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.309196,46.593717
252.8343836,-59.2345337,b'16h51m20.25s',b'-59d14m04.32s',0.0248,0.0227,-0.0109,8.881,0.014,80.4,8.870,7.635,0.013,86.1,1.262,1,0,b'0000',b'AA',10,56910.75799188,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.309917,47.398553
252.8344025,-59.2345427,b'16h51m20.26s',b'-59d14m04.35s',0.0287,0.0287,-0.0091,8.993,0.017,62.9,13.740,7.808,0.015,74.8,4.116,1,0,b'0000',b'AA',5,59080.56727475,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.31446,49.465451
252.8343758,-59.2345254,b'16h51m20.25s',b'-59d14m04.29s',0.0242,0.0238,-0.0057,8.923,0.014,76.1,13.800,7.762,0.012,88.7,5.010,1,0,b'0000',b'AA',5,58351.77989064,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.319954,46.021681
252.8343679,-59.2345212,b'16h51m20.25s',b'-59d14m04.28s',0.0269,0.0265,-0.0047,8.951,0.018,61.2,13.320,7.738,0.013,83.2,7.899,1,0,b'0000',b'AA',5,58349.22830484,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.32015,45.110996
252.8344434,-59.2345657,b'16h51m20.27s',b'-59d14m04.44s',0.0282,0.0256,-0.0090,8.893,0.018,60.9,12.510,7.733,0.012,87.3,14.860,1,0,b'0000',b'AA',0,58352.17247306,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.322628,54.317768
252.8343492,-59.2345109,b'16h51m20.24s',b'-59d14m04.24s',0.0304,0.0243,0.0019,8.973,0.017,62.1,18.240,7.735,0.014,80.2,10.470,1,0,b'0000',b'AA',5,58349.16298054,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.322888,42.920094
252.8343776,-59.2345236,b'16h51m20.25s',b'-59d14m04.28s',0.0282,0.0260,-0.0106,8.939,0.015,70.3,9.653,7.700,0.015,74.1,4.449,1,0,b'0000',b'AA',5,57988.72437885,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.326839,45.919714
252.8343823,-59.2345245,b'16h51m20.25s',b'-59d14m04.29s',0.0242,0.0228,-0.0076,8.817,0.015,72.6,6.843,7.618,0.013,85.2,3.190,1,0,b'0000',b'AA',10,57627.82017041,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.330827,46.279144
252.8344154,-59.2345434,b'16h51m20.26s',b'-59d14m04.36s',0.0213,0.0230,-0.0085,8.953,0.015,73.8,19.340,7.763,0.011,101.4,15.570,1,0,b'0000',b'AA',5,58348.83572240,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.33099,50.21252
252.8343918,-59.2345292,b'16h51m20.25s',b'-59d14m04.31s',0.0254,0.0234,-0.0129,8.845,0.017,63.4,5.560,7.645,0.012,87.6,3.423,1,0,b'dH00',b'AA',10,57268.94430767,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.332001,47.325296
252.8344048,-59.2345362,b'16h51m20.26s',b'-59d14m04.33s',0.0261,0.0230,-0.0113,8.882,0.014,79.8,10.970,7.701,0.013,85.0,4.347,1,0,b'0000',b'AA',5,58716.33123051,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.332972,48.819329
252.8343599,-59.2345107,b'16h51m20.25s',b'-59d14m04.24s',0.0265,0.0230,0.0047,8.902,0.018,60.7,7.534,7.663,0.012,92.6,5.861,1,0,b'dd00',b'AA',5,58185.02090888,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.336907,43.517492
252.8344006,-59.2345319,b'16h51m20.26s',b'-59d14m04.31s',0.0248,0.0220,-0.0045,8.925,0.015,70.1,9.092,7.744,0.012,88.7,3.097,1,0,b'0000',b'AA',5,58349.09752898,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.337448,48.102033
252.8343869,-59.2345236,b'16h51m20.25s',b'-59d14m04.28s',0.0256,0.0242,-0.0126,8.838,0.014,78.3,8.288,7.627,0.012,87.3,3.434,1,0,b'0000',b'AA',10,57628.67180670,2534059101351016488,8.815,0.022,7.579,0.020,4.103,0.015,1.638,0.009,592870720,12.794,0.0693,11.803,0.0624,10.613,0.0416,1.339195,46.429446
