ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
15.1456612,-47.8676571,b'01h00m34.96s',b'-47d52m03.57s',0.0376,0.0396,-0.0092,11.168,0.021,51.8,14.810,10.374,0.022,48.6,2.923,1,0,b'0000',b'AA',10,59007.76741240,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.065128,199.046228
15.1456641,-47.8676577,b'01h00m34.96s',b'-47d52m03.57s',0.0367,0.0361,-0.0099,10.974,0.020,55.0,12.380,10.294,0.018,59.8,4.084,1,0,b'0000',b'AA',10,56819.29967001,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.065273,192.604836
15.1456487,-47.8676530,b'01h00m34.96s',b'-47d52m03.55s',0.0416,0.0385,0.0042,10.840,0.021,50.5,21.770,9.987,0.019,55.8,14.970,1,0,b'0000',b'AA',10,58279.91388111,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.069547,227.704374
15.1456448,-47.8676596,b'01h00m34.95s',b'-47d52m03.57s',0.0348,0.0308,0.0089,10.698,0.018,61.4,12.690,9.940,0.016,68.0,5.118,1,0,b'0000',b'AA',10,57184.36358424,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.093176,220.778272
15.1457076,-47.8676496,b'01h00m34.97s',b'-47d52m03.54s',0.0361,0.0302,0.0085,11.022,0.020,53.6,20.360,10.174,0.016,67.0,7.861,1,0,b'0000',b'AA',10,58806.73308693,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.097147,110.836492
15.1456306,-47.8676468,b'01h00m34.95s',b'-47d52m03.53s',0.0386,0.0315,0.0077,10.970,0.017,62.8,14.240,10.089,0.018,58.9,2.671,1,0,b'0000',b'AA',5,58643.57426623,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.098259,255.572347
15.1456929,-47.8676638,b'01h00m34.97s',b'-47d52m03.59s',0.0359,0.0393,-0.0114,10.708,0.022,48.8,10.700,9.845,0.018,59.4,2.792,1,0,b'0000',b'AA',5,57912.23881897,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.101986,147.158683
15.1456679,-47.8676683,b'01h00m34.96s',b'-47d52m03.61s',0.0343,0.0305,-0.0073,10.679,0.021,52.6,8.939,9.854,0.015,70.5,2.969,1,0,b'0000',b'AA',10,57911.78052987,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.101986,182.849833
15.1456591,-47.8676676,b'01h00m34.96s',b'-47d52m03.60s',0.0381,0.0369,-0.0071,11.226,0.019,57.7,13.840,10.366,0.020,55.5,3.915,1,0,b'0000',b'AA',10,59008.22519191,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.10277,194.83876
15.1456364,-47.8676585,b'01h00m34.95s',b'-47d52m03.57s',0.0405,0.0363,-0.0160,11.174,0.021,51.8,16.130,10.383,0.019,56.4,3.105,1,0,b'0000',b'AA',10,59013.39166266,157048501351062108,11.315,0.022,10.646,0.021,7.495,0.018,5.026,0.035,546590836,13.805,0.0756,13.021,0.0793,12.238,0.0473,0.104998,230.622609
