source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'09202a100',55483.93223540,11.337,0.030,6.081,10.044,0.031,2.059,,,,,,,1.0,3,b'0011',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'09207a026',55484.06453950,11.349,0.027,6.101,10.092,0.020,2.229,,,,,,,1.0,26,b'0011',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'09297a079',55487.04055130,11.368,0.025,6.169,10.081,0.022,2.156,,,,,,,0.5,21,b'0011',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'09293a078',55486.90824730,11.364,0.025,6.151,10.042,0.029,2.061,,,,,,,1.0,2,b'0011',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'09313a078',55487.56951250,11.351,0.034,6.107,10.080,0.023,2.150,,,,,,,1.0,42,b'0000',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'09309a079',55487.43733580,11.319,0.025,6.089,10.037,0.023,2.066,,,,,,,1.0,70,b'0000',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'03777b201',55304.52322690,11.300,0.025,6.149,10.012,0.023,2.163,6.673,0.021,1.758,3.975,0.049,0.916,1.0,29,b'0000',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'09313a079',55487.56963980,11.356,0.024,6.120,10.039,0.026,2.064,,,,,,,1.0,41,b'0000',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'03785b201',55304.78783530,11.330,0.022,6.079,10.022,0.025,2.110,6.674,0.021,1.761,3.942,0.023,0.923,1.0,73,b'0000',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'03781b201',55304.65553110,11.342,0.026,6.087,10.041,0.026,2.062,6.615,0.020,1.777,3.961,0.035,0.908,1.0,56,b'0000',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'03788a177',55304.85405110,11.303,0.030,6.134,10.063,0.020,2.083,6.638,0.018,1.685,3.958,0.039,0.908,1.0,74,b'0000',0.505509,63.524878
b'3099m515_ac51-031095',310.0657816,-51.4296874,b'20h40m15.79s',b'-51d25m46.87s',1,0,b'0000',b'03788a176',55304.85392370,11.306,0.028,6.123,10.030,0.026,2.082,6.633,0.019,1.694,3.976,0.037,0.917,1.0,75,b'0000',0.505509,63.524878
