source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09910a109',55507.34469990,9.309,0.021,2.663,8.262,0.028,1.892,,,,,,,1.0,84,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'04524a167',55329.19765150,9.369,0.028,2.546,8.304,0.029,1.854,5.384,0.017,1.679,3.203,0.021,0.993,1.0,4,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09918a109',55507.60918070,9.298,0.022,2.764,8.290,0.020,1.827,,,,,,,1.0,27,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09914b109',55507.47687660,9.376,0.028,2.574,8.313,0.019,1.895,,,,,,,1.0,61,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09922a109',55507.74148470,9.295,0.021,2.785,8.301,0.025,1.845,,,,,,,1.0,4,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09921a086',55507.67539640,9.327,0.020,2.565,8.224,0.027,2.269,,,,,,,1.0,14,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09926a109',55507.87366150,9.336,0.026,2.535,8.267,0.023,1.867,,,,,,,1.0,-8,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09925a085',55507.80757310,9.312,0.018,2.646,8.323,0.028,1.952,,,,,,,1.0,-4,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09929a085',55507.93987720,9.429,0.029,3.015,8.287,0.020,1.826,,,,,,,1.0,-3,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09926a110',55507.87378890,9.303,0.027,2.714,8.285,0.016,1.827,,,,,,,1.0,-9,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09933a085',55508.07218130,9.309,0.022,2.668,8.257,0.017,1.922,,,,,,,1.0,30,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09930a109',55508.00596560,9.322,0.020,2.586,8.293,0.019,1.830,,,,,,,1.0,12,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'10114b113',55514.09030420,9.322,0.022,2.586,8.239,0.019,2.075,,,,,,,1.0,35,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09937a085',55508.20435800,9.270,0.029,3.105,8.258,0.019,1.916,,,,,,,1.0,62,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'04501b191',55328.46991520,9.379,0.022,2.585,8.247,0.017,1.995,5.379,0.014,1.699,3.234,0.028,1.077,1.0,13,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'04493b191',55328.20530690,9.373,0.022,2.563,8.305,0.026,1.859,5.434,0.020,2.017,3.221,0.023,1.020,1.0,3,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'09941a085',55508.33666210,9.296,0.021,2.778,8.244,0.017,2.024,,,,,,,1.0,83,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'04497b191',55328.33761100,9.377,0.019,2.576,8.301,0.020,1.846,5.399,0.014,1.687,3.214,0.024,1.002,1.0,-9,b'0000',0.074594,56.965702
b'3329m394_ac51-052497',333.6750623,-38.8063487,b'22h14m42.01s',b'-38d48m22.86s',1,0,b'0000',b'04505b191',55328.60221920,9.385,0.026,2.618,8.297,0.022,1.836,5.389,0.020,1.672,3.204,0.026,0.993,1.0,48,b'0000',0.074594,56.965702
