source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07555a061',55429.43825090,10.144,0.024,18.270,9.658,0.020,5.683,,,,,,,1.0,73,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07534a134',55428.77685680,10.132,0.030,18.140,9.640,0.025,5.634,,,,,,,1.0,-11,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07561a109',55429.63664360,10.154,0.024,18.410,9.664,0.020,5.713,,,,,,,1.0,14,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07557a078',55429.50446670,10.073,0.026,17.780,9.658,0.021,5.683,,,,,,,1.0,54,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07565a110',55429.76894790,10.119,0.023,18.010,9.694,0.022,5.970,,,,,,,1.0,-9,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07561a111',55429.63677090,10.051,0.027,17.780,9.678,0.025,5.813,,,,,,,1.0,14,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07569a110',55429.90125220,10.180,0.036,18.800,9.672,0.025,5.765,,,,,,,1.0,-17,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02061b169',55247.75344620,10.037,0.023,17.820,9.618,0.019,5.662,6.338,0.016,8.945,3.839,0.026,1.079,1.0,87,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02061b170',55247.75357350,9.943,0.024,19.080,9.585,0.023,5.895,6.313,0.015,8.793,3.842,0.039,1.077,1.0,87,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02068a144',55247.95196610,10.042,0.021,17.800,9.602,0.025,5.747,6.320,0.021,8.816,3.854,0.026,1.079,1.0,62,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02065b170',55247.88587760,10.054,0.023,17.770,9.593,0.020,5.817,6.274,0.017,8.942,3.854,0.034,1.079,1.0,81,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02072a144',55248.08427020,9.944,0.028,19.060,9.635,0.024,5.632,6.310,0.018,8.788,3.879,0.024,1.127,1.0,22,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02069b169',55248.01818180,9.960,0.019,18.710,9.535,0.020,6.744,6.284,0.017,8.859,3.820,0.044,1.111,1.0,42,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02073b169',55248.15048590,10.030,0.019,17.850,9.622,0.019,5.649,6.318,0.018,8.809,3.792,0.040,1.223,0.5,4,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02072a145',55248.08439750,9.960,0.025,18.720,9.594,0.024,5.808,6.286,0.022,8.844,3.873,0.037,1.109,1.0,22,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02080a145',55248.34900570,9.919,0.020,19.720,9.305,0.077,20.780,6.304,0.019,8.785,3.816,0.024,1.122,1.0,-20,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02076a145',55248.21670160,10.043,0.022,17.800,9.582,0.021,5.930,6.298,0.015,8.794,3.837,0.022,1.080,1.0,-7,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02057b169',55247.62114200,10.036,0.022,17.820,9.589,0.026,5.860,6.307,0.021,8.785,3.871,0.030,1.105,1.0,53,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02084a144',55248.48130990,10.041,0.023,17.810,9.571,0.020,6.074,6.281,0.018,8.879,3.858,0.028,1.083,1.0,11,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07553a110',55429.37216240,10.120,0.026,18.030,9.773,0.025,7.343,,,,,,,1.0,91,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'02054a120',55247.48883790,10.050,0.019,17.780,9.609,0.019,5.700,6.318,0.016,8.810,3.828,0.048,1.093,1.0,13,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07549a110',55429.23985810,10.079,0.024,17.790,9.573,0.028,6.050,,,,,,,1.0,78,b'0000',0.328155,64.946477
b'2364m319_ac51-023346',237.1803075,-32.1198814,b'15h48m43.27s',b'-32d07m11.57s',1,0,b'0000',b'07550a134',55429.30594660,10.126,0.020,18.080,9.689,0.022,5.917,,,,,,,1.0,90,b'0000',0.328155,64.946477
