ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
45.6195405,-24.4558232,b'03h02m28.69s',b'-24d27m20.96s',0.0696,0.0604,-0.0081,12.523,0.025,44.0,22.340,11.828,0.037,29.7,3.296,1,0,b'0000',b'AA',10,58485.92379126,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.024589,3.829233
45.6195289,-24.4558166,b'03h02m28.69s',b'-24d27m20.94s',0.0648,0.0707,-0.0293,12.495,0.032,33.9,17.470,11.782,0.034,31.8,2.736,1,0,b'0000',b'AA',10,58124.82298065,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.060386,322.982297
45.6195244,-24.4558180,b'03h02m28.69s',b'-24d27m20.94s',0.0689,0.0619,-0.0197,12.519,0.024,44.4,21.740,11.972,0.038,28.3,3.222,1,0,b'0000',b'AA',5,58692.63278729,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.066917,310.199406
45.6195340,-24.4558081,b'03h02m28.69s',b'-24d27m20.91s',0.0656,0.0656,-0.0241,12.548,0.026,41.1,20.030,12.201,0.041,26.5,1.283,1,0,b'0h00',b'AA',10,57230.35287280,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.081261,345.996547
45.6195427,-24.4558068,b'03h02m28.69s',b'-24d27m20.90s',0.0610,0.0618,-0.0192,12.566,0.027,39.6,23.960,11.871,0.037,29.1,4.805,1,0,b'0000',b'AA',10,57961.27391951,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.084005,6.047237
45.6195168,-24.4558137,b'03h02m28.68s',b'-24d27m20.93s',0.0607,0.0669,-0.0237,12.550,0.027,39.9,23.430,11.917,0.035,31.3,2.619,1,0,b'0000',b'AA',10,57961.27379220,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.096022,307.662199
45.6195230,-24.4558048,b'03h02m28.69s',b'-24d27m20.90s',0.0676,0.0601,-0.0267,12.499,0.026,42.5,23.840,11.928,0.044,25.0,3.468,1,0,b'0000',b'AA',5,58849.64586426,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.106472,328.446813
45.6195391,-24.4558002,b'03h02m28.69s',b'-24d27m20.88s',0.0607,0.0591,-0.0265,12.558,0.028,39.4,24.290,11.865,0.033,33.3,4.655,1,0,b'0000',b'AA',5,57764.26483447,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.107312,358.425238
45.6195449,-24.4557984,b'03h02m28.69s',b'-24d27m20.87s',0.0687,0.0615,-0.0192,12.560,0.026,42.5,22.820,11.895,0.037,29.2,2.258,1,0,b'0000',b'AA',10,58692.82901468,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.11488,8.034289
45.6195801,-24.4558254,b'03h02m28.70s',b'-24d27m20.97s',0.0654,0.0669,-0.0217,12.550,0.026,41.9,21.370,11.968,0.039,27.8,4.816,1,0,b'0000',b'AA',10,57594.71754414,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.13245,82.817479
45.6195544,-24.4557952,b'03h02m28.69s',b'-24d27m20.86s',0.0652,0.0662,-0.0302,12.522,0.029,37.1,22.270,11.849,0.032,33.5,3.643,1,0,b'0000',b'AA',10,59056.54858602,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.133869,20.639785
45.6195047,-24.4558094,b'03h02m28.68s',b'-24d27m20.91s',0.0599,0.0675,-0.0123,12.530,0.030,36.0,24.330,11.978,0.037,29.7,4.813,1,0,b'0000',b'AA',10,57402.33510373,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.137421,302.663408
45.6195754,-24.4558087,b'03h02m28.70s',b'-24d27m20.91s',0.0670,0.0614,-0.0166,12.558,0.025,42.9,19.080,11.911,0.035,31.2,3.027,1,0,b'0000',b'AA',10,57597.01051537,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.139061,56.535333
45.6195256,-24.4557935,b'03h02m28.69s',b'-24d27m20.86s',0.0606,0.0582,-0.0206,12.471,0.026,41.3,30.730,11.889,0.034,32.0,3.088,1,0,b'0000',b'AA',10,57764.59222181,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.139603,340.245541
45.6195087,-24.4558031,b'03h02m28.68s',b'-24d27m20.89s',0.0646,0.0531,-0.0184,12.484,0.023,46.6,23.400,11.875,0.033,33.1,3.982,1,0,b'0000',b'AA',10,57041.38169771,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.14105,313.353943
45.6195250,-24.4557932,b'03h02m28.69s',b'-24d27m20.86s',0.0684,0.0673,-0.0149,12.544,0.029,37.5,19.830,11.983,0.036,30.4,3.981,1,0,b'0000',b'AA',10,56869.03468361,462024301351013575,12.474,0.023,11.969,0.022,8.478,0.022,5.417,0.030,154165724,15.150,0.1281,14.541,0.1391,13.784,0.0978,0.141318,339.64321
