source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05456a190',55360.02635020,13.024,0.034,2.170,11.453,0.032,1.814,7.767,0.032,1.104,5.193,0.067,0.986,1.0,38,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05460a190',55360.15865400,13.025,0.035,2.169,11.408,0.027,1.982,7.785,0.026,1.041,5.059,0.047,1.017,1.0,12,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10849a062',55538.35853090,13.090,0.033,2.326,11.522,0.030,2.048,,,,,,,1.0,80,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05453b215',55359.96013460,13.055,0.038,2.196,11.420,0.030,1.909,7.802,0.035,1.013,5.203,0.054,1.006,1.0,55,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05449b215',55359.82783080,13.035,0.034,2.170,11.375,0.026,2.292,7.783,0.032,1.047,5.081,0.047,0.970,1.0,83,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'11018a090',55543.97988020,13.036,0.038,2.170,11.469,0.035,1.818,,,,,,,0.5,6,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05441b215',55359.56335050,13.032,0.039,2.168,11.412,0.026,1.960,7.860,0.028,1.137,5.186,0.061,0.974,1.0,38,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05445b214',55359.69552690,12.965,0.038,2.378,11.417,0.030,1.927,7.836,0.029,1.049,5.170,0.047,0.951,1.0,67,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05441b214',55359.56322310,12.953,0.036,2.465,11.385,0.031,2.180,7.839,0.029,1.057,5.121,0.054,0.929,1.0,38,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10845a061',55538.22622650,13.022,0.036,2.171,11.504,0.030,1.936,,,,,,,1.0,63,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'05452a190',55359.89404640,12.961,0.034,2.405,11.409,0.029,1.974,7.806,0.031,1.012,5.124,0.044,0.928,1.0,71,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10838a085',55538.02783370,13.034,0.034,2.169,11.447,0.030,1.821,,,,,,,1.0,18,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10841a062',55538.09404950,13.042,0.037,2.175,11.464,0.029,1.813,,,,,,,1.0,34,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10834a086',55537.89565670,13.043,0.037,2.177,11.469,0.027,1.819,,,,,,,0.5,-5,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10837a062',55537.96174520,13.075,0.037,2.259,11.512,0.034,1.980,,,,,,,1.0,3,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10830a086',55537.76335240,13.017,0.032,2.176,11.522,0.037,2.048,,,,,,,1.0,6,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10833a062',55537.82944090,12.972,0.037,2.331,11.485,0.039,1.855,,,,,,,1.0,-1,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10826a086',55537.63104810,13.063,0.035,2.216,11.539,0.031,2.191,,,,,,,1.0,26,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10829a062',55537.69726390,12.908,0.036,2.944,11.497,0.035,1.900,,,,,,,1.0,14,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10822b086',55537.49887110,13.068,0.039,2.234,11.427,0.029,1.877,,,,,,,1.0,56,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10825a062',55537.56495950,13.058,0.038,2.204,11.561,0.039,2.414,,,,,,,1.0,40,b'0000',0.635482,116.730996
b'0116m394_ac51-005371',11.5861961,-40.0970394,b'00h46m20.69s',b'-40d05m49.34s',1,0,b'0000',b'10818a086',55537.36656680,13.063,0.039,2.218,11.511,0.034,1.979,,,,,,,1.0,81,b'0000',0.635482,116.730996
