ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
11.5860595,-40.0970132,b'00h46m20.65s',b'-40d05m49.25s',0.0818,0.0792,-0.0323,13.285,0.037,29.1,5.200,11.748,0.036,29.8,1.359,1,0,b'0000',b'AA',5,58444.69962652,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.270755,135.019204
11.5861101,-40.0969676,b'00h46m20.67s',b'-40d05m49.08s',0.0810,0.0724,-0.0316,13.271,0.036,30.1,1.217,11.620,0.040,27.3,0.839,1,0,b'0000',b'AA',10,57915.64191846,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.331862,94.729038
11.5861204,-40.0969656,b'00h46m20.67s',b'-40d05m49.08s',0.0675,0.0644,-0.0344,13.174,0.032,34.0,1.702,11.683,0.032,33.9,1.040,1,0,b'0000',b'AA',10,57360.96181903,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.359662,93.213268
11.5861217,-40.0969888,b'00h46m20.67s',b'-40d05m49.16s',0.0852,0.0705,-0.0276,13.234,0.034,32.0,1.876,11.581,0.034,31.9,1.019,1,0,b'0000',b'AA',5,57550.62632644,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.377213,105.953756
11.5861310,-40.0969622,b'00h46m20.67s',b'-40d05m49.06s',0.0693,0.0689,-0.0303,13.194,0.036,30.6,2.841,11.531,0.027,39.7,0.937,1,0,b'0000',b'AA',10,56822.12745463,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.388368,91.168548
11.5861229,-40.0970005,b'00h46m20.67s',b'-40d05m49.20s',0.0766,0.0681,-0.0193,13.235,0.033,33.4,2.081,11.670,0.034,31.9,0.737,1,0,b'0000',b'AA',10,57914.92169581,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.393959,111.721229
11.5861120,-40.0970224,b'00h46m20.67s',b'-40d05m49.28s',0.0807,0.0791,-0.0167,13.309,0.038,28.2,5.342,11.774,0.034,32.3,5.504,1,0,b'0000',b'AA',5,57915.44543628,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.40415,123.76809
11.5861292,-40.0969961,b'00h46m20.67s',b'-40d05m49.19s',0.0917,0.0801,-0.0279,13.305,0.034,31.7,0.816,12.040,0.044,24.4,16.790,2,0,b'0000',b'AA',10,58646.38512176,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.404769,108.727994
11.5861384,-40.0969474,b'00h46m20.67s',b'-40d05m49.01s',0.0673,0.0645,-0.0182,13.160,0.033,33.1,1.259,11.662,0.031,34.7,0.580,1,0,b'0000',b'AA',5,57551.60912041,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.411183,83.666471
11.5861403,-40.0969714,b'00h46m20.67s',b'-40d05m49.10s',0.0706,0.0667,-0.0319,13.281,0.035,30.9,1.345,11.687,0.032,33.9,2.064,1,0,b'0000',b'AA',10,57921.53422225,116039401351005371,13.025,0.024,11.457,0.020,7.808,0.020,5.132,0.027,628608905,16.379,0.1288,15.844,0.1638,14.845,0.1329,0.415935,95.662638
