source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10233a138',55517.99805130,11.271,0.023,1.667,10.343,0.027,1.827,,,,,,,1.0,19,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10234a162',55518.06413970,11.344,0.025,1.820,10.254,0.029,1.425,,,,,,,1.0,38,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10230a161',55517.93183550,11.305,0.033,1.642,10.288,0.024,1.424,,,,,,,1.0,5,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10230a163',55517.93196290,11.257,0.027,1.728,10.288,0.027,1.424,,,,,,,1.0,5,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10226a162',55517.79965870,11.279,0.026,1.645,10.240,0.024,1.488,,,,,,,1.0,1,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10229a138',55517.86574710,11.278,0.022,1.648,10.272,0.019,1.398,,,,,,,1.0,-2,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10222a162',55517.66735460,11.307,0.026,1.646,10.289,0.023,1.425,,,,,,,1.0,18,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10249a138',55518.52714670,11.293,0.030,1.631,10.270,0.023,1.398,,,,,,,1.0,51,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10241a138',55518.26253220,11.295,0.028,1.631,10.222,0.024,1.618,,,,,,,1.0,101,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10245a138',55518.39483640,11.273,0.025,1.659,10.301,0.024,1.478,,,,,,,1.0,93,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'04764a117',55337.13002270,11.320,0.030,1.686,10.282,0.036,1.409,7.615,0.029,0.992,5.654,0.079,0.882,1.0,22,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'10218b162',55517.53505050,11.268,0.029,1.678,10.312,0.025,1.539,,,,,,,1.0,49,b'0011',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'04756a117',55336.86541480,11.270,0.025,1.669,10.271,0.026,1.398,7.559,0.025,1.032,5.803,0.110,0.945,1.0,101,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'04760a117',55336.99771870,11.277,0.023,1.649,10.369,0.028,2.186,7.540,0.025,1.132,5.609,0.105,0.915,1.0,59,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'04749b141',55336.66689520,11.289,0.030,1.632,10.260,0.024,1.409,7.597,0.027,0.964,5.825,0.089,0.973,1.0,74,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'04752a117',55336.73311090,11.310,0.026,1.653,10.256,0.029,1.418,7.603,0.029,0.969,5.595,0.076,0.931,1.0,94,b'0000',0.028996,336.735861
b'3296m061_ac51-034143',329.3615968,-6.1715626,b'21h57m26.78s',b'-06d10m17.63s',1,0,b'0000',b'04745b141',55336.53459120,11.307,0.027,1.647,10.279,0.025,1.403,7.569,0.031,0.996,5.713,0.104,0.879,1.0,31,b'0000',0.028996,336.735861
