ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
131.2429342,30.9439806,b'08h44m58.30s',b'30d56m38.33s',0.0588,0.0583,-0.0167,12.380,0.026,42.1,0.854,11.473,0.029,37.3,0.872,1,0,b'0000',b'AA',10,58940.76450337,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.01304,80.543392
131.2429305,30.9439853,b'08h44m58.30s',b'30d56m38.35s',0.0742,0.0754,-0.0105,12.822,0.031,34.7,1.616,12.034,0.042,26.1,0.545,1,0,b'0000',b'AA',10,57690.87636731,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.019195,4.625856
131.2429373,30.9439776,b'08h44m58.30s',b'30d56m38.32s',0.0647,0.0695,-0.0211,12.817,0.029,37.2,0.947,11.984,0.039,28.2,0.627,1,0,b'0000',b'AA',10,57690.54885270,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.024201,110.97311
131.2429318,30.9439722,b'08h44m58.30s',b'30d56m38.30s',0.0618,0.0669,-0.0113,12.785,0.028,38.7,1.213,11.896,0.037,29.0,0.652,1,0,b'0000',b'AA',10,57323.61934810,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.028668,168.804486
131.2429380,30.9439758,b'08h44m58.31s',b'30d56m38.31s',0.0649,0.0693,-0.0077,12.707,0.031,35.1,0.591,11.796,0.032,33.8,0.766,1,0,b'0000',b'AA',10,57129.19658939,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.028996,121.471765
131.2429381,30.9439850,b'08h44m58.31s',b'30d56m38.35s',0.0574,0.0668,-0.0184,12.700,0.028,38.7,0.928,11.776,0.036,30.2,0.710,1,0,b'0000',b'AA',10,57129.06530375,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.030889,54.256617
131.2429382,30.9439751,b'08h44m58.31s',b'30d56m38.31s',0.0582,0.0610,-0.0190,12.721,0.027,40.2,0.697,11.780,0.030,35.9,0.845,1,0,b'0000',b'AA',10,57129.13101027,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.030889,124.865912
131.2429398,30.9439826,b'08h44m58.31s',b'30d56m38.34s',0.0702,0.0936,-0.0174,12.801,0.036,30.4,1.084,11.919,0.041,26.3,0.891,1,0,b'0000',b'AA',10,57487.75126360,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.031644,72.811412
131.2429386,30.9439750,b'08h44m58.31s',b'30d56m38.31s',0.0575,0.0624,0.0077,12.413,0.029,37.2,1.231,11.628,0.036,30.5,0.831,1,0,b'0000',b'AA',10,57851.30848212,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.032089,124.132452
131.2429242,30.9439889,b'08h44m58.30s',b'30d56m38.36s',0.0649,0.0695,-0.0269,12.871,0.027,40.6,1.187,11.981,0.038,28.6,1.370,1,0,b'0000',b'AA',10,57488.47212663,1304130201351052598,12.499,0.024,11.731,0.023,9.584,0.046,7.205,0.115,190162665,15.596,0.0650,14.699,0.0703,13.660,0.0462,0.036755,330.797811
