source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'10284a211',55519.69292630,9.650,0.023,6.573,8.691,0.028,2.868,,,,,,,1.0,70,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'10284a210',55519.69279900,9.598,0.034,6.740,8.635,0.018,3.055,,,,,,,1.0,71,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04506a068',55328.62106550,9.698,0.021,6.815,8.738,0.022,3.183,5.528,0.017,1.926,3.011,0.023,1.488,1.0,20,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04505a044',55328.55497700,9.742,0.026,7.323,8.751,0.019,3.340,5.529,0.016,1.931,2.995,0.019,1.440,1.0,39,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04513a045',55328.81958530,9.698,0.025,6.812,8.712,0.023,2.961,5.526,0.018,1.917,3.021,0.031,1.537,1.0,-13,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04509a044',55328.68728120,9.694,0.024,6.778,8.745,0.026,3.271,5.535,0.016,1.966,2.982,0.023,1.436,1.0,5,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04497a045',55328.29036880,9.724,0.026,7.079,8.705,0.021,2.919,5.508,0.016,1.920,2.987,0.016,1.434,1.0,86,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04494a068',55328.22415300,9.696,0.026,6.798,8.706,0.023,2.927,5.534,0.012,1.959,3.032,0.025,1.618,1.0,73,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'10241b235',55518.30404410,9.594,0.017,6.772,8.644,0.018,2.979,,,,,,,1.0,-12,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04498a068',55328.35645720,9.711,0.019,6.940,8.721,0.021,3.023,5.532,0.015,1.943,3.036,0.022,1.655,1.0,93,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04474a068',55327.56263240,9.714,0.025,6.972,8.712,0.015,2.957,5.491,0.014,2.049,2.982,0.017,1.436,1.0,37,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04517a044',55328.95188950,9.722,0.023,7.059,8.732,0.029,3.120,5.530,0.014,1.934,3.011,0.037,1.489,1.0,-4,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04482a068',55327.82724060,9.728,0.031,7.140,8.724,0.029,3.048,5.503,0.015,1.943,2.975,0.020,1.449,1.0,-14,b'0000',0.114921,291.118296
b'1305m364_ac51-040807',129.6282132,-35.9925985,b'08h38m30.77s',b'-35d59m33.35s',1,0,b'0h00',b'04478a068',55327.69493650,9.709,0.026,6.917,8.677,0.018,2.854,5.477,0.017,2.237,2.976,0.019,1.445,1.0,4,b'0000',0.114921,291.118296
