ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
36.2876171,-63.2240026,b'02h25m09.03s',b'-63d13m26.41s',0.0382,0.0343,-0.0043,11.209,0.018,60.0,19.750,10.388,0.021,52.1,8.544,1,0,b'0000',b'AA',0,58801.36553652,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.010647,206.67883
36.2876241,-63.2239972,b'02h25m09.03s',b'-63d13m26.39s',0.0361,0.0352,0.0096,11.264,0.019,58.4,20.070,10.470,0.021,52.3,5.644,1,0,b'0000',b'AA',5,58073.82459315,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.011904,33.411482
36.2876250,-63.2240024,b'02h25m09.03s',b'-63d13m26.41s',0.0349,0.0304,-0.0017,11.191,0.017,62.9,22.810,10.393,0.018,59.2,8.946,1,0,b'0000',b'AA',5,58800.71140193,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.011904,136.815636
36.2876124,-63.2240013,b'02h25m09.03s',b'-63d13m26.40s',0.0364,0.0360,-0.0109,11.411,0.019,55.9,21.020,10.736,0.020,55.6,7.232,1,0,b'0000',b'AA',5,57354.26814734,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.01304,249.208626
36.2876221,-63.2240037,b'02h25m09.03s',b'-63d13m26.41s',0.0411,0.0363,0.0116,11.369,0.020,53.1,22.720,10.642,0.022,48.3,5.003,1,0,b'0000',b'AA',5,56995.18032391,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.013745,165.657269
36.2876106,-63.2240003,b'02h25m09.03s',b'-63d13m26.40s',0.0392,0.0382,0.0085,11.041,0.021,52.5,8.715,10.240,0.020,55.4,1.551,1,0,b'0000',b'AA',10,59164.98434715,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.015368,265.947778
36.2876217,-63.2240047,b'02h25m09.03s',b'-63d13m26.42s',0.0376,0.0354,0.0043,11.445,0.020,55.4,14.170,10.773,0.021,51.6,3.224,1,0,b'0000',b'AA',10,57353.35016527,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.017113,170.745102
36.2876142,-63.2239953,b'02h25m09.03s',b'-63d13m26.38s',0.0350,0.0303,-0.0040,11.072,0.017,62.6,9.207,10.288,0.018,61.8,1.709,1,0,b'0000',b'AA',10,59165.31135079,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.019439,330.928534
36.2876319,-63.2239986,b'02h25m09.03s',b'-63d13m26.39s',0.0353,0.0357,-0.0033,11.144,0.019,58.6,10.620,10.373,0.018,59.3,3.716,1,0,b'0000',b'AA',10,58801.75799440,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.019919,75.364322
36.2876167,-63.2239946,b'02h25m09.03s',b'-63d13m26.38s',0.0391,0.0361,0.0084,11.184,0.020,53.2,8.147,10.442,0.019,57.8,1.799,1,0,b'0000',b'AA',10,58270.88664339,363063701351044882,11.070,0.022,10.309,0.020,7.467,0.017,5.193,0.027,1156474031,13.846,0.0597,13.107,0.0750,12.397,0.0390,0.020155,344.607353
