source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05219a107',55352.18502450,11.503,0.030,2.224,10.558,0.028,1.855,7.643,0.030,1.076,4.875,0.045,1.062,1.0,100,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05221a167',55352.25111270,11.495,0.024,2.299,10.532,0.025,1.792,7.574,0.030,1.122,4.941,0.054,0.923,1.0,119,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05214a189',55352.05272070,11.527,0.026,2.060,10.495,0.027,1.916,7.649,0.028,1.097,4.962,0.055,0.915,1.0,68,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05217a105',55352.11880900,11.549,0.026,1.998,10.479,0.024,2.055,7.605,0.027,1.030,4.914,0.046,0.957,1.0,82,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05229a135',55352.51572080,11.516,0.025,2.125,10.479,0.022,2.049,7.640,0.035,1.066,4.993,0.061,0.933,1.0,76,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05213a164',55351.98650520,11.522,0.025,2.085,10.481,0.022,2.029,7.610,0.028,1.026,5.072,0.048,1.115,1.0,53,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'10929b110',55541.03964070,11.595,0.027,2.096,10.559,0.025,1.858,,,,,,,0.5,75,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05209a163',55351.85420130,11.550,0.026,1.997,10.519,0.019,1.805,7.584,0.025,1.077,5.027,0.047,0.988,1.0,40,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05206a187',55351.78811310,11.513,0.024,2.141,10.479,0.024,2.054,7.611,0.028,1.026,4.965,0.049,0.915,1.0,40,b'0000',0.109058,54.480248
b'1808p272_ac51-056496',181.1754779,27.9032976,b'12h04m42.11s',b'27d54m11.87s',1,0,b'0000',b'05233a167',55352.64802450,11.513,0.021,2.140,10.483,0.022,2.015,7.591,0.024,1.057,4.906,0.069,0.973,1.0,58,b'0000',0.109058,54.480248
