ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
181.1754606,27.9032783,b'12h04m42.11s',b'27d54m11.80s',0.0375,0.0404,-0.0046,11.401,0.021,52.3,2.740,10.426,0.019,56.2,0.937,1,0,b'0000',b'AA',5,57895.11403143,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.034226,100.285863
181.1754471,27.9032896,b'12h04m42.11s',b'27d54m11.84s',0.0352,0.0385,0.0099,11.411,0.020,55.0,2.483,10.421,0.019,57.3,0.891,1,0,b'0000',b'AA',10,58987.06698594,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.035712,345.052746
181.1754436,27.9032697,b'12h04m42.11s',b'27d54m11.77s',0.0339,0.0367,0.0033,11.332,0.019,56.9,2.848,10.360,0.020,53.7,0.819,1,0,b'0000',b'AA',5,58622.27752250,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.042255,208.77204
181.1754554,27.9032918,b'12h04m42.11s',b'27d54m11.85s',0.0311,0.0364,0.0045,11.388,0.019,58.3,1.703,10.449,0.017,62.1,2.254,1,0,b'0000',b'AA',5,57894.98312811,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.045795,22.019531
181.1754521,27.9032940,b'12h04m42.11s',b'27d54m11.86s',0.0373,0.0420,-0.0086,11.318,0.020,53.9,5.240,10.364,0.022,48.4,2.470,1,0,b'0000',b'AA',10,58622.14661916,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.050877,7.55115
181.1754641,27.9032913,b'12h04m42.11s',b'27d54m11.85s',0.0356,0.0376,-0.0078,11.306,0.020,53.6,1.787,10.369,0.020,54.7,2.139,1,0,b'0000',b'AA',5,58622.73542944,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.060543,47.796687
181.1754600,27.9032948,b'12h04m42.11s',b'27d54m11.86s',0.0492,0.0514,-0.0159,11.969,0.024,46.2,11.970,10.984,0.024,44.8,3.148,1,0,b'0000',b'AA',0,56817.09138015,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.062083,30.842301
181.1754691,27.9032861,b'12h04m42.11s',b'27d54m11.83s',0.0298,0.0358,0.0032,11.314,0.017,62.1,1.771,10.441,0.018,58.7,1.651,1,0,b'0000',b'AA',5,57175.66514359,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.064618,70.130798
181.1754658,27.9032924,b'12h04m42.11s',b'27d54m11.85s',0.0348,0.0339,-0.0101,11.301,0.019,58.6,3.718,10.374,0.018,59.5,1.142,1,0,b'0000',b'AA',10,58622.99710882,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.067198,48.393104
181.1754651,27.9032931,b'12h04m42.11s',b'27d54m11.86s',0.0346,0.0395,-0.0072,11.322,0.019,55.9,2.279,10.406,0.023,48.1,2.710,1,0,b'0000',b'AA',5,57534.60454862,1808127201351056496,11.556,0.023,10.531,0.020,7.610,0.019,4.962,0.027,202896559,14.754,0.0373,14.030,0.0392,12.878,0.0284,0.067339,45.52963
