source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07168a203',55416.65007220,13.783,0.047,2.118,12.904,0.060,1.604,,,,,,,1.0,62,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12402a073',55589.74101430,13.772,0.053,2.072,13.040,0.066,2.006,,,,,,,1.0,-3,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07133b228',55415.52555230,13.796,0.047,2.176,12.912,0.064,1.613,,,,,,,1.0,25,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07136a202',55415.59164050,13.774,0.053,2.082,12.888,0.058,1.588,,,,,,,1.0,45,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07160a203',55416.38546440,13.763,0.050,2.044,12.869,0.061,1.582,,,,,,,1.0,-16,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07164a203',55416.51776830,13.712,0.050,1.942,12.922,0.066,1.629,,,,,,,1.0,22,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07125b227',55415.26094450,13.721,0.043,1.950,12.847,0.056,1.589,,,,,,,1.0,-13,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07129b228',55415.39324840,13.805,0.048,2.222,12.626,0.111,2.805,,,,,,,1.0,-14,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07145b228',55415.92246400,13.753,0.045,2.010,12.992,0.066,1.814,,,,,,,1.0,71,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07153b228',55416.18707170,13.688,0.045,1.946,12.880,0.063,1.584,,,,,,,1.0,-3,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07156a203',55416.25316060,13.693,0.042,1.943,12.927,0.074,1.638,,,,,,,1.0,-12,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07148a203',55415.98855220,13.784,0.046,2.124,12.865,0.060,1.582,,,,,,,1.0,51,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07149b228',55416.05476780,13.708,0.046,1.941,12.855,0.056,1.584,,,,,,,1.0,31,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12433a049',55590.73297790,13.826,0.048,2.346,13.082,0.073,2.217,,,,,,,1.0,-2,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12441a049',55590.99745910,13.839,0.062,2.429,13.115,0.081,2.400,,,,,,,1.0,9,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12429a050',55590.60080100,13.875,0.056,2.696,13.024,0.069,1.936,,,,,,,0.5,25,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12430a073',55590.66688940,13.794,0.050,2.167,13.086,0.071,2.235,,,,,,,1.0,8,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12425a049',55590.46849670,13.968,0.070,3.578,12.949,0.079,1.685,,,,,,,1.0,64,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12426b073',55590.53458510,13.762,0.044,2.039,13.095,0.067,2.286,,,,,,,1.0,45,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12421a049',55590.33619240,13.893,0.056,2.843,13.083,0.080,2.219,,,,,,,1.0,90,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12422a074',55590.40240820,13.760,0.054,2.034,13.052,0.065,2.063,,,,,,,1.0,82,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12410a073',55590.00562280,13.914,0.058,3.033,13.048,0.065,2.046,,,,,,,1.0,11,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12417a050',55590.20401550,13.789,0.054,2.143,13.059,0.075,2.097,,,,,,,1.0,68,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01425a051',55226.66832890,13.519,0.039,3.125,12.654,0.050,2.513,10.345,0.181,1.361,7.142,0.238,1.221,1.0,8,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12406a073',55589.87331860,13.990,0.064,3.823,13.064,0.072,2.120,,,,,,,1.0,-16,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01417a052',55226.40372030,13.564,0.040,2.588,12.631,0.046,2.748,10.137,0.156,1.186,7.267,0.385,1.193,1.0,82,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01421a052',55226.53602470,13.463,0.040,4.062,12.758,0.054,1.804,9.960,0.136,1.135,7.216,,1.258,1.0,45,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01413a052',55226.27141610,13.518,0.041,3.133,12.741,0.053,1.883,10.150,0.181,1.194,7.564,0.381,1.186,1.0,83,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01414a075',55226.33750460,13.563,0.041,2.592,12.642,0.049,2.627,10.221,0.166,1.246,7.107,0.236,1.233,1.0,91,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01410a076',55226.20520020,13.461,0.038,4.117,12.690,0.048,2.206,9.835,0.126,1.188,7.255,0.292,1.195,1.0,68,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01413a051',55226.27128870,13.511,0.040,3.237,12.584,0.042,3.341,9.743,0.103,1.293,7.443,0.335,1.181,1.0,82,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01401a052',55225.87437580,13.576,0.042,2.477,12.772,0.069,1.749,9.846,0.125,1.179,7.191,,1.253,1.0,-17,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01402a075',55225.94046430,13.459,0.038,4.151,12.695,0.048,2.165,9.881,0.125,1.158,7.125,,1.270,1.0,-7,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'12445a049',55591.12976330,13.806,0.050,2.227,12.949,0.063,1.685,,,,,,,0.5,47,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01397a051',55225.74194410,13.555,0.049,2.677,12.639,0.047,2.657,9.681,0.103,1.403,7.471,0.334,1.181,0.5,-4,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01398a075',55225.80816000,13.502,0.038,3.377,12.647,0.049,2.577,10.074,0.183,1.155,6.780,0.191,1.468,0.5,-12,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07141b228',55415.79016000,13.801,0.049,2.203,13.009,0.064,1.876,,,,,,,1.0,92,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07144a203',55415.85624830,13.761,0.044,2.037,12.930,0.059,1.644,,,,,,,1.0,89,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01390b076',55225.54355140,13.550,0.044,2.735,12.638,0.044,2.670,9.938,0.130,1.138,7.513,0.399,1.183,1.0,42,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'01394a076',55225.67585570,13.605,0.042,2.246,12.736,0.056,1.906,,,,,,,1.0,7,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07137b228',55415.65785620,13.743,0.046,1.987,13.018,0.069,1.914,,,,,,,1.0,64,b'0000',0.442041,80.010506
b'0573m303_ac51-037442',56.7727202,-30.3974787,b'03h47m05.45s',b'-30d23m50.92s',1,0,b'0000',b'07140a202',55415.72394440,13.775,0.046,2.087,12.797,0.055,1.670,,,,,,,1.0,81,b'0000',0.442041,80.010506
