source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'00714a079',55203.17851630,10.519,0.023,29.420,9.983,0.022,8.952,6.068,0.019,4.578,3.376,0.028,0.946,1.0,57,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'11634a074',55564.34711540,10.570,0.022,28.980,10.043,0.023,9.102,,,,,,,1.0,83,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'06321b227',55388.66966310,10.626,0.024,28.990,9.963,0.020,9.039,6.132,0.016,4.425,3.423,0.021,0.988,1.0,64,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'06324a202',55388.73575130,10.576,0.021,28.960,9.994,0.022,8.934,6.142,0.017,4.516,3.424,0.022,0.991,1.0,78,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'06309b227',55388.27275200,10.598,0.020,28.920,10.008,0.020,8.942,6.175,0.016,4.984,3.463,0.044,1.210,1.0,-7,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'06317b227',55388.53735930,10.624,0.024,28.980,10.009,0.026,8.944,6.140,0.017,4.489,3.404,0.023,0.940,0.5,30,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'00741a050',55204.03859640,10.546,0.032,29.130,9.985,0.023,8.947,6.063,0.016,4.648,3.342,0.035,1.083,1.0,20,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'00741a051',55204.03872380,10.625,0.023,28.980,9.952,0.024,9.124,6.061,0.022,4.673,3.385,0.032,0.934,1.0,20,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'00725a051',55203.50937770,10.546,0.024,29.130,9.954,0.021,9.109,6.082,0.019,4.435,3.352,0.029,1.026,1.0,53,b'0000',0.353983,229.774147
b'0373m364_ac51-023580',37.9624064,-36.6721235,b'02h31m50.98s',b'-36d40m19.64s',1,0,b'0000',b'00737a050',55203.90629170,10.624,0.023,28.980,9.947,0.025,9.164,6.118,0.019,4.354,3.394,0.024,0.931,1.0,-9,b'0000',0.353983,229.774147
