ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
139.9916033,37.1911293,b'09h19m57.98s',b'37d11m28.07s',0.0351,0.0387,-0.0120,10.798,0.016,68.4,143.200,10.565,0.021,50.7,44.020,1,0,b'0000',b'AA',0,57328.20873878,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.670774,225.456026
139.9916452,37.1910977,b'09h19m57.99s',b'37d11m27.95s',0.0341,0.0345,0.0024,10.473,0.019,58.5,107.600,10.395,0.018,59.9,41.890,1,0,b'0000',b'AA',10,58059.33301615,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.685189,211.490023
139.9915738,37.1911204,b'09h19m57.98s',b'37d11m28.03s',0.0320,0.0365,-0.0156,10.625,0.017,63.8,55.080,10.300,0.019,56.9,29.890,1,0,b'0000',b'AA',10,57133.92453484,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.754432,228.229819
139.9916148,37.1910774,b'09h19m57.99s',b'37d11m27.88s',0.0350,0.0333,-0.0116,10.428,0.017,64.0,96.660,10.175,0.018,60.8,25.100,1,0,b'0000',b'AA',10,57856.74467144,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.793866,214.101426
139.9915386,37.1911317,b'09h19m57.97s',b'37d11m28.07s',0.0308,0.0328,-0.0120,10.478,0.016,67.8,95.410,10.290,0.020,53.9,44.840,1,0,b'0000',b'AA',5,56966.29671501,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.808534,235.162071
139.9916702,37.1910499,b'09h19m58.00s',b'37d11m27.78s',0.0329,0.0348,-0.0144,10.519,0.019,56.7,97.430,10.240,0.019,56.0,35.580,1,0,b'0000',b'AA',10,56774.51472317,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.808703,200.726949
139.9915837,37.1910798,b'09h19m57.98s',b'37d11m27.89s',0.0348,0.0371,-0.0131,10.576,0.020,55.3,97.760,10.420,0.019,56.7,43.820,1,0,b'0000',b'AA',10,58059.92233632,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.840411,219.474578
139.9916063,37.1910615,b'09h19m57.99s',b'37d11m27.82s',0.0345,0.0357,-0.0117,10.607,0.018,59.2,78.120,10.413,0.019,58.5,35.580,1,0,b'0000',b'AA',5,58059.46404696,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.855015,213.303495
139.9915150,37.1911358,b'09h19m57.96s',b'37d11m28.09s',0.0346,0.0362,-0.0123,10.758,0.016,68.5,138.500,10.490,0.020,54.5,40.080,1,0,b'0000',b'AA',0,57327.88084321,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.857156,238.558271
139.9915795,37.1910751,b'09h19m57.98s',b'37d11m27.87s',0.0334,0.0350,-0.0175,10.465,0.019,56.5,85.530,10.034,0.019,55.8,34.520,1,0,b'0000',b'AA',10,57492.34003698,1402137801351007881,10.460,0.023,10.089,0.020,7.106,0.018,4.869,0.026,850993049,12.627,0.0300,11.801,0.0410,11.566,0.0420,0.861131,219.377501
