source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06718a125',55401.78785690,7.778,0.035,2.801,6.629,0.018,2.156,3.747,0.013,2.392,1.506,0.033,1.835,1.0,-14,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06714a125',55401.65555300,7.768,0.030,2.730,6.583,0.022,2.052,3.761,0.017,2.372,1.466,0.021,2.031,1.0,7,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12365b178',55588.52977440,7.572,0.028,2.903,,,,,,,,,,1.0,26,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06722a125',55401.92016060,7.712,0.023,2.461,6.571,0.017,2.071,3.737,0.014,2.456,1.485,0.021,1.897,1.0,-13,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06729a060',55402.11855270,7.728,0.022,2.514,6.590,0.025,2.050,,,,,,,1.0,45,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06726a125',55402.05246450,7.721,0.027,2.488,6.676,0.022,2.532,3.767,0.011,2.390,1.514,0.028,1.835,1.0,25,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06733a101',55402.25085650,7.734,0.022,2.538,6.654,0.020,2.325,3.752,0.013,2.375,1.517,0.036,1.839,1.0,81,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06731a071',55402.18464090,7.833,0.026,3.287,6.594,0.018,2.051,3.790,0.014,2.594,1.508,0.019,1.834,1.0,65,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06737a101',55402.38316020,7.697,0.023,2.426,6.659,0.020,2.372,3.776,0.012,2.443,1.516,0.011,1.838,1.0,89,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06734a124',55402.31694460,7.707,0.030,2.447,6.609,0.021,2.077,3.766,0.019,2.387,1.534,0.024,1.894,1.0,92,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12369b178',55588.66207860,7.632,0.025,2.493,,,,,,,,,,1.0,66,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12365b179',55588.52990170,7.625,0.021,2.523,,,,,,,,,,1.0,26,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12377b178',55588.92655980,7.596,0.028,2.698,,,,,,,,,,1.0,70,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12373b179',55588.79438280,7.680,0.028,2.409,,,,,,,,,,1.0,93,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12381b179',55589.05886400,7.622,0.022,2.535,6.484,0.025,2.881,,,,,,,1.0,29,b'0011',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12380a154',55588.99277560,7.633,0.028,2.489,6.596,0.021,2.054,,,,,,,1.0,50,b'0011',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01312a157',55222.94203360,7.654,0.020,2.429,6.576,0.027,2.061,3.708,0.012,2.926,1.447,0.021,2.245,1.0,65,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06745a101',55402.64776770,7.700,0.023,2.432,6.632,0.016,2.175,3.786,0.016,2.546,1.550,0.023,1.992,1.0,10,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06741a083',55402.51546400,7.738,0.024,2.560,6.630,0.017,2.165,3.798,0.015,2.715,1.506,0.016,1.835,1.0,50,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01290a110',55222.21416900,7.696,0.020,2.425,6.594,0.020,2.052,3.769,0.012,2.401,1.508,0.028,1.834,1.0,-7,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01285b182',55222.08186460,7.723,0.026,2.494,6.558,0.019,2.116,3.779,0.016,2.469,1.544,0.023,1.949,1.0,23,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12289b181',55586.01688600,7.645,0.022,2.449,6.599,0.019,2.057,,,,,,,1.0,43,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06749a101',55402.78007160,7.768,0.028,2.726,6.674,0.021,2.513,3.768,0.017,2.393,1.583,0.019,2.327,1.0,-13,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01296a157',55222.41268910,7.671,0.019,2.409,6.553,0.023,2.138,3.751,0.013,2.378,1.514,0.025,1.836,1.0,-9,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01293b181',55222.34647320,7.674,0.023,2.409,6.629,0.018,2.161,3.781,0.021,2.491,1.415,0.026,2.799,1.0,-21,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12304a114',55586.47988740,7.683,0.032,2.410,,,,,,,,,,1.0,10,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12305b181',55586.54597580,7.684,0.023,2.411,,,,,,,,,,1.0,31,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01300a103',55222.54499340,7.680,0.022,2.409,6.556,0.019,2.126,3.751,0.015,2.377,1.565,0.031,2.119,1.0,30,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01298a100',55222.47877760,7.690,0.026,2.416,6.533,0.016,2.273,3.750,0.022,2.382,1.500,0.029,1.843,1.0,10,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12301b181',55586.41367160,7.619,0.027,2.551,,,,,,,,,,1.0,-9,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12304a113',55586.47976010,7.571,0.025,2.910,,,,,,,,,,1.0,10,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01304a156',55222.67729760,7.694,0.020,2.421,6.593,0.016,2.051,3.751,0.013,2.376,1.521,0.026,1.847,1.0,70,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01301b182',55222.61120920,7.654,0.021,2.430,6.583,0.020,2.052,3.705,0.015,2.998,1.492,0.019,1.864,1.0,50,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12297b181',55586.28136730,7.588,0.025,2.755,,,,,,,,,,1.0,-17,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12297b182',55586.28149460,7.562,0.026,3.004,,,,,,,,,,1.0,-16,b'0111',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12385b179',55589.19116840,7.603,0.029,2.644,6.605,0.028,2.068,,,,,,,1.0,-3,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01308a156',55222.80960200,7.670,0.025,2.410,6.541,0.019,2.215,3.707,0.015,2.935,1.471,0.019,1.987,1.0,95,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12294a117',55586.14919030,7.590,0.027,2.745,6.553,0.020,2.143,,,,,,,1.0,3,b'0011',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12392a154',55589.38956110,7.655,0.039,2.428,6.426,0.018,4.179,,,,,,,1.0,-14,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12396a154',55589.52173800,7.588,0.024,2.759,6.552,0.016,2.146,,,,,,,1.0,23,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'01308a157',55222.80972930,7.702,0.023,2.436,6.563,0.017,2.098,3.742,0.018,2.420,1.505,0.022,1.835,1.0,95,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12388a154',55589.25725680,7.664,0.021,2.415,6.602,0.026,2.062,,,,,,,0.5,-13,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'06726a124',55402.05233710,7.697,0.023,2.426,6.584,0.015,2.051,3.775,0.013,2.440,1.519,0.019,1.842,1.0,25,b'0000',0.21105,203.890016
b'2069m303_ac51-029070',207.3302525,-30.3094936,b'13h49m19.26s',b'-30d18m34.18s',1,0,b'0000',b'12384a106',55589.12495260,7.677,0.034,2.409,6.547,0.020,2.177,,,,,,,1.0,9,b'0000',0.21105,203.890016
