ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
207.3302856,-30.3094305,b'13h49m19.27s',b'-30d18m33.95s',0.0210,0.0223,0.0025,8.213,0.014,79.6,17.280,7.062,0.012,91.9,4.887,1,0,b'0000',b'AA',10,58511.87758773,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.038389,26.971543
207.3302899,-30.3094558,b'13h49m19.27s',b'-30d18m34.04s',0.0217,0.0228,-0.0085,7.784,0.015,74.5,10.420,6.777,0.012,90.0,10.220,1,0,b'0h00',b'AA',10,56687.36525781,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.064691,151.589442
207.3302738,-30.3094626,b'13h49m19.27s',b'-30d18m34.07s',0.0252,0.0273,-0.0032,7.629,0.016,67.3,5.333,6.543,0.016,67.9,2.426,1,0,b'0000',b'AA',10,57049.37458765,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.083611,193.324301
207.3302800,-30.3094700,b'13h49m19.27s',b'-30d18m34.09s',0.0224,0.0231,-0.0091,7.766,0.016,67.6,4.080,6.791,0.012,92.1,2.474,1,0,b'0000',b'AA',10,56687.23346292,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.108014,180.0
207.3302503,-30.3094657,b'13h49m19.26s',b'-30d18m34.08s',0.0226,0.0231,-0.0103,7.624,0.016,68.3,4.311,6.558,0.013,85.9,2.882,1,0,b'0000',b'AA',10,57049.96581894,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.130691,224.933451
207.3302838,-30.3094762,b'13h49m19.27s',b'-30d18m34.11s',0.0238,0.0255,-0.0120,8.060,0.014,78.8,6.810,6.928,0.013,84.6,2.901,1,0,b'0000',b'AA',10,58143.91429612,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.130871,174.821777
207.3302491,-30.3094664,b'13h49m19.26s',b'-30d18m34.08s',0.0270,0.0292,-0.0134,7.942,0.019,57.3,8.780,6.943,0.014,74.9,5.199,1,0,b'0000',b'AA',10,57780.74729228,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.135098,225.298309
207.3302760,-30.3094777,b'13h49m19.27s',b'-30d18m34.12s',0.0248,0.0228,-0.0086,7.634,0.016,69.1,3.118,6.652,0.014,77.9,1.762,1,0,b'0000',b'AA',10,57049.24317465,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.136282,185.23358
207.3302862,-30.3094805,b'13h49m19.27s',b'-30d18m34.13s',0.0262,0.0252,-0.0085,8.058,0.014,79.1,9.207,6.997,0.015,74.3,1.638,1,0,b'0000',b'AA',10,58144.04520003,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.147083,172.471343
207.3302477,-30.3094711,b'13h49m19.26s',b'-30d18m34.10s',0.0259,0.0248,-0.0109,8.251,0.015,70.3,10.160,7.126,0.014,77.4,8.655,1,0,b'0000',b'AA',5,58508.99821932,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.150386,221.880137
207.3302409,-30.3094648,b'13h49m19.26s',b'-30d18m34.07s',0.0229,0.0279,-0.0143,7.933,0.018,61.4,9.940,6.768,0.012,89.1,5.314,1,0,b'0000',b'AA',10,57413.45785381,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.150794,233.695457
207.3302669,-30.3094830,b'13h49m19.26s',b'-30d18m34.14s',0.0248,0.0250,-0.0095,8.249,0.015,73.4,9.293,7.136,0.013,82.2,2.719,1,0,b'0000',b'AA',10,58508.47473199,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.160063,194.735585
207.3302901,-30.3094842,b'13h49m19.27s',b'-30d18m34.14s',0.0237,0.0244,-0.0064,7.990,0.016,67.3,8.416,6.916,0.012,88.0,8.185,1,0,b'0000',b'AA',10,57780.15784188,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.162173,168.840401
207.3303088,-30.3094778,b'13h49m19.27s',b'-30d18m34.12s',0.0264,0.0219,-0.0070,8.197,0.016,69.7,9.642,7.119,0.013,82.1,4.464,1,0,b'0000',b'AA',10,58511.35422828,2069030301351029070,7.676,0.029,6.589,0.022,3.757,0.014,1.509,0.016,14951884,11.308,0.0445,10.345,0.0374,9.309,0.0302,0.162871,146.66462
