ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
222.2094687,-40.1411582,b'14h48m50.27s',b'-40d08m28.17s',0.7609,1.0051,-0.1409,16.245,0.339,3.2,0.654,14.967,,0.5,0.959,1,0,b'0000',b'BU',10,57066.06084549,,,,,,,,,,,,,,,,,3.293568,23.056449
222.2081308,-40.1409262,b'14h48m49.95s',b'-40d08m27.33s',1.6393,1.7392,-1.0097,16.324,,-0.4,0.931,14.528,0.526,2.1,0.855,1,0,b'0000',b'UC',10,57966.27090795,,,,,,,,,,,,,,,,,4.545931,328.250617
222.2066404,-40.1414884,b'14h48m49.59s',b'-40d08m29.36s',1.5482,1.5163,-0.5755,16.612,,0.6,1.438,14.897,0.530,2.0,0.466,1,0,b'0000',b'UC',10,58160.93310331,,,,,,,,,,,,,,,,,6.749814,285.833814
222.2067513,-40.1411769,b'14h48m49.62s',b'-40d08m28.24s',0.4210,0.5324,-0.0642,15.559,0.152,7.1,1.842,14.891,,0.4,1.075,1,0,b'0000',b'BU',5,58320.11099076,,,,,,,,,,,,,,,,,6.861327,295.585185
222.2112130,-40.1406360,b'14h48m50.69s',b'-40d08m26.29s',1.2312,1.2723,0.2655,16.558,0.392,2.8,0.775,15.109,,0.4,0.878,1,0,b'0000',b'CU',10,57063.49918427,,,,,,,,,,,,,,,,,7.823264,51.122551
222.2061914,-40.1409585,b'14h48m49.49s',b'-40d08m27.45s',1.5075,1.7427,0.3662,17.111,,-0.3,1.031,15.050,0.490,2.2,1.057,1,0,b'0000',b'UC',10,58889.26149676,,,,,,,,,,,,,,,,,8.590763,295.876406
222.2063683,-40.1405417,b'14h48m49.53s',b'-40d08m25.95s',0.8462,0.9041,0.4737,15.649,0.339,3.2,0.601,15.058,,-0.2,0.557,1,0,b'0000',b'BU',10,57429.84745873,,,,,,,,,,,,,,,,,8.945161,305.936204
222.2113947,-40.1402200,b'14h48m50.73s',b'-40d08m24.79s',1.0885,1.4199,0.2807,17.044,,-2.0,0.591,14.604,0.462,2.4,0.261,1,0,b'0000',b'UC',10,57065.66673346,,,,,,,,,,,,,,,,,9.192119,45.804462
222.2118800,-40.1406000,b'14h48m50.85s',b'-40d08m26.16s',4.5078,6.2977,1.6371,16.882,,-0.7,1.821,15.184,,0.3,0.485,1,0,b'0000',b'UU',10,57065.79814697,,,,,,,,,,,,,,,,,9.392621,57.549023
222.2108144,-40.1396082,b'14h48m50.60s',b'-40d08m22.59s',1.0270,1.0713,0.3248,17.087,,-1.9,1.657,14.932,0.370,2.9,0.672,1,0,b'0000',b'UC',10,57600.24196663,,,,,,,,,,,,,,,,,9.953586,30.110674
