ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
266.8737538,-22.8789902,b'17h47m29.70s',b'-22d52m44.36s',0.0416,0.0411,-0.0142,10.054,0.018,60.6,50.500,10.620,0.034,32.3,9.459,1,0,b'h000',b'AA',5,59088.02888242,,,,,,,,,,51455780,13.780,,12.804,,12.996,0.0685,0.59557,334.889413
266.8734722,-22.8789687,b'17h47m29.63s',b'-22d52m44.29s',0.0476,0.0503,-0.0148,11.050,0.021,51.3,109.500,10.601,0.031,34.5,24.850,1,0,b'hh00',b'AA',5,58927.12635198,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,1.337405,297.458144
266.8734183,-22.8790035,b'17h47m29.62s',b'-22d52m44.41s',0.0420,0.0476,-0.0197,10.844,0.021,51.4,123.100,10.419,0.027,40.8,38.930,1,0,b'hh00',b'AA',5,56735.83615882,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,1.451247,289.791871
266.8733351,-22.8790173,b'17h47m29.60s',b'-22d52m44.46s',0.0606,0.0691,-0.0220,11.139,0.049,22.1,14.120,10.690,0.023,48.2,20.020,1,0,b'hh00',b'AA',5,59090.57881986,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,1.699868,285.061386
266.8732708,-22.8789599,b'17h47m29.58s',b'-22d52m44.26s',0.0672,0.0781,-0.0275,10.979,0.051,21.3,5.696,10.655,0.023,46.4,13.910,1,0,b'hh00',b'AA',5,58359.37737453,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,1.9648,289.267916
266.8732622,-22.8789809,b'17h47m29.58s',b'-22d52m44.33s',0.0644,0.0730,-0.0292,10.974,0.036,30.0,13.580,10.633,0.025,44.0,14.800,1,0,b'h000',b'AA',5,59090.18636519,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,1.968439,286.916033
266.8732685,-22.8789577,b'17h47m29.58s',b'-22d52m44.25s',0.0652,0.0668,-0.0230,11.188,0.074,14.6,5.067,10.781,0.021,51.5,49.510,1,0,b'hh00',b'AA',5,57464.38555655,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,1.974622,289.411807
266.8732786,-22.8789227,b'17h47m29.59s',b'-22d52m44.12s',0.0646,0.0657,-0.0217,11.157,0.041,26.2,14.300,10.787,0.023,47.6,32.040,1,0,b'hh00',b'AA',5,57829.20581878,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,1.989156,293.158176
266.8732308,-22.8790016,b'17h47m29.58s',b'-22d52m44.41s',0.0698,0.0712,-0.0228,11.023,0.041,26.7,7.840,10.655,0.025,43.7,13.160,1,0,b'hh00',b'AA',0,58359.50827775,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,2.048915,284.073742
266.8732528,-22.8789134,b'17h47m29.58s',b'-22d52m44.09s',0.0423,0.0412,-0.0145,10.998,0.019,57.4,71.180,10.664,0.024,44.3,28.040,1,0,b'hh00',b'AA',5,58560.28901897,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,2.081001,293.079117
266.8732505,-22.8788964,b'17h47m29.58s',b'-22d52m44.03s',0.0410,0.0403,-0.0116,10.752,0.018,60.3,64.280,10.572,0.022,48.8,28.920,1,0,b'hh00',b'AA',5,58926.79922069,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,2.112682,294.525068
266.8732147,-22.8789701,b'17h47m29.57s',b'-22d52m44.29s',0.0753,0.0879,-0.0305,11.013,0.045,23.9,8.096,10.716,0.028,39.4,12.230,1,0,b'h000',b'AA',5,59090.31714096,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,2.1305,286.683559
266.8732155,-22.8788850,b'17h47m29.57s',b'-22d52m43.99s',0.0745,0.0698,-0.0243,11.042,0.046,23.4,7.433,10.666,0.022,48.4,12.330,1,0,b'hh00',b'AA',5,58559.89643492,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,2.235359,294.246963
266.8731924,-22.8789231,b'17h47m29.57s',b'-22d52m44.12s',0.0447,0.0456,-0.0194,10.979,0.020,53.7,59.320,10.612,0.023,46.6,22.710,1,0,b'hh00',b'AA',5,58195.94439208,2671022801351016729,10.910,0.035,10.770,0.026,8.232,0.031,5.319,0.043,51455780,13.780,,12.804,,12.996,0.0685,2.25433,290.265539
