source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03597b164',55298.56482220,10.149,0.019,64.180,9.313,0.024,34.290,6.412,0.016,3.701,4.016,0.029,1.040,1.0,36,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03593b164',55298.43251810,10.021,0.020,68.380,9.421,0.022,33.200,6.419,0.023,3.670,4.026,0.040,1.039,1.0,-3,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09049a113',55478.84419790,10.136,0.024,64.420,9.374,0.040,33.350,,,,,,,1.0,-19,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03600a140',55298.63103790,10.265,0.026,63.470,9.439,0.025,33.250,6.440,0.020,3.657,4.022,0.037,1.039,1.0,56,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03601b164',55298.69712630,9.972,0.019,71.220,9.312,0.017,34.310,6.384,0.018,3.980,4.006,0.026,1.049,1.0,75,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09053a112',55478.97637460,10.197,0.021,63.580,9.463,0.020,33.420,,,,,,,1.0,2,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03608a140',55298.89564620,10.128,0.021,64.590,9.267,0.020,35.630,6.409,0.015,3.718,4.027,0.047,1.040,1.0,78,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03604a140',55298.76334210,10.288,0.025,63.610,9.363,0.025,33.460,6.450,0.017,3.694,4.008,0.033,1.046,1.0,88,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03616a140',55299.16025440,10.120,0.021,64.760,9.373,0.020,33.370,6.395,0.017,3.846,4.027,0.029,1.040,1.0,2,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03612a140',55299.02795030,10.150,0.019,64.160,9.291,0.018,34.870,6.407,0.020,3.734,4.095,0.032,1.224,1.0,39,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09049a112',55478.84407060,10.160,0.029,63.990,9.307,0.020,34.440,,,,,,,1.0,-18,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09022a137',55477.98441310,10.563,0.030,70.100,9.699,0.040,39.390,,,,,,,1.0,4,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09041a112',55478.57959000,10.207,0.019,63.510,9.127,0.017,43.780,,,,,,,1.0,31,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09045a113',55478.71189400,10.237,0.023,63.420,9.416,0.018,33.190,,,,,,,1.0,-2,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09037a086',55478.44728600,10.384,0.034,64.980,9.479,0.024,33.590,,,,,,,1.0,71,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09038a137',55478.51350160,10.073,0.021,66.180,9.401,0.022,33.210,,,,,,,1.0,51,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09033a113',55478.31510930,10.292,0.031,63.650,9.600,0.035,36.080,,,,,,,1.0,92,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09034a136',55478.38119770,10.180,0.022,63.730,9.498,0.025,33.830,,,,,,,1.0,89,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03585b164',55298.16790990,10.113,0.018,64.940,9.348,0.019,33.640,6.444,0.016,3.666,4.029,0.045,1.040,1.0,1,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09030a136',55478.24889370,10.266,0.022,63.480,9.350,0.017,33.620,,,,,,,1.0,80,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09027a059',55478.11658970,10.367,0.030,64.650,9.591,0.027,35.840,,,,,,,1.0,44,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'03589b164',55298.30021400,10.258,0.024,63.440,9.501,0.026,33.890,6.457,0.017,3.732,4.012,0.043,1.043,1.0,-17,b'0000',0.729502,28.430861
b'2956m303_ac51-038464',295.0629917,-30.2642418,b'19h40m15.12s',b'-30d15m51.27s',2,0,b'dh00',b'09027a061',55478.11671710,10.192,0.026,63.610,9.459,0.025,33.380,,,,,,,1.0,45,b'0000',0.729502,28.430861
