ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
358.0921544,58.7585811,b'23h52m22.12s',b'58d45m30.89s',0.0738,0.0638,0.0102,12.940,0.031,35.6,19.630,11.651,0.029,37.6,13.880,1,0,b'0000',b'AA',0,57763.23364751,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.134432,219.295076
358.0921733,58.7585750,b'23h52m22.12s',b'58d45m30.87s',0.0588,0.0540,-0.0124,12.669,0.026,42.4,3.995,11.447,0.027,40.3,0.796,1,0,b'0000',b'AA',5,58848.22362561,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.135517,201.586343
358.0921291,58.7586009,b'23h52m22.11s',b'58d45m30.96s',0.0660,0.0615,-0.0187,12.590,0.035,31.1,4.583,11.465,0.030,36.0,2.335,1,0,b'0000',b'AA',5,58688.29821166,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.136385,256.100221
358.0921470,58.7585823,b'23h52m22.12s',b'58d45m30.90s',0.0503,0.0555,-0.0115,12.482,0.028,39.2,2.549,11.292,0.026,42.6,1.833,1,0,b'0000',b'AA',5,56866.05765663,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.14048,224.780119
358.0921605,58.7585730,b'23h52m22.12s',b'58d45m30.86s',0.0629,0.0630,0.0218,12.628,0.035,31.2,8.333,11.448,0.026,41.7,1.821,1,0,b'0000',b'AA',5,58848.55075697,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.152259,208.972818
358.0921382,58.7585816,b'23h52m22.11s',b'58d45m30.89s',0.0597,0.0583,-0.0208,12.616,0.028,39.0,4.477,11.474,0.028,38.3,1.451,1,0,b'0000',b'AA',5,58688.10185700,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.15417,228.457384
358.0921135,58.7586025,b'23h52m22.11s',b'58d45m30.97s',0.0643,0.0616,-0.0196,12.772,0.033,32.7,4.737,11.495,0.033,33.3,2.044,1,0,b'0000',b'AA',5,59055.42062846,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.163739,260.509298
358.0921318,58.7585806,b'23h52m22.11s',b'58d45m30.89s',0.0618,0.0555,-0.0133,12.643,0.028,38.6,3.830,11.465,0.029,37.2,1.011,1,0,b'0000',b'AA',5,58687.77485372,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.165575,230.267499
358.0921519,58.7585675,b'23h52m22.12s',b'58d45m30.84s',0.0634,0.0544,-0.0129,12.497,0.028,39.1,5.278,11.314,0.031,34.6,1.580,1,0,b'0000',b'AA',10,57592.80085546,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.177418,210.412282
358.0921046,58.7586059,b'23h52m22.11s',b'58d45m30.98s',0.0515,0.0530,-0.0097,12.643,0.027,39.8,8.387,11.361,0.025,42.7,5.509,1,0,b'0000',b'AA',5,57039.95321728,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.178744,265.26311
358.0921424,58.7585699,b'23h52m22.11s',b'58d45m30.85s',0.0620,0.0566,0.0112,12.518,0.027,40.7,5.121,11.373,0.031,35.2,0.962,1,0,b'0000',b'AA',10,58123.20336714,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.180008,216.685636
358.0921542,58.7585647,b'23h52m22.12s',b'58d45m30.83s',0.0590,0.0513,0.0127,12.526,0.024,44.4,6.513,11.393,0.028,39.0,0.874,1,0,b'0000',b'AA',10,58483.97768343,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.184133,207.671174
358.0921126,58.7585858,b'23h52m22.11s',b'58d45m30.91s',0.0690,0.0573,-0.0044,12.660,0.028,38.9,3.714,11.494,0.029,38.1,1.604,1,0,b'0000',b'AA',10,59054.43974612,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.184978,241.903712
358.0921526,58.7585635,b'23h52m22.12s',b'58d45m30.83s',0.0564,0.0509,-0.0190,12.586,0.024,44.7,4.158,11.348,0.026,41.2,0.946,1,0,b'0000',b'AA',10,57228.17119596,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.189344,207.864686
358.0921173,58.7585793,b'23h52m22.11s',b'58d45m30.89s',0.0582,0.0565,0.0107,12.531,0.028,38.4,3.809,11.368,0.026,41.2,1.884,1,0,b'0000',b'AA',5,58123.59607774,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.189892,234.406761
358.0921217,58.7585754,b'23h52m22.11s',b'58d45m30.87s',0.0610,0.0555,-0.0110,12.531,0.027,40.5,4.237,11.347,0.035,31.3,0.517,1,0,b'0000',b'AA',10,58323.60641373,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.192068,229.568742
358.0921349,58.7585686,b'23h52m22.11s',b'58d45m30.85s',0.0674,0.0544,-0.0193,12.607,0.029,37.3,3.973,11.425,0.028,39.3,1.470,1,0,b'0000',b'AA',10,58688.36353593,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.192314,219.199013
358.0921291,58.7585710,b'23h52m22.11s',b'58d45m30.86s',0.0762,0.0677,-0.0270,12.728,0.033,33.2,4.389,11.577,0.033,32.6,2.023,1,0,b'0000',b'AA',5,59055.35517691,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.192976,223.31574
358.0921067,58.7585857,b'23h52m22.11s',b'58d45m30.91s',0.0654,0.0571,-0.0093,12.723,0.027,39.5,4.758,11.510,0.030,36.0,1.694,1,0,b'0000',b'AA',5,59054.89752515,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.194924,243.335414
358.0921175,58.7585731,b'23h52m22.11s',b'58d45m30.86s',0.0566,0.0499,0.0146,12.418,0.024,46.0,5.528,11.263,0.027,39.7,0.904,1,0,b'0000',b'AA',5,57959.62031150,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.203415,229.22598
358.0921062,58.7585804,b'23h52m22.11s',b'58d45m30.89s',0.0548,0.0579,-0.0129,12.619,0.028,38.9,4.299,11.430,0.028,38.2,1.403,1,0,b'0000',b'AA',10,58687.84030530,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.205011,238.681983
358.0921112,58.7585759,b'23h52m22.11s',b'58d45m30.87s',0.0525,0.0566,-0.0140,12.627,0.027,40.6,4.155,11.365,0.028,38.6,1.208,1,0,b'0000',b'AA',5,57400.58178083,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.206297,233.483489
358.0921099,58.7585747,b'23h52m22.11s',b'58d45m30.87s',0.0483,0.0500,-0.0163,12.485,0.026,41.8,13.060,11.330,0.026,42.6,5.426,1,0,b'0000',b'AA',0,58123.72710860,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.210826,232.932468
358.0921406,58.7585591,b'23h52m22.11s',b'58d45m30.81s',0.0606,0.0509,0.0028,12.503,0.025,43.8,3.566,11.399,0.028,39.4,0.994,1,0,b'0000',b'AA',10,58323.08292811,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.214183,211.184693
358.0921311,58.7585618,b'23h52m22.11s',b'58d45m30.82s',0.0598,0.0495,-0.0125,12.618,0.025,42.8,2.835,11.373,0.024,44.6,1.269,1,0,b'0000',b'AA',10,57228.23677484,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.216005,216.552631
358.0921179,58.7585657,b'23h52m22.11s',b'58d45m30.84s',0.0565,0.0530,-0.0133,12.601,0.026,41.6,3.258,11.459,0.030,36.2,0.985,1,0,b'0000',b'AA',5,58847.83116984,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.221213,223.866388
358.0920987,58.7585777,b'23h52m22.10s',b'58d45m30.88s',0.0596,0.0584,-0.0144,12.639,0.030,35.7,2.225,11.439,0.028,38.6,1.057,1,0,b'0000',b'AA',5,58848.41985348,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.222023,238.41749
358.0921396,58.7585549,b'23h52m22.11s',b'58d45m30.80s',0.0605,0.0527,-0.0123,12.598,0.029,37.9,3.549,11.362,0.026,42.5,0.773,1,0,b'0000',b'AA',10,58687.90562957,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.228171,209.619686
358.0921183,58.7585620,b'23h52m22.11s',b'58d45m30.82s',0.0697,0.0600,-0.0069,12.666,0.029,37.5,1.536,11.425,0.034,32.2,0.992,1,0,b'0000',b'AA',10,59054.83207355,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.230498,221.437367
358.0920907,58.7585802,b'23h52m22.10s',b'58d45m30.89s',0.0694,0.0599,-0.0160,12.707,0.028,38.9,4.653,11.510,0.031,35.2,1.476,1,0,b'0000',b'AA',5,59055.55140428,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.23056,242.269798
358.0921157,58.7585630,b'23h52m22.11s',b'58d45m30.83s',0.0567,0.0534,-0.0162,12.530,0.026,41.1,1.842,11.330,0.032,33.7,0.800,1,0,b'0000',b'AA',10,57596.20752336,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.231092,222.930564
358.0920859,58.7585851,b'23h52m22.10s',b'58d45m30.91s',0.0727,0.0637,-0.0193,12.776,0.030,36.5,5.545,11.582,0.032,33.9,2.153,1,0,b'0000',b'AA',0,59055.15907685,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.231133,247.180209
358.0920948,58.7585759,b'23h52m22.10s',b'58d45m30.87s',0.0538,0.0523,-0.0121,12.583,0.027,40.6,9.277,11.309,0.026,42.4,3.788,1,0,b'0000',b'AA',5,57039.82180422,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.231623,237.99535
358.0921089,58.7585662,b'23h52m22.11s',b'58d45m30.84s',0.0586,0.0504,0.0088,12.478,0.025,44.0,2.060,11.260,0.025,42.9,0.915,1,0,b'0000',b'AA',10,56866.51810942,3571159001351023181,12.331,0.023,11.120,0.020,7.968,0.017,5.401,0.034,522188235,16.127,0.1053,15.059,0.0959,13.915,0.0625,0.231928,227.169146
