source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'06210a145',55384.98909730,11.173,0.026,2.161,10.000,0.026,1.303,6.759,0.018,1.272,4.453,0.056,0.831,1.0,16,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'06213a121',55385.05518540,11.255,0.026,2.717,10.000,0.021,1.303,6.733,0.020,1.234,4.491,0.051,0.870,1.0,35,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'06202a145',55384.72448980,11.171,0.025,2.159,9.996,0.022,1.306,6.717,0.020,1.286,4.488,0.036,0.864,1.0,11,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'06206a145',55384.85679350,11.195,0.024,2.220,10.035,0.022,1.390,6.746,0.021,1.234,4.545,0.044,1.042,1.0,-3,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00936a082',55210.49949730,11.156,0.027,2.164,9.974,0.021,1.370,6.741,0.029,1.230,4.464,0.044,0.834,1.0,19,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00940a131',55210.63192930,11.130,0.024,2.254,9.974,0.031,1.371,6.714,0.018,1.302,4.384,0.036,0.965,1.0,61,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00929b156',55210.30110390,11.134,0.025,2.236,10.017,0.030,1.321,6.697,0.017,1.438,4.412,0.056,0.877,1.0,-4,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00932a131',55210.36719260,11.146,0.024,2.186,9.970,0.021,1.392,6.755,0.024,1.258,4.416,0.055,0.869,1.0,-4,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00928a131',55210.23488780,11.106,0.020,2.446,9.982,0.023,1.337,6.724,0.017,1.258,4.461,0.041,0.833,1.0,6,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00929b155',55210.30097650,11.115,0.036,2.357,9.947,0.022,1.568,6.726,0.025,1.249,4.434,0.033,0.840,1.0,-3,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00917b156',55209.90406240,11.142,0.024,2.201,10.013,0.025,1.311,6.756,0.020,1.261,4.459,0.042,0.832,1.0,87,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00925b155',55210.16867180,11.164,0.029,2.157,10.029,0.031,1.360,6.732,0.018,1.236,4.407,0.031,0.890,1.0,14,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'00921b156',55210.03636710,11.150,0.021,2.175,9.969,0.026,1.396,6.737,0.020,1.231,4.497,0.030,0.882,1.0,45,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'11889b155',55572.78823880,11.159,0.025,2.159,10.033,0.022,1.379,,,,,,,1.0,109,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'11896a131',55572.98663170,11.155,0.023,2.165,10.062,0.024,1.581,,,,,,,1.0,61,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'11885b155',55572.65593440,11.226,0.026,2.415,9.975,0.021,1.365,,,,,,,1.0,70,b'0000',0.202414,270.305718
b'1984m107_ac51-007805',198.2740627,-11.1284397,b'13h13m05.78s',b'-11d07m42.38s',1,0,b'0000',b'11888a131',55572.72215020,11.272,0.034,2.937,10.018,0.023,1.322,,,,,,,1.0,90,b'0000',0.202414,270.305718
