ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
198.2741206,-11.1284338,b'13h13m05.79s',b'-11d07m42.36s',0.0359,0.0408,-0.0060,11.245,0.022,48.4,6.353,10.110,0.018,59.3,2.663,1,0,b'0000',b'AA',10,58655.56757367,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.022376,5.424231
198.2741082,-11.1284240,b'13h13m05.79s',b'-11d07m42.33s',0.0331,0.0331,-0.0135,11.237,0.018,61.0,2.767,10.103,0.016,67.4,1.869,1,0,b'0000',b'AA',10,58859.23581854,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.071092,324.109267
198.2741008,-11.1284321,b'13h13m05.78s',b'-11d07m42.36s',0.0356,0.0342,0.0073,11.199,0.021,52.0,2.592,10.071,0.017,65.2,2.189,1,0,b'0000',b'AA',10,57036.88907833,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.073574,292.75041
198.2740971,-11.1284356,b'13h13m05.78s',b'-11d07m42.37s',0.0431,0.0421,-0.0164,11.260,0.024,45.2,9.225,10.113,0.020,53.8,7.724,1,0,b'0000',b'AA',10,58655.10966675,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.082416,281.079559
198.2740974,-11.1284312,b'13h13m05.78s',b'-11d07m42.35s',0.0366,0.0370,-0.0097,11.205,0.022,49.4,2.710,10.099,0.016,66.8,1.230,1,0,b'0000',b'AA',10,57208.40036286,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.085896,291.645273
198.2740959,-11.1284465,b'13h13m05.78s',b'-11d07m42.41s',0.0368,0.0377,-0.0122,11.220,0.022,49.3,5.691,10.097,0.017,62.9,4.738,1,0,b'0000',b'AA',10,57208.72838481,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.088282,254.630241
198.2740979,-11.1284282,b'13h13m05.78s',b'-11d07m42.34s',0.0335,0.0367,-0.0093,11.137,0.022,48.4,2.410,10.018,0.019,57.3,1.318,1,0,b'0000',b'AA',10,56670.43133150,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.088869,298.553645
198.2741147,-11.1284128,b'13h13m05.79s',b'-11d07m42.29s',0.0356,0.0362,-0.0067,11.222,0.018,61.2,2.981,10.146,0.022,49.5,0.854,1,0,b'0000',b'AA',10,58494.92850373,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.09969,349.176289
198.2741197,-11.1284117,b'13h13m05.79s',b'-11d07m42.28s',0.0316,0.0319,-0.0084,11.293,0.018,61.4,3.343,10.127,0.016,68.6,1.985,1,0,b'0000',b'AA',10,57399.55657868,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.101893,359.404066
198.2740999,-11.1284176,b'13h13m05.78s',b'-11d07m42.30s',0.0329,0.0334,-0.0106,11.228,0.018,59.7,3.730,10.119,0.018,61.9,1.050,1,0,b'0000',b'AA',10,58495.38653870,1984010701351007805,11.166,0.022,10.002,0.020,6.739,0.015,4.453,0.025,266825228,14.022,0.0524,13.355,0.0553,12.548,0.0394,0.107444,318.637722
