source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09582b178',55496.50646090,9.508,0.021,15.930,8.486,0.023,3.544,,,,,,,1.0,59,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09581a155',55496.44037260,9.418,0.019,15.740,8.412,0.028,3.296,,,,,,,1.0,80,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09585a154',55496.57254920,9.419,0.025,15.740,8.446,0.022,3.271,,,,,,,1.0,39,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09597a155',55496.96946120,9.419,0.022,15.740,8.497,0.017,3.685,,,,,,,1.0,17,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09593a155',55496.83715720,9.481,0.023,15.730,8.517,0.027,3.973,,,,,,,1.0,3,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09585a155',55496.57267650,9.439,0.024,15.660,8.539,0.029,4.376,,,,,,,1.0,40,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09589a154',55496.70485320,9.403,0.020,15.860,8.551,0.020,4.609,,,,,,,1.0,18,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04061b127',55313.90842760,9.408,0.017,15.810,8.426,0.019,3.254,4.996,0.014,2.725,2.567,0.039,1.412,1.0,90,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04065b127',55314.04073190,9.461,0.022,15.660,8.423,0.020,3.259,4.994,0.021,2.738,2.524,0.040,1.025,1.0,48,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09586a179',55496.63876490,9.404,0.023,15.850,8.463,0.022,3.348,,,,,,,1.0,25,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04073b127',55314.30534040,9.416,0.023,15.760,8.367,0.019,3.743,5.011,0.020,2.671,2.502,0.037,0.932,1.0,3,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04069c127',55314.17303620,9.511,0.022,15.960,8.427,0.019,3.253,5.033,0.015,2.712,2.499,0.031,0.924,1.0,21,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04077b127',55314.43764470,9.408,0.018,15.820,8.381,0.019,3.541,5.015,0.022,2.668,2.498,0.032,0.923,1.0,10,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04076a103',55314.37155630,9.482,0.028,15.730,8.398,0.020,3.382,5.016,0.017,2.668,2.477,0.023,0.920,1.0,2,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04081b127',55314.56994900,9.472,0.023,15.690,8.393,0.017,3.418,4.998,0.018,2.717,2.481,0.018,0.914,1.0,43,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04080a103',55314.50386050,9.429,0.028,15.690,8.413,0.022,3.290,5.058,0.017,2.930,2.506,0.029,0.944,1.0,25,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04088a103',55314.76846910,9.450,0.023,15.650,8.353,0.017,3.983,5.031,0.017,2.704,2.472,0.016,0.929,1.0,107,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04084a103',55314.63616480,9.474,0.024,15.700,8.415,0.018,3.282,,,,,,,1.0,65,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04096a102',55315.03307760,9.405,0.021,15.850,8.357,0.020,3.904,4.982,0.017,2.838,2.560,0.040,1.332,1.0,50,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'04092a103',55314.90077330,9.390,0.023,16.000,8.408,0.020,3.317,5.020,0.016,2.672,2.466,0.015,0.948,1.0,92,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09570b179',55496.10967630,9.533,0.022,16.220,8.451,0.029,3.286,,,,,,,1.0,55,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09566a178',55495.97737230,9.453,0.022,15.650,8.449,0.015,3.279,,,,,,,1.0,19,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09578a178',55496.37415690,9.552,0.029,16.500,8.421,0.023,3.264,,,,,,,1.0,101,b'0000',0.693167,157.352747
b'3070m016_ac51-007245',306.7329042,-2.2777177,b'20h26m55.90s',b'-02d16m39.78s',1,0,b'0000',b'09574a179',55496.24198030,9.529,0.025,16.170,8.447,0.019,3.273,,,,,,,1.0,98,b'0000',0.693167,157.352747
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04077b127',55314.43764470,9.489,0.021,4.525,8.419,0.020,2.064,4.947,0.019,2.808,2.383,0.034,0.989,1.0,10,b'0000',0.780709,141.704588
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04076a103',55314.37155630,9.488,0.029,4.539,8.387,0.021,2.192,4.950,0.016,2.824,2.470,0.028,0.840,1.0,2,b'0000',0.780709,141.704588
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04081b127',55314.56994900,9.558,0.026,4.405,8.397,0.018,2.272,4.992,0.017,2.840,2.483,0.023,0.826,1.0,43,b'0000',0.780709,141.704588
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04080a103',55314.50386050,9.509,0.030,4.526,8.439,0.022,2.041,4.991,0.016,2.807,2.469,0.030,0.838,1.0,25,b'0000',0.780709,141.704588
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04088a103',55314.76846910,9.549,0.025,4.384,8.417,0.018,2.427,4.985,0.015,2.850,2.504,0.025,0.854,1.0,107,b'0000',0.780709,141.704588
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04084a103',55314.63616480,9.566,0.022,4.295,8.412,0.015,2.092,,,,,,,1.0,65,b'0000',0.780709,141.704588
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04096a102',55315.03307760,9.520,0.025,4.383,8.384,0.019,2.236,4.961,0.017,2.832,2.436,0.043,0.906,1.0,50,b'0000',0.780709,141.704588
b'3070m031_ac51-059115',306.7329645,-2.2777102,b'20h26m55.91s',b'-02d16m39.76s',2,1,b'0000',b'04092a103',55314.90077330,9.514,0.026,4.452,8.429,0.020,2.232,4.962,0.015,2.763,2.518,0.022,0.876,1.0,92,b'0000',0.780709,141.704588
