ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
70.3439474,-27.1386354,b'04h41m22.55s',b'-27d08m19.09s',0.0364,0.0372,0.0104,11.024,0.021,51.8,30.390,9.947,0.017,64.4,29.900,1,0,b'g000',b'AA',0,58722.85603472,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.301791,259.414572
70.3439400,-27.1386576,b'04h41m22.55s',b'-27d08m19.17s',0.0377,0.0313,-0.0114,11.147,0.018,58.8,9.899,9.981,0.017,65.2,9.050,1,0,b'0000',b'AA',5,56898.90091250,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.347791,247.095102
70.3439669,-27.1386992,b'04h41m22.55s',b'-27d08m19.32s',0.0325,0.0300,-0.0090,10.908,0.016,68.9,2.178,9.825,0.017,63.8,1.428,1,0,b'0000',b'AA',10,59086.50044804,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.368971,219.398454
70.3439443,-27.1386777,b'04h41m22.55s',b'-27d08m19.24s',0.0365,0.0329,-0.0077,10.914,0.022,48.6,6.245,9.833,0.016,66.5,9.754,1,0,b'0000',b'AA',5,57623.87230884,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.370326,235.881678
70.3439305,-27.1386683,b'04h41m22.54s',b'-27d08m19.21s',0.0318,0.0325,-0.0112,10.979,0.017,63.5,3.235,9.849,0.016,66.0,2.275,1,0,b'0000',b'AA',10,58356.01616946,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.391529,243.633921
70.3439862,-27.1387205,b'04h41m22.56s',b'-27d08m19.39s',0.0316,0.0318,-0.0114,10.916,0.018,59.0,2.599,9.736,0.015,73.2,3.934,1,0,b'0000',b'AA',10,57624.39630421,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.400758,205.472512
70.3439135,-27.1386152,b'04h41m22.54s',b'-27d08m19.01s',0.0362,0.0352,-0.0112,10.942,0.017,64.1,35.130,9.936,0.019,57.8,27.670,1,0,b'0000',b'AA',0,59086.82796050,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.405632,272.441526
70.3439657,-27.1387138,b'04h41m22.55s',b'-27d08m19.37s',0.0388,0.0354,-0.0055,10.983,0.023,47.8,4.032,9.874,0.017,64.1,4.959,1,0,b'0000',b'AA',10,58356.40875192,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.413143,215.180129
70.3439216,-27.1385678,b'04h41m22.54s',b'-27d08m18.84s',0.0357,0.0350,-0.0091,10.980,0.021,50.9,2.748,9.867,0.017,62.1,3.293,1,0,b'0000',b'AA',0,58722.65993473,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.423308,296.354774
70.3439233,-27.1386834,b'04h41m22.54s',b'-27d08m19.26s',0.0335,0.0354,-0.0080,10.993,0.018,59.8,2.566,9.895,0.018,59.3,0.512,1,0,b'0000',b'AA',10,57260.53056863,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.438026,238.596557
70.3439231,-27.1386839,b'04h41m22.54s',b'-27d08m19.26s',0.0343,0.0297,-0.0130,10.900,0.016,66.1,3.599,9.837,0.017,65.8,1.384,1,0,b'0000',b'AA',10,59086.37018159,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.439512,238.439801
70.3439246,-27.1386865,b'04h41m22.54s',b'-27d08m19.27s',0.0313,0.0273,0.0047,10.936,0.016,67.0,2.732,9.841,0.015,72.3,1.845,1,0,b'0000',b'AA',10,57425.99954512,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.440446,237.074974
70.3439169,-27.1386757,b'04h41m22.54s',b'-27d08m19.23s',0.0319,0.0302,-0.0069,10.945,0.017,63.0,3.461,9.821,0.015,71.6,1.776,1,0,b'0000',b'AA',10,57627.27885661,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.442425,243.048641
70.3439135,-27.1386737,b'04h41m22.54s',b'-27d08m19.23s',0.0319,0.0325,-0.0120,10.956,0.018,60.3,2.677,9.819,0.019,57.8,1.594,1,0,b'0000',b'AA',10,57624.85497525,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.449007,244.497723
70.3439098,-27.1386673,b'04h41m22.54s',b'-27d08m19.20s',0.0382,0.0369,-0.0088,10.976,0.021,52.9,1.494,9.883,0.017,62.3,1.795,1,0,b'g000',b'AA',10,57261.05532993,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.45054,247.793149
70.3439136,-27.1386751,b'04h41m22.54s',b'-27d08m19.23s',0.0335,0.0296,-0.0064,10.905,0.017,63.6,3.613,9.883,0.016,66.6,15.190,1,0,b'0000',b'AA',5,59087.35106376,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.450917,243.902173
70.3439302,-27.1386994,b'04h41m22.54s',b'-27d08m19.32s',0.0329,0.0325,-0.0107,10.986,0.019,57.0,3.556,9.882,0.018,61.7,2.277,1,0,b'0000',b'AA',10,58514.05736178,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.453257,230.902821
70.3439096,-27.1386725,b'04h41m22.54s',b'-27d08m19.22s',0.0340,0.0297,0.0064,11.003,0.017,65.8,8.370,9.934,0.017,65.6,5.228,1,0,b'0000',b'AA',5,57260.07138708,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.458521,245.657216
70.3439258,-27.1386982,b'04h41m22.54s',b'-27d08m19.31s',0.0328,0.0298,0.0024,10.931,0.019,58.0,2.148,9.845,0.016,67.8,1.169,1,0,b'0000',b'AA',10,58878.88204303,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.461632,232.42244
70.3439140,-27.1386857,b'04h41m22.54s',b'-27d08m19.27s',0.0318,0.0289,0.0079,10.930,0.016,66.1,2.959,9.827,0.017,65.2,1.520,1,0,b'0000',b'AA',10,57627.34443560,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.467852,239.632349
70.3439133,-27.1386878,b'04h41m22.54s',b'-27d08m19.28s',0.0359,0.0313,0.0051,10.936,0.016,66.1,12.320,9.832,0.017,63.1,8.699,1,0,b'0000',b'AA',5,58879.01281920,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.473641,238.980424
70.3439047,-27.1386756,b'04h41m22.54s',b'-27d08m19.23s',0.0346,0.0342,0.0074,10.969,0.020,54.0,1.855,9.887,0.018,61.0,1.470,1,0,b'0000',b'AA',10,58355.29645616,709027301351037975,10.991,0.023,9.823,0.021,6.525,0.016,4.029,0.026,199565699,14.015,0.0302,13.356,0.0405,12.497,0.0383,0.477436,245.213518
