source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08544a120',55462.14588840,9.007,0.022,2.135,8.029,0.023,1.677,,,,,,,1.0,56,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08545b145',55462.21197670,9.075,0.022,2.162,8.015,0.018,1.715,,,,,,,1.0,48,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08540a120',55462.01358430,9.044,0.021,2.053,8.065,0.021,1.796,,,,,,,1.0,79,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08541b146',55462.07980000,9.043,0.031,2.052,8.023,0.018,1.687,,,,,,,1.0,64,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08533b145',55461.81519180,9.029,0.021,2.059,8.050,0.020,1.713,,,,,,,1.0,130,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08537b145',55461.94749590,9.025,0.023,2.065,8.042,0.024,1.687,,,,,,,1.0,96,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08525b146',55461.55071090,9.105,0.025,2.398,8.067,0.026,1.817,,,,,,,1.0,58,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08529b145',55461.68288770,9.038,0.026,2.050,8.053,0.026,1.722,,,,,,,1.0,90,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02769a134',55271.14107400,9.030,0.020,2.057,8.074,0.023,1.874,5.321,0.013,1.542,2.961,0.025,0.710,1.0,84,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02773a134',55271.27337790,9.047,0.018,2.056,8.030,0.018,1.676,5.316,0.014,1.571,3.017,0.034,0.854,1.0,123,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02761a135',55270.87646590,8.973,0.022,2.425,7.991,0.019,1.893,5.316,0.018,1.570,2.978,0.030,0.713,1.0,35,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02765a135',55271.00876990,9.037,0.025,2.051,8.063,0.018,1.782,5.351,0.020,1.554,3.010,0.026,0.813,1.0,53,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02758a158',55270.81025020,9.029,0.023,2.058,8.024,0.020,1.684,5.325,0.021,1.528,2.963,0.032,0.708,1.0,34,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02761a134',55270.87633860,9.008,0.024,2.130,8.010,0.021,1.739,5.282,0.017,1.973,2.964,0.021,0.708,1.0,34,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02754a158',55270.67794620,9.014,0.023,2.103,8.033,0.025,1.676,5.328,0.017,1.520,2.961,0.020,0.710,1.0,49,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02757a134',55270.74403450,9.008,0.025,2.128,8.002,0.019,1.793,5.309,0.024,1.620,2.966,0.030,0.707,1.0,39,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02750a159',55270.54564220,9.037,0.023,2.051,8.017,0.019,1.705,5.336,0.018,1.513,2.976,0.032,0.710,1.0,66,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02753a134',55270.61173050,9.048,0.024,2.058,8.008,0.014,1.752,5.325,0.014,1.528,2.954,0.019,0.720,1.0,56,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08552a121',55462.41049650,9.064,0.025,2.104,8.052,0.020,1.718,,,,,,,1.0,35,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02746a159',55270.41333820,8.994,0.023,2.221,8.001,0.018,1.802,5.265,0.017,2.340,2.953,0.023,0.721,1.0,100,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02742a158',55270.28090690,9.025,0.027,2.065,8.019,0.021,1.697,5.346,0.016,1.531,2.959,0.019,0.712,1.0,126,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'02746a158',55270.41321090,9.027,0.026,2.061,8.036,0.021,1.677,5.310,0.017,1.608,2.956,0.021,0.717,1.0,99,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08556a120',55462.54266770,9.029,0.027,2.058,8.005,0.020,1.773,,,,,,,1.0,56,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08548a121',55462.27819240,9.074,0.026,2.154,8.021,0.021,1.691,,,,,,,1.0,38,b'0000',3.993549,228.435167
b'0908p287_ac51-016078',90.5436358,28.4720740,b'06h02m10.47s',b'28d28m19.47s',1,0,b'0000',b'08552a120',55462.41036920,9.077,0.027,2.169,8.038,0.022,1.679,,,,,,,1.0,36,b'0000',3.993549,228.435167
