source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'03857b224',55307.17211240,11.497,0.036,3.993,10.438,0.027,2.583,7.564,0.023,2.034,5.148,0.051,0.744,1.0,24,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09377a054',55489.68306630,11.252,0.026,2.536,10.297,0.025,2.006,,,,,,,1.0,34,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09377a055',55489.68319360,11.280,0.028,2.308,10.313,0.020,1.902,,,,,,,1.0,33,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09369a055',55489.41858560,11.263,0.023,2.431,10.356,0.023,1.858,,,,,,,1.0,61,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09373a055',55489.55088960,11.270,0.024,2.380,10.319,0.026,1.877,,,,,,,1.0,51,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09365a054',55489.28628160,11.291,0.026,2.253,10.292,0.023,2.052,,,,,,,1.0,54,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09366a079',55489.35249730,11.282,0.028,2.298,10.328,0.020,1.850,,,,,,,1.0,60,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09361a055',55489.15410500,11.275,0.030,2.343,10.362,0.022,1.875,,,,,,,1.0,38,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09362a079',55489.22019320,11.253,0.023,2.522,10.299,0.024,1.987,,,,,,,1.0,47,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09354a079',55488.95571260,11.291,0.026,2.253,10.405,0.030,2.172,,,,,,,1.0,16,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09357a055',55489.02180090,11.286,0.029,2.277,10.280,0.031,2.173,,,,,,,1.0,20,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09353a054',55488.88949620,11.314,0.022,2.195,10.302,0.018,1.969,,,,,,,1.0,16,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09354a078',55488.95558530,11.300,0.026,2.224,10.379,0.025,1.957,,,,,,,1.0,16,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09346a078',55488.69110390,11.263,0.021,2.435,10.291,0.021,2.059,,,,,,,1.0,33,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09350a079',55488.82340790,11.266,0.024,2.406,10.312,0.021,1.909,,,,,,,1.0,19,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09339a053',55488.42662330,11.321,0.030,2.192,10.374,0.031,1.932,,,,,,,1.0,61,b'0000',0.638774,154.76243
b'3250m652_ac51-060593',324.2196366,-64.6343805,b'21h36m52.71s',b'-64d38m03.77s',1,0,b'0000',b'09342a078',55488.55879990,11.290,0.027,2.259,10.286,0.022,2.106,,,,,,,1.0,50,b'0000',0.638774,154.76243
