source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'04934a203',55342.79286050,11.723,0.031,9.931,11.112,0.030,4.259,8.385,0.041,0.912,6.072,0.106,0.987,1.0,50,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'04938a202',55342.92503720,11.723,0.034,9.940,11.146,0.031,4.719,8.336,0.039,0.932,6.126,0.111,1.010,1.0,53,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10716a075',55533.96230880,11.405,0.027,10.460,10.806,0.030,6.637,,,,,,,1.0,99,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'04938a203',55342.92516450,11.681,0.031,9.312,11.129,0.035,4.476,8.387,0.040,0.914,6.299,0.136,1.188,1.0,54,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10708a075',55533.69770010,11.461,0.027,9.307,10.836,0.024,5.703,,,,,,,1.0,97,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10708a076',55533.69782750,11.387,0.025,10.980,10.830,0.027,5.892,,,,,,,1.0,97,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10704a076',55533.56552310,11.387,0.022,10.970,10.842,0.021,5.549,,,,,,,1.0,67,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10705b100',55533.63161170,11.351,0.020,12.220,10.848,0.021,5.386,,,,,,,1.0,82,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10700a048',55533.43321880,11.413,0.021,10.280,10.825,0.022,6.026,,,,,,,1.0,48,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10702a060',55533.49930730,11.407,0.029,10.410,10.996,0.028,3.587,,,,,,,1.0,56,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10696a075',55533.30091450,11.370,0.027,11.500,10.839,0.025,5.636,,,,,,,1.0,47,b'0000',0.073316,239.301117
b'1753p363_ac51-052708',176.1244581,36.8857196,b'11h44m29.87s',b'36d53m08.59s',1,0,b'0000',b'10697b100',55533.36713040,11.386,0.023,11.020,10.891,0.023,4.489,,,,,,,1.0,46,b'0000',0.073316,239.301117
