ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
182.6844912,38.3361916,b'12h10m44.28s',b'38d20m10.29s',0.0274,0.0265,-0.0065,10.228,0.016,69.0,7.012,9.353,0.013,80.6,1.881,1,0,b'0000',b'AA',10,59188.43210584,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.006873,30.467811
182.6844879,38.3361919,b'12h10m44.28s',b'38d20m10.29s',0.0290,0.0325,-0.0052,10.038,0.017,63.6,9.937,9.228,0.015,73.8,6.244,1,0,b'0000',b'AA',5,58460.30731902,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.009221,319.076298
182.6844848,38.3361904,b'12h10m44.28s',b'38d20m10.29s',0.0291,0.0328,-0.0107,10.205,0.016,68.9,7.173,9.337,0.017,64.8,1.814,1,0,b'0000',b'AA',10,59191.44046537,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.01474,275.600977
182.6844889,38.3361954,b'12h10m44.28s',b'38d20m10.30s',0.0285,0.0276,-0.0126,10.215,0.016,66.6,7.579,9.322,0.015,74.4,1.672,1,0,b'0000',b'AA',10,59188.49755757,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.019681,350.921899
182.6844973,38.3361888,b'12h10m44.28s',b'38d20m10.28s',0.0271,0.0309,-0.0053,10.267,0.017,64.8,9.533,9.367,0.016,69.9,4.425,1,0,b'0000',b'AA',5,57171.27046612,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.021071,101.836182
182.6844818,38.3361918,b'12h10m44.28s',b'38d20m10.29s',0.0279,0.0307,-0.0078,10.050,0.016,69.8,5.501,9.224,0.017,64.2,2.676,1,0,b'0000',b'AA',5,58093.30527633,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.024005,285.634423
182.6844978,38.3361865,b'12h10m44.28s',b'38d20m10.27s',0.0269,0.0279,-0.0090,10.363,0.016,68.9,8.452,9.471,0.013,80.7,4.902,1,0,b'0000',b'AA',5,57364.40530382,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.025345,119.772299
182.6844808,38.3361880,b'12h10m44.28s',b'38d20m10.28s',0.0285,0.0295,-0.0073,10.062,0.017,64.2,7.131,9.280,0.014,77.3,1.771,1,0,b'0000',b'AA',10,57728.66716889,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.026971,254.509353
182.6844993,38.3361923,b'12h10m44.28s',b'38d20m10.29s',0.0260,0.0293,-0.0057,10.206,0.017,63.3,9.199,9.361,0.015,74.4,4.675,1,0,b'0000',b'AA',5,59191.70201743,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.027491,72.500245
182.6844978,38.3361853,b'12h10m44.28s',b'38d20m10.27s',0.0288,0.0289,-0.0103,10.070,0.017,65.4,4.744,9.243,0.016,68.9,1.817,1,0,b'0000',b'AA',10,57728.79819988,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.027832,127.531455
182.6844968,38.3361839,b'12h10m44.28s',b'38d20m10.26s',0.0292,0.0301,-0.0092,10.202,0.017,64.5,9.692,9.332,0.016,67.3,2.198,1,0,b'0000',b'AA',5,59191.57124140,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.029159,138.833674
182.6844873,38.3361984,b'12h10m44.28s',b'38d20m10.31s',0.0290,0.0285,-0.0080,10.090,0.017,62.9,5.524,9.269,0.016,69.3,1.812,1,0,b'0000',b'AA',10,58824.16820515,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.031193,345.849296
182.6844796,38.3361853,b'12h10m44.28s',b'38d20m10.27s',0.0286,0.0274,-0.0111,10.039,0.016,67.9,6.628,9.273,0.015,73.0,2.783,1,0,b'0000',b'AA',10,57728.73274809,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.033949,240.051619
182.6844877,38.3361998,b'12h10m44.28s',b'38d20m10.32s',0.0297,0.0295,-0.0078,10.077,0.019,57.5,5.851,9.195,0.015,74.8,2.267,1,0,b'0000',b'AA',5,58459.84928428,1818137801351054247,9.964,0.022,9.195,0.020,6.751,0.016,4.536,0.025,206643950,13.028,0.0289,12.200,0.0308,11.495,0.0234,0.035844,349.569189
