ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
190.1933730,27.5649465,b'12h40m46.41s',b'27d33m53.81s',0.0312,0.0295,-0.0069,10.716,0.019,57.5,13.030,9.633,0.015,72.4,11.460,1,0,b'0000',b'AA',5,56824.98745787,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.133303,350.351332
190.1933276,27.5649257,b'12h40m46.40s',b'27d33m53.73s',0.0307,0.0329,-0.0114,10.785,0.019,57.9,11.460,9.717,0.016,67.6,3.689,1,0,b'0000',b'AA',10,57902.97128979,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.176511,288.674435
190.1933250,27.5649244,b'12h40m46.40s',b'27d33m53.73s',0.0315,0.0316,-0.0102,10.701,0.019,57.7,11.650,9.616,0.016,69.0,8.254,1,0,b'0000',b'AA',5,56824.79008450,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.183027,286.454175
190.1933188,27.5649230,b'12h40m46.40s',b'27d33m53.72s',0.0302,0.0317,-0.0093,10.860,0.016,66.2,6.867,9.751,0.016,67.4,1.910,1,0,b'0000',b'AA',10,58266.52812573,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.200844,283.475053
190.1933161,27.5649156,b'12h40m46.40s',b'27d33m53.70s',0.0314,0.0342,-0.0113,10.850,0.019,55.8,5.644,9.739,0.016,67.6,2.316,1,0,b'0000',b'AA',10,58106.46388128,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.204918,275.645854
190.1933185,27.5649310,b'12h40m46.40s',b'27d33m53.75s',0.0295,0.0341,-0.0093,10.813,0.019,58.4,6.058,9.643,0.017,62.8,1.583,1,0,b'0000',b'AA',10,57375.94714130,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.210333,291.066057
190.1933064,27.5649130,b'12h40m46.39s',b'27d33m53.69s',0.0298,0.0304,-0.0095,10.766,0.016,67.6,11.740,9.715,0.016,69.2,3.378,1,0,b'0000',b'AA',5,58630.97864205,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.235124,272.632635
190.1933194,27.5649492,b'12h40m46.40s',b'27d33m53.82s',0.0306,0.0288,-0.0114,10.771,0.017,63.7,7.987,9.668,0.015,73.8,3.643,1,0,b'0000',b'AA',5,57184.06485025,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.239404,306.118038
190.1933136,27.5649418,b'12h40m46.40s',b'27d33m53.79s',0.0283,0.0292,-0.0102,10.678,0.015,72.6,5.322,9.615,0.015,73.9,0.992,1,0,b'0000',b'AA',10,57013.68817801,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.24086,298.379703
190.1933034,27.5649120,b'12h40m46.39s',b'27d33m53.68s',0.0303,0.0331,-0.0132,10.839,0.016,66.9,6.081,9.728,0.016,69.6,2.696,1,0,b'0000',b'AA',10,58471.03924491,1909127201351040366,10.822,0.023,9.710,0.020,6.401,0.014,3.550,0.026,1054116225,14.176,0.0733,13.253,0.0677,12.228,0.0425,0.244558,271.68706
