ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
206.8516115,2.3118855,b'13h47m24.39s',b'02d18m42.79s',0.2835,0.3818,0.0651,15.470,0.158,6.9,1.059,13.738,0.134,8.1,0.492,1,0,b'0000',b'BB',10,57402.37279625,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.034638,242.083432
206.8516309,2.3118781,b'13h47m24.39s',b'02d18m42.76s',0.3482,0.3939,-0.0808,15.132,0.123,8.8,0.708,14.038,0.179,6.1,1.107,1,0,b'0000',b'BB',10,56852.41890790,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.058074,137.5346
206.8515987,2.3118832,b'13h47m24.38s',b'02d18m42.78s',0.2760,0.3132,-0.1013,15.185,0.114,9.6,1.048,13.959,0.136,8.0,0.834,1,0,b'0000',b'BB',10,57931.38214813,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.080443,252.280857
206.8516428,2.3118916,b'13h47m24.39s',b'02d18m42.81s',0.3293,0.3614,-0.1104,15.073,0.110,9.9,1.059,14.403,0.321,3.4,0.362,1,0,b'0000',b'BB',10,57766.00542487,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.082244,85.982565
206.8516299,2.3119117,b'13h47m24.39s',b'02d18m42.88s',0.3590,0.3694,-0.1549,15.365,0.134,8.1,1.081,13.807,0.171,6.4,0.390,1,0,b'0000',b'BB',10,57401.97944786,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.085841,24.505863
206.8515967,2.3118836,b'13h47m24.38s',b'02d18m42.78s',0.2843,0.3087,0.0609,15.272,0.110,9.9,0.886,14.175,0.166,6.5,0.663,1,0,b'0000',b'BB',5,59022.31116416,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.086934,254.628977
206.8515980,2.3119108,b'13h47m24.38s',b'02d18m42.88s',0.3422,0.4524,-0.1306,15.200,0.182,6.0,0.855,14.171,0.161,6.8,0.888,1,0,b'0000',b'BB',10,57570.43957812,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.108928,313.417289
206.8515958,2.3118678,b'13h47m24.38s',b'02d18m42.72s',0.2573,0.3330,-0.1283,14.902,0.108,10.1,0.618,14.030,0.189,5.7,0.935,1,0,b'0000',b'AB',10,57211.61806014,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.118163,227.444877
206.8516456,2.3118685,b'13h47m24.39s',b'02d18m42.73s',0.3650,0.4165,-0.0838,15.431,0.150,7.2,1.398,13.837,0.157,6.9,0.720,1,0,b'0000',b'BB',10,58133.76275253,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.120302,130.047988
206.8516346,2.3118568,b'13h47m24.39s',b'02d18m42.68s',0.2906,0.3194,-0.1008,15.198,0.113,9.6,0.551,13.874,0.134,8.1,1.547,1,0,b'0000',b'BB',10,59022.57271591,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.130546,156.27926
206.8516378,2.3119256,b'13h47m24.39s',b'02d18m42.93s',0.3122,0.3831,0.1289,15.108,0.169,6.4,1.030,14.063,0.201,5.4,0.524,1,0,b'0000',b'BB',5,59022.17987902,2072103001351008153,15.228,0.036,13.944,0.038,10.900,0.110,8.613,0.375,,,,,,,,0.143277,26.546393
