source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00989a036',55212.24199720,10.787,0.024,2.304,9.851,0.021,1.712,6.871,0.020,1.110,4.433,0.041,0.967,1.0,66,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00990a059',55212.30808590,10.787,0.020,2.304,9.827,0.021,1.660,6.880,0.018,1.092,4.541,0.036,0.889,1.0,75,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12030a061',55577.43926670,10.852,0.026,2.789,9.834,0.019,1.664,,,,,,,1.0,70,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12030a062',55577.43939410,10.772,0.029,2.281,9.833,0.025,1.663,,,,,,,1.0,70,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00985a035',55212.10956510,10.759,0.027,2.288,9.803,0.021,1.724,6.871,0.029,1.109,4.491,0.040,0.841,1.0,37,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00986a059',55212.17578110,10.785,0.024,2.299,9.837,0.022,1.667,6.878,0.020,1.095,4.477,0.035,0.852,1.0,52,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12026a062',55577.30708970,10.770,0.025,2.280,9.907,0.025,2.234,,,,,,,1.0,75,b'0011',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12029a038',55577.37317820,10.801,0.032,2.356,9.843,0.029,1.681,,,,,,,1.0,80,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06668a219',55400.11476770,10.747,0.027,2.320,9.775,0.023,1.952,6.893,0.022,1.099,4.473,0.031,0.858,1.0,19,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06668a220',55400.11489510,10.707,0.025,2.606,9.799,0.027,1.747,6.833,0.017,1.399,4.471,0.037,0.861,1.0,19,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12022b061',55577.17478530,10.802,0.022,2.362,9.802,0.027,1.729,,,,,,,1.0,52,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12025a038',55577.24100120,10.763,0.027,2.282,9.752,0.023,2.271,,,,,,,1.0,66,b'0011',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06664a218',55399.98246400,10.740,0.025,2.347,9.816,0.023,1.674,6.861,0.021,1.152,4.501,0.037,0.840,1.0,49,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06664a220',55399.98259130,10.745,0.025,2.327,9.773,0.021,1.969,6.834,0.022,1.385,4.479,0.040,0.850,1.0,49,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12018a062',55577.04260820,10.764,0.031,2.282,10.009,0.027,4.413,,,,,,,0.5,22,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12021a038',55577.10869680,10.761,0.024,2.285,9.805,0.022,1.713,,,,,,,1.0,37,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06660a219',55399.85028750,10.763,0.026,2.283,9.831,0.021,1.661,6.894,0.023,1.102,4.466,0.050,0.869,1.0,81,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06661b244',55399.91637570,10.743,0.025,2.334,9.805,0.021,1.711,6.875,0.020,1.099,4.486,0.033,0.844,1.0,66,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12010a061',55576.77799950,10.783,0.025,2.294,9.829,0.016,1.660,,,,,,,1.0,5,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12014a062',55576.91030380,10.758,0.029,2.289,9.867,0.031,1.807,,,,,,,1.0,-3,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06656a219',55399.71798360,10.740,0.024,2.348,9.772,0.018,1.984,6.889,0.019,1.093,4.501,0.032,0.840,1.0,71,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06657b244',55399.78407190,10.734,0.020,2.383,9.816,0.022,1.675,6.868,0.024,1.119,4.483,0.052,0.847,1.0,80,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'11917a034',55573.66992870,10.763,0.029,2.283,9.998,0.037,4.106,,,,,,,1.0,21,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'11918a058',55573.73601720,10.781,0.022,2.291,9.902,0.025,2.164,,,,,,,1.0,11,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00974a059',55211.77873960,10.792,0.022,2.321,9.828,0.023,1.660,6.887,0.025,1.091,4.511,0.050,0.844,1.0,5,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06653b244',55399.65176810,10.746,0.028,2.325,9.836,0.030,1.667,6.877,0.018,1.096,4.531,0.033,0.868,1.0,58,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06672a219',55400.24707150,10.750,0.029,2.310,9.781,0.022,1.891,6.860,0.016,1.156,4.485,0.031,0.845,1.0,0,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'06676a219',55400.37937530,10.760,0.024,2.287,9.811,0.020,1.687,6.879,0.019,1.094,4.538,0.031,0.882,1.0,-6,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00978a059',55211.91104430,10.775,0.026,2.283,9.837,0.024,1.669,6.871,0.022,1.109,4.502,0.036,0.840,1.0,-3,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00981a035',55211.97726040,10.762,0.023,2.284,9.857,0.021,1.744,6.880,0.021,1.092,4.492,0.040,0.840,1.0,6,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12053a038',55578.16674990,10.797,0.023,2.340,9.812,0.020,1.685,,,,,,,1.0,51,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12057a038',55578.29905430,10.770,0.023,2.280,9.913,0.030,2.315,,,,,,,1.0,74,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00970a059',55211.64643490,10.776,0.029,2.283,9.848,0.031,1.699,6.879,0.022,1.094,4.411,0.030,1.073,1.0,24,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00982a060',55212.04347640,10.776,0.024,2.283,9.816,0.023,1.675,6.882,0.018,1.091,4.608,0.039,1.150,1.0,22,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12045a038',55577.90226850,10.779,0.025,2.288,9.891,0.029,2.034,,,,,,,0.5,-4,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'12049a037',55578.03444550,10.751,0.032,2.305,9.868,0.024,1.810,,,,,,,1.0,20,b'0000',0.552818,69.769924
b'0505m425_ac51-053199',51.2594836,-41.9048869,b'03h25m02.28s',b'-41d54m17.59s',1,0,b'0000',b'00966b060',55211.51413020,10.810,0.031,2.408,9.844,0.030,1.685,6.838,0.019,1.334,4.445,0.045,0.924,1.0,52,b'0000',0.552818,69.769924
