ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
56.3022089,-39.5748111,b'03h45m12.53s',b'-39d34m29.32s',0.0332,0.0302,-0.0046,9.858,0.019,58.4,2.803,9.071,0.018,59.8,2.428,1,0,b'0000',b'AA',10,57767.66744716,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.005324,217.624798
56.3022089,-39.5748115,b'03h45m12.53s',b'-39d34m29.32s',0.0256,0.0244,-0.0086,10.005,0.015,71.4,3.267,9.195,0.013,83.4,2.513,1,0,b'0000',b'AA',10,56872.65604458,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.006147,209.477239
56.3022075,-39.5748101,b'03h45m12.53s',b'-39d34m29.32s',0.0327,0.0282,-0.0070,9.893,0.018,62.0,2.320,9.033,0.015,73.9,1.361,1,0,b'0000',b'AA',10,57767.79835116,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.006873,267.029324
56.3022086,-39.5748082,b'03h45m12.53s',b'-39d34m29.31s',0.0334,0.0302,0.0060,10.172,0.020,54.2,2.705,9.279,0.017,62.2,1.030,1,0,b'0000',b'AA',10,56682.04825546,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.007529,329.05706
56.3022102,-39.5748128,b'03h45m12.53s',b'-39d34m29.33s',0.0280,0.0276,0.0053,9.982,0.016,66.6,3.377,9.078,0.014,76.0,1.507,1,0,b'0000',b'AA',10,58128.94351433,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.010194,176.848667
56.3022130,-39.5748076,b'03h45m12.53s',b'-39d34m29.31s',0.0345,0.0307,-0.0109,9.989,0.019,55.8,5.484,9.105,0.016,69.2,4.471,1,0,b'0000',b'AA',10,57043.94068640,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.011904,43.934794
56.3022109,-39.5748060,b'03h45m12.53s',b'-39d34m29.30s',0.0322,0.0289,-0.0012,9.993,0.019,57.7,3.545,9.189,0.016,67.5,2.553,1,0,b'0000',b'AA',10,57043.74369418,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.01474,9.838859
56.3022039,-39.5748100,b'03h45m12.53s',b'-39d34m29.32s',0.0279,0.0252,0.0084,9.945,0.016,67.9,3.527,9.049,0.013,81.9,1.886,1,0,b'0000',b'AA',10,58128.55080358,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.016835,269.999998
56.3022057,-39.5748066,b'03h45m12.53s',b'-39d34m29.30s',0.0326,0.0261,-0.0021,10.161,0.019,58.5,2.901,9.284,0.015,72.6,1.269,1,0,b'0000',b'AA',10,56682.24588415,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.017113,315.730305
56.3022089,-39.5748151,b'03h45m12.53s',b'-39d34m29.33s',0.0339,0.0287,-0.0091,9.940,0.021,52.6,3.436,9.086,0.016,69.7,0.455,1,0,b'0000',b'AA',10,58489.12685333,561039401351018563,10.059,0.023,9.174,0.019,6.609,0.015,4.651,0.025,620017630,13.219,0.0481,12.195,0.0433,11.233,0.0328,0.018696,189.439067
