source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02362a152',55257.70910310,9.362,0.026,2.517,8.240,0.020,2.692,5.152,0.014,2.417,2.559,0.018,0.848,1.0,39,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08172a125',55449.84517370,9.534,0.023,2.875,8.364,0.016,2.410,,,,,,,1.0,124,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02358a153',55257.57679900,9.437,0.023,2.075,8.288,0.014,2.141,5.096,0.013,3.239,2.535,0.016,0.961,1.0,56,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08164a125',55449.58056540,9.400,0.030,2.163,8.354,0.022,2.306,,,,,,,1.0,61,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08168a125',55449.71286950,9.516,0.031,2.625,8.353,0.027,2.298,,,,,,,1.0,97,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08157b150',55449.38217290,9.500,0.026,2.441,8.399,0.020,2.950,,,,,,,0.5,30,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08160a126',55449.44838870,9.470,0.027,2.193,8.343,0.017,2.207,,,,,,,1.0,35,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08153b150',55449.24986880,9.512,0.030,2.575,8.330,0.021,2.130,,,,,,,1.0,38,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08156a126',55449.31608450,9.465,0.026,2.165,8.349,0.022,2.256,,,,,,,1.0,30,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02366a153',55257.84153450,9.365,0.021,2.476,8.315,0.019,2.085,5.138,0.016,2.491,2.593,0.027,0.890,1.0,28,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08145b150',55448.98538800,9.482,0.020,2.279,8.346,0.022,2.236,,,,,,,0.5,83,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02373a128',55258.03992690,9.404,0.021,2.143,8.277,0.018,2.211,5.148,0.015,2.429,2.598,0.033,0.912,1.0,54,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02370a153',55257.97383860,9.380,0.023,2.314,8.277,0.018,2.215,5.181,0.016,2.530,2.588,0.020,0.867,1.0,40,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02377a109',55258.17223100,9.447,0.027,2.093,8.303,0.022,2.088,5.150,0.018,2.421,2.544,0.019,0.902,1.0,89,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02375a072',55258.10614270,9.405,0.022,2.137,8.231,0.020,2.878,5.193,0.015,2.677,2.629,0.037,1.176,1.0,70,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02378a153',55258.23844670,9.361,0.022,2.525,8.276,0.018,2.225,5.161,0.018,2.415,2.576,0.020,0.839,1.0,110,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02377a110',55258.17235840,9.385,0.024,2.264,8.162,0.023,5.085,5.161,0.014,2.415,2.592,0.023,0.885,1.0,89,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02385a072',55258.43696650,9.373,0.022,2.389,8.289,0.024,2.136,5.172,0.013,2.460,2.575,0.026,0.838,1.0,91,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02381a129',55258.30466240,9.385,0.021,2.265,8.304,0.021,2.086,5.163,0.013,2.419,2.563,0.014,0.840,1.0,131,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'02389a129',55258.56927050,9.378,0.020,2.330,8.278,0.019,2.204,5.180,0.016,2.518,2.637,0.038,1.270,1.0,57,b'0000',0.099072,102.380118
b'0765p227_ac51-035852',75.7426092,22.9977141,b'05h02m58.23s',b'22d59m51.77s',1,0,b'0000',b'08141b150',55448.85308380,9.490,0.020,2.349,8.366,0.020,2.437,,,,,,,1.0,122,b'0000',0.099072,102.380118
