ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
32.3931178,52.4419846,b'02h09m34.35s',b'52d26m31.14s',0.8205,0.6996,-0.2734,16.184,,1.9,1.055,14.373,0.267,4.1,0.487,1,0,b'0000',b'UB',10,57778.36020229,,,,,,,,,,,,,,,,,1.905534,166.833101
32.3943159,52.4420574,b'02h09m34.64s',b'52d26m31.41s',0.5627,0.5921,-0.2052,15.776,0.219,5.0,1.060,15.367,,0.0,0.505,1,0,b'0000',b'BU',10,58503.01485928,,,,,,,,,,,,,,,,,3.452813,117.481279
32.3933981,52.4434656,b'02h09m34.42s',b'52d26m36.48s',0.6153,0.8113,-0.4367,15.858,0.251,4.3,1.125,14.451,,2.0,0.798,1,0,b'0000',b'BU',10,57612.06439668,,,,,,,,,,,,,,,,,3.631029,16.794064
32.3948432,52.4418879,b'02h09m34.76s',b'52d26m30.80s',0.7896,0.7381,0.0672,15.907,0.298,3.6,1.093,14.678,,-0.2,0.335,1,0,b'0000',b'BU',5,58502.55682399,,,,,,,,,,,,,,,,,4.760957,117.569743
32.3954143,52.4430193,b'02h09m34.90s',b'52d26m34.87s',1.2282,1.1731,-0.0493,16.457,0.375,2.9,0.945,14.911,,0.7,0.711,1,0,b'0000',b'CU',5,56696.03111446,,,,,,,,,,,,,,,,,5.783934,71.141274
32.3946302,52.4438177,b'02h09m34.71s',b'52d26m37.74s',0.9273,1.1789,-0.6679,16.813,,0.5,0.545,14.022,0.378,2.9,0.724,1,0,b'0000',b'UC',10,59072.42530315,,,,,,,,,,,,,,,,,6.048679,38.347294
32.3904735,52.4417183,b'02h09m33.71s',b'52d26m30.19s',0.9765,1.0582,0.1591,16.818,,-0.8,0.537,14.645,0.374,2.9,1.036,1,0,b'0000',b'UC',10,58502.75317936,,,,,,,,,,,,,,,,,6.061503,242.338554
32.3940081,52.4442361,b'02h09m34.56s',b'52d26m39.25s',1.6963,1.9942,0.3913,15.486,,1.7,0.372,14.858,,0.9,0.569,1,0,b'0000',b'UU',10,56696.22874310,,,,,,,,,,,,,,,,,6.690519,20.908039
32.3950642,52.4442405,b'02h09m34.82s',b'52d26m39.27s',1.0669,1.2882,-0.5157,16.236,0.410,2.6,0.883,14.718,,1.3,0.470,1,0,b'0000',b'CU',10,59075.30300744,,,,,,,,,,,,,,,,,7.835733,36.902994
32.3929037,52.4447501,b'02h09m34.30s',b'52d26m41.10s',0.0601,0.0543,0.0154,17.018,,-2.3,0.719,10.288,0.021,51.7,125.700,1,0,b'0000',b'UA',10,58708.38319075,,,,,,,,,,,,,,,,,8.100439,359.747013
32.3956729,52.4444136,b'02h09m34.96s',b'52d26m39.89s',0.9753,1.0783,-0.0254,17.125,,-1.6,1.164,14.630,0.350,3.1,0.999,1,0,b'0000',b'UB',10,59071.70597207,,,,,,,,,,,,,,,,,9.162404,41.24606
32.3963001,52.4409592,b'02h09m35.11s',b'52d26m27.45s',0.7283,0.5657,0.1389,15.576,0.286,3.8,1.354,15.502,,0.2,0.722,1,0,b'0000',b'BU',10,57612.19542733,,,,,,,,,,,,,,,,,9.262091,126.788378
32.3897119,52.4441745,b'02h09m33.53s',b'52d26m39.03s',0.3674,0.3274,-0.0940,15.091,0.111,9.8,0.890,14.691,,1.7,0.390,1,0,b'0000',b'BU',0,56696.49220544,,,,,,,,,,,,,,,,,9.268072,310.575043
32.3946612,52.4449915,b'02h09m34.72s',b'52d26m41.97s',0.7113,0.5545,-0.3142,15.221,0.266,4.1,0.808,15.196,,-0.5,0.997,1,0,b'0000',b'BU',10,58707.92528435,,,,,,,,,,,,,,,,,9.749287,23.072383
32.3941812,52.4451318,b'02h09m34.60s',b'52d26m42.47s',0.4469,0.4042,-0.1177,15.110,0.167,6.5,1.977,15.015,,1.0,0.454,1,0,b'0000',b'BU',10,58502.94940745,,,,,,,,,,,,,,,,,9.870402,16.282622
32.3968368,52.4411349,b'02h09m35.24s',b'52d26m28.09s',0.7527,1.0119,-0.4883,16.612,,-2.7,0.117,14.460,0.397,2.7,0.763,1,0,b'0000',b'UC',10,56883.29550156,,,,,,,,,,,,,,,,,9.900915,119.75753
32.3896181,52.4443943,b'02h09m33.51s',b'52d26m39.82s',1.4279,1.1879,0.4973,14.904,,1.6,0.570,14.994,,1.0,0.607,1,0,b'0000',b'UU',5,57415.91968704,,,,,,,,,,,,,,,,,9.950043,313.266169
