source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03932a146',55309.61344130,10.483,0.024,18.500,10.140,0.024,5.429,7.304,0.024,1.507,4.821,0.044,1.108,1.0,51,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03913b171',55309.01800850,10.430,0.028,19.200,10.171,0.025,5.400,7.236,0.027,1.329,4.892,0.053,1.217,1.0,42,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03928a146',55309.48113710,10.530,0.022,18.290,10.121,0.021,5.530,7.297,0.025,1.463,4.772,0.061,1.132,1.0,11,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03929b172',55309.54735290,10.495,0.023,18.410,10.116,0.023,5.564,7.241,0.025,1.320,4.829,0.053,1.112,1.0,31,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03933b172',55309.67965710,10.545,0.028,18.300,10.079,0.025,6.007,7.237,0.025,1.326,4.772,0.046,1.132,1.0,70,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03925b172',55309.41504860,10.458,0.021,18.760,10.127,0.020,5.492,7.210,0.023,1.442,4.745,0.049,1.187,1.0,-7,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03917b172',55309.15044010,10.458,0.026,18.760,10.114,0.025,5.584,7.256,0.028,1.314,4.863,0.061,1.153,1.0,5,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03921b171',55309.28261700,10.498,0.028,18.390,10.125,0.023,5.504,7.188,0.026,1.618,4.844,0.052,1.126,1.0,-14,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03917b171',55309.15031270,10.377,0.027,20.470,10.148,0.023,5.405,7.244,0.024,1.316,4.837,0.046,1.118,1.0,5,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'09438a134',55491.73969790,10.515,0.021,18.320,10.141,0.026,5.424,,,,,,,1.0,-6,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'09441a111',55491.80591350,10.430,0.021,19.190,10.133,0.020,5.457,,,,,,,1.0,-14,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'09437a111',55491.67360960,10.543,0.021,18.300,10.145,0.023,5.413,,,,,,,1.0,5,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'09449a071',55492.07039420,10.498,0.022,18.390,10.122,0.023,5.522,,,,,,,1.0,30,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'09445a110',55491.93809020,10.533,0.026,18.290,10.126,0.023,5.499,,,,,,,1.0,-8,b'0000',0.244287,349.404131
b'3078m303_ac51-023269',308.6306155,-30.6246033,b'20h34m31.35s',b'-30d37m28.57s',1,0,b'0000',b'03936a146',55309.74574560,10.547,0.022,18.310,10.196,0.022,5.494,7.258,0.024,1.316,4.796,0.056,1.110,1.0,84,b'0000',0.244287,349.404131
