ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
12.8958805,29.4012645,b'00h51m35.01s',b'29d24m04.55s',0.0410,0.0351,-0.0126,11.085,0.017,64.7,32.520,10.799,0.020,53.5,5.186,1,0,b'0000',b'AA',10,59046.99048910,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.016264,5.529024
12.8958740,29.4012612,b'00h51m35.01s',b'29d24m04.54s',0.0366,0.0352,0.0056,10.914,0.018,61.2,24.860,10.528,0.023,47.8,4.682,1,0,b'0000',b'AA',10,58476.83949351,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.019195,282.929235
12.8958780,29.4012660,b'00h51m35.01s',b'29d24m04.56s',0.0345,0.0343,-0.0105,10.925,0.019,58.6,21.580,10.465,0.020,54.5,4.711,1,0,b'0000',b'AA',10,58840.63045721,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.022586,343.806651
12.8958790,29.4012531,b'00h51m35.01s',b'29d24m04.51s',0.0397,0.0368,-0.0063,10.997,0.020,53.8,21.920,10.694,0.023,47.7,9.743,1,0,b'0000',b'AA',10,57393.29878181,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.02497,187.196162
12.8958797,29.4012679,b'00h51m35.01s',b'29d24m04.56s',0.0430,0.0407,-0.0025,11.081,0.019,57.5,24.950,10.798,0.027,40.6,5.688,1,0,b'0000',b'AA',10,56855.99798416,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.028503,358.105137
12.8958707,29.4012549,b'00h51m35.01s',b'29d24m04.52s',0.0406,0.0391,-0.0059,11.042,0.017,62.6,28.920,10.821,0.022,48.7,5.200,1,0,b'0000',b'AA',10,56858.43204289,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.034501,237.811246
12.8958845,29.4012714,b'00h51m35.01s',b'29d24m04.58s',0.0406,0.0381,-0.0018,10.954,0.021,50.9,22.620,10.688,0.019,55.7,6.632,1,0,b'0000',b'AA',10,57393.82328874,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.043358,18.977883
12.8958706,29.4012706,b'00h51m35.01s',b'29d24m04.57s',0.0385,0.0351,-0.0020,11.062,0.017,65.7,23.540,10.793,0.023,47.0,4.470,1,0,b'0000',b'AA',10,56855.73490462,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.048207,322.311181
12.8958837,29.4012736,b'00h51m35.01s',b'29d24m04.58s',0.0417,0.0382,0.0037,11.020,0.020,54.5,18.550,10.473,0.020,53.1,5.781,1,0,b'0000',b'AA',10,58840.95746112,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.050317,13.334097
12.8958968,29.4012619,b'00h51m35.02s',b'29d24m04.54s',0.0409,0.0348,-0.0090,10.840,0.020,53.0,28.200,10.577,0.021,50.8,7.917,1,0,b'0000',b'AA',5,58115.86665696,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.053147,82.603506
12.8958752,29.4012753,b'00h51m35.01s',b'29d24m04.59s',0.0374,0.0336,-0.0087,10.939,0.017,63.5,32.360,10.645,0.020,55.3,9.594,1,0,b'0000',b'AA',5,57220.17311324,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.057089,344.713354
12.8958940,29.4012710,b'00h51m35.01s',b'29d24m04.58s',0.0416,0.0449,-0.0117,10.978,0.022,50.3,14.020,10.617,0.022,48.9,3.012,1,0,b'0000',b'AA',10,57951.83500843,137128701351062339,10.748,0.022,10.294,0.020,7.284,0.016,4.786,0.028,109669258,13.145,0.0462,12.455,0.0561,11.945,0.0343,0.059122,47.953555
