source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'09021b130',55477.95054150,9.536,0.022,5.776,8.656,0.021,2.283,,,,,,,1.0,99,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'09026a054',55478.08284550,9.547,0.020,5.853,8.644,0.022,2.166,,,,,,,1.0,70,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'03257a149',55287.28560910,9.452,0.020,5.867,8.550,0.019,2.234,5.336,0.015,1.279,3.048,0.039,0.687,1.0,129,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'03261a093',55287.41791310,9.446,0.020,5.927,8.560,0.020,2.145,5.307,0.016,1.313,3.031,0.021,0.650,1.0,100,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'09041b130',55478.61193410,9.546,0.028,5.842,8.617,0.022,2.011,,,,,,,1.0,75,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'03253a102',55287.15330500,9.459,0.022,5.813,8.530,0.019,2.502,5.342,0.017,1.312,3.029,0.028,0.648,1.0,92,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'09044a105',55478.67802240,9.563,0.024,5.989,8.704,0.022,2.956,,,,,,,1.0,91,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'03238a173',55286.69017710,9.447,0.020,5.913,8.570,0.020,2.071,5.333,0.015,1.267,3.019,0.033,0.648,1.0,54,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'03234a173',55286.55787310,9.433,0.019,6.065,8.534,0.020,2.434,5.308,0.018,1.304,3.028,0.020,0.647,1.0,70,b'0000',0.126466,261.818333
b'1078p348_ac51-048782',108.5160374,35.2792750,b'07h14m03.85s',b'35d16m45.39s',1,0,b'hh00',b'03231a098',55286.42556900,9.438,0.027,6.014,8.572,0.029,2.061,5.317,0.018,1.266,3.022,0.020,0.646,1.0,99,b'0000',0.126466,261.818333
