ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
168.8330868,54.3879714,b'11h15m19.94s',b'54d23m16.70s',0.0367,0.0407,-0.0069,11.570,0.020,54.3,9.734,10.720,0.022,49.4,2.037,1,0,b'0000',b'AA',5,57342.43573765,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.015057,70.527862
168.8330881,54.3879707,b'11h15m19.94s',b'54d23m16.69s',0.0355,0.0368,-0.0062,11.574,0.019,56.3,6.652,10.675,0.019,56.5,0.942,1,0,b'0000',b'AA',10,56980.23005103,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.017113,81.558198
168.8330929,54.3879622,b'11h15m19.94s',b'54d23m16.66s',0.0432,0.0487,-0.0111,11.830,0.021,51.4,9.353,10.993,0.025,42.9,1.774,1,0,b'0000',b'AA',10,58437.59964361,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.038999,136.079097
168.8331002,54.3879629,b'11h15m19.94s',b'54d23m16.67s',0.0442,0.0435,0.0045,11.807,0.024,45.9,13.600,11.006,0.024,45.5,3.495,1,0,b'0000',b'AA',5,59169.46804163,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.049465,121.116085
168.8331001,54.3879617,b'11h15m19.94s',b'54d23m16.66s',0.0377,0.0417,-0.0114,11.741,0.019,58.3,13.480,10.877,0.021,51.4,2.296,1,0,b'0000',b'AA',5,58801.72959836,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.051614,125.342464
168.8330703,54.3879558,b'11h15m19.94s',b'54d23m16.64s',0.0372,0.0389,0.0059,11.760,0.020,53.4,7.685,10.912,0.022,49.7,1.988,1,0,b'0000',b'AA',10,58595.65676883,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.054982,201.690889
168.8331062,54.3879654,b'11h15m19.95s',b'54d23m16.68s',0.0472,0.0504,0.0196,11.796,0.026,41.6,10.740,10.976,0.025,44.0,2.336,1,0,b'0000',b'AA',5,58438.31948531,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.057337,106.779037
168.8331002,54.3879585,b'11h15m19.94s',b'54d23m16.65s',0.0438,0.0497,0.0050,11.838,0.025,43.2,6.318,10.985,0.022,50.5,1.364,1,0,b'0000',b'AA',5,58228.83837769,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.059201,134.353883
168.8331019,54.3879581,b'11h15m19.94s',b'54d23m16.65s',0.0373,0.0382,-0.0065,11.551,0.018,60.7,7.772,10.737,0.020,53.9,2.323,1,0,b'0000',b'AA',10,56980.55871049,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.062764,133.020051
168.8331046,54.3879800,b'11h15m19.95s',b'54d23m16.73s',0.0402,0.0469,-0.0140,11.685,0.021,51.5,16.320,10.913,0.025,43.3,2.505,1,0,b'0000',b'AA',10,58807.02863794,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.062915,55.080773
168.8331122,54.3879646,b'11h15m19.95s',b'54d23m16.67s',0.0385,0.0417,-0.0069,11.745,0.020,54.5,9.490,10.930,0.020,54.0,2.488,1,0,b'0000',b'AA',5,58596.18000060,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.070223,106.066503
168.8331155,54.3879675,b'11h15m19.95s',b'54d23m16.68s',0.0410,0.0483,-0.0088,11.736,0.022,50.0,8.340,10.955,0.026,41.8,2.661,1,0,b'0000',b'AA',10,58802.12205377,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.074973,96.89584
168.8330724,54.3879495,b'11h15m19.94s',b'54d23m16.62s',0.0429,0.0426,0.0086,11.854,0.022,48.4,11.270,10.990,0.023,46.5,3.180,1,0,b'0000',b'AA',10,59169.20598032,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.075475,192.181782
168.8330716,54.3879494,b'11h15m19.94s',b'54d23m16.62s',0.0520,0.0493,-0.0100,11.708,0.024,45.9,14.680,10.924,0.024,45.3,3.319,1,0,b'0000',b'AA',5,58802.71073682,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.076222,193.356978
168.8330815,54.3879484,b'11h15m19.94s',b'54d23m16.61s',0.0403,0.0469,-0.0053,11.810,0.022,50.5,17.120,10.998,0.023,47.9,2.193,1,0,b'0000',b'AA',5,58438.45026144,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.077817,177.684387
168.8330999,54.3879517,b'11h15m19.94s',b'54d23m16.63s',0.0389,0.0421,-0.0113,11.750,0.019,57.5,5.451,10.939,0.021,50.7,1.432,1,0,b'0000',b'AA',10,58595.72209319,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.077999,147.657807
168.8331104,54.3879827,b'11h15m19.95s',b'54d23m16.74s',0.0411,0.0483,0.0122,11.800,0.024,45.1,9.018,10.983,0.022,49.9,3.442,1,0,b'0000',b'AA',5,58437.79587147,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.078422,54.342659
168.8330969,54.3879497,b'11h15m19.94s',b'54d23m16.62s',0.0340,0.0394,-0.0137,11.617,0.017,65.6,14.540,10.763,0.020,55.1,1.532,1,0,b'0000',b'AA',5,56790.24796345,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.081203,154.137427
168.8331098,54.3879555,b'11h15m19.95s',b'54d23m16.64s',0.0455,0.0496,0.0166,11.874,0.028,39.3,13.740,11.004,0.021,51.4,2.630,1,0,b'0000',b'AA',10,59169.33713830,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.081436,129.882843
168.8330943,54.3879488,b'11h15m19.94s',b'54d23m16.62s',0.0413,0.0436,0.0058,11.709,0.022,48.7,5.786,10.828,0.021,51.2,2.529,1,0,b'0000',b'AA',10,57868.14219826,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.082013,158.556401
168.8330443,54.3879794,b'11h15m19.93s',b'54d23m16.73s',0.0423,0.0452,-0.0180,11.765,0.026,42.6,6.767,10.777,0.020,53.6,3.531,1,0,b'0000',b'AA',5,57341.77994552,1685154501351028697,11.866,0.022,11.079,0.020,7.668,0.018,4.939,0.033,825675638,14.540,0.0608,13.841,0.0826,13.100,0.0544,0.082129,294.331856
