source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07229a142',55418.66048000,11.234,0.025,33.210,10.622,0.023,8.689,,,,,,,1.0,18,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07210a166',55418.06517620,11.212,0.026,33.070,10.660,0.024,8.610,,,,,,,1.0,39,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07237a142',55418.92508790,11.184,0.027,32.990,10.673,0.025,8.632,,,,,,,1.0,4,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07233a142',55418.79278400,11.170,0.021,32.990,10.617,0.026,8.721,,,,,,,1.0,2,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07223a097',55418.46208780,11.257,0.032,33.420,10.637,0.028,8.630,,,,,,,1.0,72,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07221a142',55418.39587230,11.220,0.023,33.110,10.674,0.025,8.635,,,,,,,1.0,93,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07225a123',55418.52817610,11.161,0.021,33.010,10.644,0.025,8.617,,,,,,,1.0,51,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07217a142',55418.26356840,11.217,0.026,33.100,10.685,0.020,8.678,,,,,,,1.0,101,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07215a096',55418.19748010,11.177,0.025,32.990,10.656,0.028,8.608,,,,,,,1.0,82,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01840a109',55240.40503760,11.200,0.026,33.020,10.691,0.024,8.705,6.712,0.020,3.224,3.669,0.035,0.802,1.0,2,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'07206a166',55417.93287220,11.174,0.029,32.990,10.625,0.033,8.678,,,,,,,1.0,5,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01832a088',55240.14042920,11.168,0.022,32.990,10.698,0.027,8.744,6.788,0.022,2.722,3.663,0.024,0.801,1.0,21,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01836a110',55240.27273340,11.191,0.026,33.000,10.672,0.024,8.631,6.741,0.021,2.882,3.661,0.022,0.802,1.0,5,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01825b134',55239.94190930,11.202,0.023,33.030,10.665,0.021,8.616,6.778,0.019,2.716,3.620,0.043,0.922,1.0,77,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01828a110',55240.00812510,11.200,0.025,33.020,10.634,0.022,8.642,6.795,0.020,2.739,3.685,0.024,0.826,1.0,56,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01824a109',55239.87569350,11.153,0.032,33.030,10.618,0.025,8.709,6.806,0.021,2.782,3.671,0.022,0.804,1.0,98,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01824a110',55239.87582090,11.148,0.028,33.050,10.665,0.029,8.617,6.777,0.023,2.717,3.672,0.035,0.804,1.0,98,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01820a110',55239.74338930,11.143,0.022,33.080,10.639,0.026,8.627,6.813,0.021,2.822,3.673,0.025,0.806,1.0,97,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01821b135',55239.80960510,11.193,0.024,33.000,10.677,0.028,8.645,6.774,0.018,2.719,3.640,0.047,0.835,1.0,115,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01814a077',55239.54486940,11.115,0.023,33.300,10.697,0.023,8.735,6.803,0.018,2.769,3.677,0.024,0.811,1.0,34,b'0000',0.180768,269.771797
b'2328m091_ac51-049513',233.3362392,-8.7005302,b'15h33m20.70s',b'-08d42m01.91s',1,0,b'0000',b'01817b135',55239.67730090,11.127,0.026,33.190,10.611,0.024,8.756,6.770,0.024,2.727,3.624,0.038,0.898,1.0,77,b'0000',0.180768,269.771797
