ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
51.2706457,-12.3079800,b'03h25m04.95s',b'-12d18m28.73s',0.0356,0.0352,-0.0061,10.720,0.016,67.2,66.000,10.125,0.019,56.6,10.240,1,0,b'h000',b'AA',10,58703.16272583,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.065921,123.101401
51.2706012,-12.3079755,b'03h25m04.94s',b'-12d18m28.71s',0.0381,0.0400,-0.0088,10.707,0.017,62.5,48.580,10.249,0.023,47.8,16.330,1,0,b'hh00',b'AA',10,57607.94934205,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.103229,258.940135
51.2706625,-12.3080153,b'03h25m04.96s',b'-12d18m28.86s',0.0402,0.0387,0.0092,10.643,0.022,49.1,44.630,10.063,0.018,58.7,32.940,1,0,b'h000',b'AA',5,57972.00900617,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.199144,144.971486
51.2706225,-12.3080257,b'03h25m04.95s',b'-12d18m28.89s',0.0367,0.0368,-0.0124,10.671,0.019,57.6,44.880,10.123,0.021,52.6,9.005,1,0,b'h000',b'AA',10,58339.39222288,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.20225,187.494513
51.2706522,-12.3080267,b'03h25m04.96s',b'-12d18m28.90s',0.0386,0.0314,-0.0083,10.626,0.017,64.8,53.830,10.166,0.018,59.9,21.110,1,0,b'hh00',b'AA',5,58862.85998671,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.218549,159.066386
51.2706256,-12.3080317,b'03h25m04.95s',b'-12d18m28.91s',0.0362,0.0332,-0.0129,10.560,0.019,57.5,35.760,10.060,0.018,60.6,10.740,1,0,b'hh00',b'AA',10,57240.51939410,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.22266,183.98557
51.2706378,-12.3080352,b'03h25m04.95s',b'-12d18m28.93s',0.0331,0.0313,-0.0102,10.606,0.015,71.5,54.100,10.068,0.020,55.3,12.860,1,0,b'h000',b'AA',10,57774.61479146,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.236327,173.333389
51.2706173,-12.3080353,b'03h25m04.95s',b'-12d18m28.93s',0.0358,0.0340,-0.0092,10.577,0.021,52.7,44.050,10.058,0.018,59.2,10.260,1,0,b'hh00',b'AA',10,57244.12751024,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.239286,190.758898
51.2706308,-12.3080372,b'03h25m04.95s',b'-12d18m28.93s',0.0303,0.0317,-0.0056,10.619,0.017,63.8,50.820,10.118,0.018,60.9,13.160,1,0,b'hh00',b'AA',10,58133.20322912,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.241936,179.333615
51.2706483,-12.3080367,b'03h25m04.96s',b'-12d18m28.93s',0.0356,0.0348,0.0064,10.679,0.021,52.1,42.790,10.143,0.017,65.4,16.990,1,0,b'h000',b'AA',10,59072.83023698,509012201351021084,10.532,0.023,9.905,0.020,6.171,0.014,3.536,0.023,1189287771,13.079,0.0620,12.150,0.0540,11.788,0.0550,0.2486,164.994249
