source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10473a113',55525.93109170,9.886,0.026,2.857,9.014,0.023,2.238,,,,,,,1.0,-7,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10473a114',55525.93121900,9.903,0.026,2.818,8.957,0.025,2.421,,,,,,,1.0,-6,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10469a113',55525.79891470,9.869,0.022,2.946,8.976,0.021,2.289,,,,,,,1.0,-10,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10470a137',55525.86500320,9.915,0.021,2.819,9.020,0.025,2.255,,,,,,,1.0,-15,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10466a137',55525.73269890,9.911,0.025,2.816,9.057,0.023,2.486,,,,,,,1.0,-1,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10466a138',55525.73282620,9.901,0.025,2.820,8.999,0.026,2.227,,,,,,,1.0,-1,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10458b137',55525.46821640,9.890,0.022,2.845,8.997,0.019,2.228,,,,,,,1.0,66,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10462a137',55525.60052200,9.899,0.025,2.823,9.050,0.021,2.429,,,,,,,1.0,24,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'05012a144',55345.33553450,9.930,0.022,2.850,8.964,0.019,2.365,6.484,0.020,1.869,4.368,0.035,0.794,1.0,-14,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'05016a144',55345.46783830,9.897,0.022,2.826,8.999,0.029,2.227,6.463,0.017,2.030,4.340,0.042,0.817,1.0,6,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'05005b169',55345.13714240,9.932,0.024,2.860,9.010,0.028,2.232,6.466,0.020,2.007,4.366,0.050,0.794,1.0,9,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'05008a144',55345.20323060,9.912,0.020,2.816,8.955,0.023,2.432,6.507,0.020,1.821,4.369,0.028,0.794,1.0,1,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'05001b169',55345.00483860,9.897,0.024,2.827,8.977,0.022,2.286,6.519,0.020,1.848,4.371,0.036,0.794,1.0,50,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'05004a144',55345.07092680,9.907,0.021,2.816,8.995,0.023,2.230,6.526,0.017,1.879,4.376,0.042,0.795,1.0,29,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10489a113',55526.46018130,9.952,0.032,2.961,9.019,0.024,2.252,,,,,,,1.0,69,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'05000a143',55344.93862300,9.935,0.024,2.872,9.015,0.020,2.241,6.512,0.018,1.827,4.414,0.056,0.847,1.0,71,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'04993b169',55344.74023090,9.926,0.026,2.838,8.993,0.020,2.233,6.519,0.022,1.847,4.381,0.049,0.798,1.0,91,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'04985b169',55344.47562320,9.839,0.022,3.234,8.976,0.026,2.291,6.527,0.018,1.887,4.303,0.047,0.922,1.0,8,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'04997b169',55344.87253470,9.900,0.023,2.821,8.978,0.018,2.279,6.488,0.018,1.849,4.405,0.045,0.828,1.0,91,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'04989b169',55344.60792700,9.928,0.030,2.844,8.918,0.022,2.925,6.526,0.020,1.880,4.373,0.045,0.794,1.0,51,b'0000',1.255875,105.870705
b'3441m182_ac51-062340',343.5245220,-17.5820354,b'22h54m05.89s',b'-17d34m55.33s',1,0,b'0000',b'10481a113',55526.19570020,10.005,0.024,3.513,9.046,0.021,2.397,,,,,,,1.0,73,b'0000',1.255875,105.870705
