ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
343.5244138,-17.5820527,b'22h54m05.86s',b'-17d34m55.39s',0.0452,0.0437,-0.0054,9.992,0.021,51.9,24.390,9.162,0.030,35.7,1.880,1,0,b'0000',b'AA',5,57538.17242826,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,0.92986,115.869559
343.5244185,-17.5820704,b'22h54m05.86s',b'-17d34m55.45s',0.0335,0.0289,-0.0103,9.982,0.021,52.4,44.070,9.085,0.015,73.2,42.310,1,0,b'0000',b'AA',5,56988.35474012,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,0.973478,118.831196
343.5244501,-17.5820427,b'22h54m05.87s',b'-17d34m55.35s',0.0324,0.0277,0.0029,9.917,0.017,62.1,6.132,9.051,0.016,69.4,5.015,1,0,b'0000',b'AA',10,57903.19680543,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.029903,111.03789
343.5244533,-17.5820430,b'22h54m05.87s',b'-17d34m55.35s',0.0307,0.0294,-0.0069,10.145,0.019,57.6,8.615,9.136,0.016,67.4,6.836,1,0,b'0000',b'AA',5,58998.80219117,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.040548,110.876319
343.5244557,-17.5820623,b'22h54m05.87s',b'-17d34m55.42s',0.0331,0.0297,-0.0063,9.931,0.017,62.5,2.884,9.106,0.016,65.9,4.009,1,0,b'0000',b'AA',5,57539.15509501,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.074788,114.182433
343.5244796,-17.5819870,b'22h54m05.88s',b'-17d34m55.15s',0.0274,0.0256,0.0064,9.982,0.017,65.1,5.545,9.047,0.013,82.7,6.566,1,0,b'0000',b'AA',5,57538.69655080,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.075882,99.048304
343.5244846,-17.5819251,b'22h54m05.88s',b'-17d34m54.93s',0.0317,0.0272,0.0079,10.274,0.015,71.9,83.130,9.233,0.015,72.3,56.260,1,0,b'0000',b'AA',0,58267.01532093,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.080985,87.155783
343.5244734,-17.5820389,b'22h54m05.87s',b'-17d34m55.34s',0.0312,0.0262,0.0056,10.004,0.016,68.9,2.516,9.046,0.013,80.6,2.563,1,0,b'0000',b'AA',5,57171.69220856,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.100408,108.877969
343.5244788,-17.5820384,b'22h54m05.87s',b'-17d34m55.34s',0.0485,0.0448,-0.0177,10.043,0.020,54.5,0.578,9.129,0.037,29.7,0.194,1,0,b'0000',b'AA',10,57538.17230095,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.117387,108.483177
343.5244924,-17.5820042,b'22h54m05.88s',b'-17d34m55.22s',0.0307,0.0280,-0.0037,10.113,0.017,64.4,7.548,9.140,0.017,63.0,5.524,1,0,b'0000',b'AA',10,58998.47518699,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.130302,101.798882
343.5244751,-17.5820587,b'22h54m05.87s',b'-17d34m55.41s',0.0276,0.0234,0.0019,9.930,0.014,77.9,52.880,9.038,0.013,86.0,2.105,1,0,b'0000',b'AA',10,56987.89454012,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.130891,112.201289
343.5244939,-17.5819979,b'22h54m05.88s',b'-17d34m55.19s',0.0292,0.0281,-0.0081,10.001,0.017,62.9,3.276,9.131,0.016,67.3,3.722,1,0,b'0000',b'AA',10,58634.73638113,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.130946,100.620737
343.5244859,-17.5820377,b'22h54m05.88s',b'-17d34m55.34s',0.0307,0.0270,0.0075,10.006,0.015,70.1,3.148,9.064,0.014,75.3,3.038,1,0,b'0000',b'AA',5,57535.87920090,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.139741,107.974699
343.5244756,-17.5820687,b'22h54m05.87s',b'-17d34m55.45s',0.0330,0.0289,-0.0042,9.998,0.020,54.0,5.595,9.022,0.016,67.3,6.546,1,0,b'0000',b'AA',10,58429.65552971,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.14655,113.83474
343.5244997,-17.5819988,b'22h54m05.88s',b'-17d34m55.20s',0.0290,0.0269,0.0033,9.950,0.017,63.9,4.328,9.013,0.015,73.1,5.452,1,0,b'0000',b'AA',5,56809.88355850,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.151106,100.596645
343.5244882,-17.5820426,b'22h54m05.88s',b'-17d34m55.35s',0.0324,0.0292,0.0033,10.003,0.018,59.0,2.177,9.025,0.016,69.0,1.536,1,0,b'0000',b'AA',10,57535.68259122,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.152783,108.687608
343.5244905,-17.5820368,b'22h54m05.88s',b'-17d34m55.33s',0.0314,0.0271,-0.0097,9.993,0.016,67.5,8.264,9.067,0.015,73.1,7.600,1,0,b'0000',b'AA',5,58634.60547790,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.153786,107.579735
343.5244970,-17.5820244,b'22h54m05.88s',b'-17d34m55.29s',0.0290,0.0262,0.0074,10.002,0.017,64.3,5.106,9.021,0.014,77.7,4.128,1,0,b'0000',b'AA',10,58633.88601936,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.162612,105.149774
343.5244909,-17.5820466,b'22h54m05.88s',b'-17d34m55.37s',0.0316,0.0276,0.0037,9.883,0.017,65.4,11.460,8.989,0.015,73.6,7.863,1,0,b'0000',b'AA',5,58267.40790372,3441018201351062340,9.909,0.022,9.002,0.021,6.504,0.016,4.369,0.027,44227058,12.873,0.0375,12.231,0.0465,11.262,0.0259,1.166222,109.211922
