source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'11585b091',55562.72890190,10.963,0.026,14.580,10.159,0.023,3.611,,,,,,,1.0,104,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'11573b091',55562.33211610,11.045,0.027,14.630,10.186,0.021,3.668,,,,,,,1.0,40,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'11578a017',55562.46429310,11.002,0.020,14.480,10.174,0.023,3.628,,,,,,,1.0,46,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'05909a188',55375.00825630,10.956,0.021,14.630,10.166,0.023,3.614,6.712,0.020,1.819,3.807,0.031,0.873,1.0,59,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'11570a005',55562.19981170,11.040,0.021,14.590,10.207,0.022,3.796,,,,,,,0.5,55,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'05901a188',55374.74364880,11.058,0.028,14.720,10.143,0.023,3.635,6.718,0.020,1.830,3.749,0.027,0.719,1.0,45,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'05905a188',55374.87595260,10.958,0.024,14.610,10.148,0.022,3.622,6.717,0.017,1.829,3.751,0.026,0.719,1.0,42,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'05897a187',55374.61134500,11.000,0.028,14.480,10.133,0.023,3.674,6.702,0.021,1.814,3.780,0.030,0.764,1.0,63,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'05897a189',55374.61147240,10.976,0.026,14.520,10.125,0.027,3.720,6.700,0.022,1.816,3.724,0.034,0.750,1.0,64,b'0000',0.074467,61.102503
b'2052p302_ac51-031139',205.2964310,30.3781300,b'13h41m11.14s',b'30d22m41.27s',1,0,b'0000',b'05893a122',55374.47916870,10.991,0.025,14.480,10.120,0.022,3.755,6.691,0.022,1.838,3.725,0.032,0.747,1.0,85,b'0000',0.074467,61.102503
