ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
121.9209555,39.0042841,b'08h07m41.03s',b'39d00m15.42s',0.0371,0.0342,-0.0101,11.299,0.018,60.1,33.140,10.658,0.019,57.8,9.277,1,0,b'0000',b'AA',10,58931.67511919,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.275425,345.59037
121.9208859,39.0042327,b'08h07m41.01s',b'39d00m15.24s',0.0382,0.0349,-0.0128,11.079,0.019,56.8,17.430,10.614,0.019,56.0,5.824,1,0,b'0000',b'AA',10,58567.91414369,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.275648,287.245786
121.9208907,39.0042658,b'08h07m41.01s',b'39d00m15.36s',0.0385,0.0408,-0.0051,11.087,0.023,47.7,16.960,10.638,0.020,53.8,2.826,1,0,b'0000',b'AA',5,58773.86755531,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.320568,308.802538
121.9208681,39.0041904,b'08h07m41.01s',b'39d00m15.09s',0.0387,0.0399,0.0088,11.035,0.021,52.0,18.060,10.660,0.021,52.2,4.061,1,0,b'0000',b'AA',10,58200.10364093,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.320906,257.297974
121.9208643,39.0042017,b'08h07m41.01s',b'39d00m15.13s',0.0382,0.0427,-0.0202,11.098,0.021,52.4,16.790,10.567,0.020,53.7,4.635,1,0,b'0000',b'AA',10,58566.93274970,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.32506,264.725777
121.9208668,39.0042370,b'08h07m41.01s',b'39d00m15.25s',0.0380,0.0381,0.0007,11.195,0.020,55.4,16.610,10.653,0.020,54.4,2.759,1,0,b'0000',b'AA',10,58046.04415034,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.331263,287.062906
121.9208656,39.0042468,b'08h07m41.01s',b'39d00m15.29s',0.0359,0.0372,-0.0100,11.185,0.018,61.2,16.520,10.632,0.023,47.2,3.311,1,0,b'0000',b'AA',10,58045.71689169,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.346375,292.487018
121.9208562,39.0042246,b'08h07m41.01s',b'39d00m15.21s',0.0371,0.0385,-0.0091,11.143,0.020,55.4,18.980,10.631,0.020,54.4,3.409,1,0,b'0000',b'AA',10,58045.45495748,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.350308,278.629365
121.9208681,39.0042557,b'08h07m41.01s',b'39d00m15.32s',0.0380,0.0378,0.0155,11.149,0.019,56.4,32.810,10.665,0.021,51.0,11.790,1,0,b'0000',b'AA',0,58410.31684801,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.353649,297.72396
121.9208562,39.0041849,b'08h07m41.01s',b'39d00m15.07s',0.0392,0.0364,-0.0068,11.049,0.021,51.8,17.800,10.447,0.020,54.8,5.156,1,0,b'0000',b'AA',10,57479.23308162,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.357937,255.377462
121.9208670,39.0042575,b'08h07m41.01s',b'39d00m15.33s',0.0370,0.0369,-0.0159,11.095,0.017,65.0,20.800,10.662,0.020,54.0,6.932,1,0,b'0000',b'AA',5,58409.59700633,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.359412,298.410182
121.9208599,39.0042504,b'08h07m41.01s',b'39d00m15.30s',0.0387,0.0438,-0.0156,11.296,0.018,61.2,52.160,10.894,0.022,49.2,14.890,1,0,b'0000',b'AA',0,59141.22322338,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.366118,293.406581
121.9208533,39.0042369,b'08h07m41.00s',b'39d00m15.25s',0.0378,0.0389,-0.0178,10.977,0.021,52.3,11.440,10.476,0.021,51.9,5.449,1,0,b'0000',b'AA',5,56952.88408028,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.367444,285.28098
121.9208497,39.0042236,b'08h07m41.00s',b'39d00m15.20s',0.0345,0.0359,-0.0082,11.071,0.019,57.8,13.650,10.608,0.020,55.6,3.698,1,0,b'0000',b'AA',10,58567.65246410,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.367791,277.649823
121.9208478,39.0042097,b'08h07m41.00s',b'39d00m15.15s',0.0394,0.0390,-0.0076,11.027,0.021,52.2,18.570,10.593,0.021,51.8,3.878,1,0,b'0000',b'AA',10,58200.23403540,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.369841,269.832727
121.9208457,39.0042342,b'08h07m41.00s',b'39d00m15.24s',0.0347,0.0401,-0.0103,11.102,0.020,55.1,15.810,10.625,0.019,58.3,4.286,1,0,b'0000',b'AA',10,58567.19442929,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.385683,283.055051
121.9208419,39.0041982,b'08h07m41.00s',b'39d00m15.11s',0.0348,0.0384,-0.0045,11.058,0.019,55.9,13.920,10.577,0.021,52.9,2.095,1,0,b'0000',b'AA',10,58199.97286435,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.388672,263.725342
121.9208489,39.0042467,b'08h07m41.00s',b'39d00m15.29s',0.0344,0.0353,-0.0143,11.032,0.017,62.7,12.630,10.473,0.019,57.1,2.223,1,0,b'0000',b'AA',10,56952.62100014,1219139301351018776,10.970,0.023,10.380,0.021,6.440,0.015,3.332,0.022,587579587,13.188,0.0422,12.507,0.0505,11.980,0.0311,0.389837,289.810871
