source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05114a180',55348.74359960,9.898,0.029,23.630,9.071,0.022,8.648,6.042,0.017,18.270,3.790,0.022,4.190,1.0,38,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10868a098',55538.99101920,9.967,0.029,23.910,9.215,0.030,9.908,,,,,,,1.0,81,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05113a156',55348.67751130,9.865,0.021,23.770,9.030,0.016,8.969,5.994,0.016,17.920,3.824,0.039,4.238,1.0,48,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05110a181',55348.61142310,9.843,0.024,23.970,9.036,0.026,8.901,5.982,0.019,17.950,3.707,0.035,4.579,1.0,56,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05102a181',55348.34681550,9.878,0.022,23.690,9.061,0.023,8.691,5.961,0.016,18.100,3.792,0.033,4.190,1.0,119,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05099a109',55348.21451170,9.880,0.022,23.680,9.039,0.021,8.869,5.894,0.017,19.680,3.700,0.046,4.653,1.0,105,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05110a179',55348.61129570,10.003,0.029,24.330,9.040,0.021,8.855,6.029,0.020,18.110,3.805,0.031,4.197,1.0,55,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05107a103',55348.47911930,9.922,0.024,23.650,9.084,0.021,8.616,5.984,0.016,17.940,3.754,0.034,4.265,1.0,81,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05114a181',55348.74372690,9.864,0.028,23.770,9.058,0.024,8.712,5.945,0.019,18.330,3.758,0.037,4.251,1.0,39,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10872a050',55539.12332350,9.855,0.019,23.850,9.160,0.017,9.041,,,,,,,0.5,53,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05118a180',55348.87590340,9.869,0.027,23.740,9.055,0.024,8.727,6.011,0.017,17.970,3.765,0.033,4.229,1.0,34,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05117a156',55348.80981520,9.926,0.021,23.660,9.058,0.019,8.710,5.994,0.018,17.920,3.818,0.028,4.221,1.0,33,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05125a156',55349.07442290,9.939,0.024,23.710,9.054,0.025,8.737,6.040,0.015,18.250,3.834,0.037,4.273,1.0,66,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05121a156',55348.94211900,9.993,0.026,24.190,9.117,0.023,8.679,5.947,0.015,18.300,3.800,0.021,4.193,1.0,40,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05133a156',55349.33903040,9.894,0.024,23.640,9.081,0.022,8.620,6.031,0.017,18.130,3.838,0.025,4.288,1.0,121,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'05129a103',55349.20672670,9.919,0.020,23.640,9.067,0.021,8.665,6.018,0.014,18.010,3.778,0.032,4.200,1.0,103,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10845b122',55538.26353640,9.884,0.024,23.670,9.133,0.022,8.782,,,,,,,0.5,36,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10842a031',55538.13135940,9.948,0.025,23.760,9.103,0.023,8.628,,,,,,,1.0,53,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10852a031',55538.46192920,9.746,0.027,26.040,9.113,0.022,8.660,,,,,,,1.0,38,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10849b123',55538.39584070,9.967,0.024,23.910,9.127,0.023,8.741,,,,,,,1.0,31,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10856a098',55538.59423360,9.930,0.021,23.670,9.073,0.023,8.642,,,,,,,1.0,64,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10853b123',55538.52814500,9.937,0.021,23.700,9.097,0.022,8.619,,,,,,,1.0,50,b'0000',0.755102,289.611338
b'1743p212_ac51-042663',174.1222275,21.5961104,b'11h36m29.33s',b'21d35m46.00s',1,0,b'0000',b'10857b123',55538.66044940,9.872,0.023,23.720,9.357,0.033,13.840,,,,,,,0.5,82,b'0000',0.755102,289.611338
