ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
174.1223173,21.5960748,b'11h36m29.36s',b'21d35m45.87s',0.0296,0.0290,-0.0041,10.019,0.017,62.3,41.890,9.215,0.016,68.6,20.660,1,0,b'0000',b'AA',5,58824.89097559,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.42939,286.963365
174.1223218,21.5960893,b'11h36m29.36s',b'21d35m45.92s',0.0312,0.0331,-0.0116,10.025,0.021,52.7,46.000,9.297,0.017,64.2,17.630,1,0,b'0000',b'AA',5,57729.71860108,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.433637,294.160031
174.1223335,21.5961129,b'11h36m29.36s',b'21d35m46.01s',0.0252,0.0259,-0.0069,10.030,0.014,75.0,53.790,9.301,0.014,75.2,6.638,1,0,b'0000',b'AA',10,57000.48039838,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.442671,306.360002
174.1223190,21.5960983,b'11h36m29.36s',b'21d35m45.95s',0.0287,0.0284,-0.0110,9.986,0.016,67.8,27.900,9.175,0.014,77.7,9.020,1,0,b'0000',b'AA',5,56810.90480622,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.456166,297.392966
174.1223153,21.5961162,b'11h36m29.36s',b'21d35m46.02s',0.0224,0.0253,-0.0060,10.031,0.015,74.7,69.150,9.271,0.012,91.7,19.730,1,0,b'0000',b'AA',5,57001.07188439,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.499484,303.312979
174.1223053,21.5961022,b'11h36m29.35s',b'21d35m45.97s',0.0314,0.0328,-0.0140,9.873,0.020,55.0,19.130,9.170,0.017,65.8,11.870,1,0,b'0000',b'AA',5,59192.29388412,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.503421,296.410372
174.1223009,21.5960938,b'11h36m29.35s',b'21d35m45.94s',0.0293,0.0295,-0.0089,10.024,0.015,72.4,25.090,9.270,0.016,68.6,9.283,1,0,b'0000',b'AA',5,58252.78453524,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.504283,292.586001
174.1222963,21.5960826,b'11h36m29.35s',b'21d35m45.90s',0.0273,0.0284,-0.0108,9.986,0.015,74.3,38.390,9.194,0.015,72.1,11.300,1,0,b'0000',b'AA',5,56810.70743281,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.504864,287.683993
174.1222942,21.5960930,b'11h36m29.35s',b'21d35m45.93s',0.0285,0.0284,-0.0057,10.089,0.016,67.5,66.110,9.366,0.016,69.3,28.170,1,0,b'0000',b'AA',10,57365.39230374,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.524008,291.353343
174.1222974,21.5961045,b'11h36m29.35s',b'21d35m45.98s',0.0272,0.0320,0.0012,10.054,0.019,57.0,51.640,9.367,0.015,71.8,19.230,1,0,b'0000',b'AA',10,57730.04611501,1743121201351042663,9.906,0.022,9.090,0.020,5.994,0.015,3.792,0.023,585761557,13.267,0.0736,12.325,0.0702,11.370,0.0361,0.530806,295.941235
