ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
88.0474176,-7.4562082,b'05h52m11.38s',b'-07d27m22.35s',0.0259,0.0233,-0.0060,8.515,0.014,75.8,55.200,7.876,0.012,89.1,14.840,1,0,b'0000',b'AA',10,58016.92068005,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.010647,307.103709
88.0474155,-7.4562086,b'05h52m11.38s',b'-07d27m22.35s',0.0237,0.0258,-0.0051,8.530,0.017,65.4,40.100,7.854,0.013,82.5,25.050,1,0,b'0000',b'AA',10,58381.86065396,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.016835,287.419989
88.0474169,-7.4562144,b'05h52m11.38s',b'-07d27m22.37s',0.0265,0.0274,-0.0096,8.387,0.016,67.5,36.670,7.648,0.014,77.9,11.070,1,0,b'0000',b'AA',10,57650.66288032,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.019439,214.937689
88.0474139,-7.4562118,b'05h52m11.38s',b'-07d27m22.36s',0.0256,0.0221,0.0022,8.516,0.018,61.7,86.010,7.906,0.011,96.8,76.580,1,0,b'dd00',b'AA',0,58745.81325031,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.022794,253.427081
88.0474247,-7.4562175,b'05h52m11.38s',b'-07d27m22.38s',0.0270,0.0214,-0.0081,8.383,0.015,70.6,56.950,7.736,0.013,83.2,22.480,1,0,b'0000',b'AA',10,59113.37456953,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.031793,148.144515
88.0474287,-7.4562076,b'05h52m11.38s',b'-07d27m22.35s',0.0272,0.0241,0.0036,8.502,0.016,70.0,71.780,7.931,0.014,78.4,22.730,1,0,b'0000',b'AA',10,58539.05334181,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.032236,74.452659
88.0474266,-7.4562161,b'05h52m11.38s',b'-07d27m22.38s',0.0261,0.0232,-0.0033,8.524,0.015,71.8,54.640,7.878,0.014,80.1,20.150,1,0,b'0000',b'AA',10,58903.73945058,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.032236,132.988018
88.0474272,-7.4562161,b'05h52m11.38s',b'-07d27m22.38s',0.0251,0.0230,-0.0078,8.399,0.014,77.0,46.120,7.634,0.012,91.4,11.240,1,0,b'0000',b'AA',10,57650.26978683,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.033809,130.512139
88.0474290,-7.4562147,b'05h52m11.38s',b'-07d27m22.37s',0.0258,0.0245,-0.0021,8.261,0.016,69.2,43.850,7.470,0.014,78.5,11.220,1,0,b'0000',b'AA',10,57451.23889544,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.036367,117.774683
88.0474143,-7.4562184,b'05h52m11.38s',b'-07d27m22.39s',0.0240,0.0217,-0.0072,8.187,0.016,68.2,41.960,7.427,0.012,89.6,20.810,1,0,b'0000',b'AA',10,57450.97670596,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.036497,213.933993
88.0474302,-7.4562127,b'05h52m11.38s',b'-07d27m22.37s',0.0234,0.0213,0.0050,8.200,0.016,67.3,37.910,7.577,0.012,92.0,13.560,1,0,b'0000',b'AA',10,57286.17532243,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.037644,104.947281
88.0474105,-7.4562055,b'05h52m11.38s',b'-07d27m22.34s',0.0245,0.0231,0.0031,8.529,0.014,78.4,68.710,7.855,0.013,85.6,17.630,1,0,b'0000',b'AA',10,58748.82275063,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.037644,295.53491
88.0474150,-7.4562193,b'05h52m11.38s',b'-07d27m22.39s',0.0257,0.0231,-0.0068,8.369,0.013,81.3,52.030,7.647,0.012,88.8,15.650,1,0,b'0000',b'AA',10,57650.40081801,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.037894,208.061557
88.0474165,-7.4562208,b'05h52m11.38s',b'-07d27m22.39s',0.0258,0.0236,-0.0079,8.517,0.015,71.5,56.710,7.872,0.012,91.8,17.540,1,0,b'0000',b'AA',10,58017.77180659,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.040891,197.813967
88.0474141,-7.4562198,b'05h52m11.38s',b'-07d27m22.39s',0.0262,0.0229,-0.0108,8.581,0.013,82.4,62.050,7.862,0.013,85.5,17.070,1,0,b'0000',b'AA',10,58904.00100297,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.041122,210.835095
88.0474289,-7.4562175,b'05h52m11.38s',b'-07d27m22.38s',0.0266,0.0237,-0.0082,8.327,0.016,68.1,39.620,7.589,0.012,88.6,13.460,1,0,b'0000',b'AA',10,57286.10961594,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.041692,130.360644
88.0474081,-7.4562119,b'05h52m11.38s',b'-07d27m22.36s',0.0255,0.0239,-0.0104,8.621,0.014,75.3,69.810,7.882,0.014,76.5,20.810,1,0,b'0000',b'AA',10,58539.24956993,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.04303,260.852444
88.0474104,-7.4562176,b'05h52m11.38s',b'-07d27m22.38s',0.0257,0.0243,-0.0120,8.534,0.013,81.2,59.330,7.855,0.013,86.4,20.780,1,0,b'0000',b'AA',10,58017.24806578,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.0439,231.395509
88.0474295,-7.4562178,b'05h52m11.38s',b'-07d27m22.38s',0.0281,0.0247,-0.0099,8.512,0.015,72.5,56.870,7.848,0.015,72.0,10.390,1,0,b'0000',b'AA',10,58174.70022703,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.044007,129.626606
88.0474104,-7.4562022,b'05h52m11.38s',b'-07d27m22.33s',0.0238,0.0219,-0.0047,8.509,0.014,79.6,54.610,7.906,0.012,91.8,18.300,1,0,b'0000',b'AA',10,58382.18778551,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.044328,309.332178
88.0474208,-7.4562236,b'05h52m11.38s',b'-07d27m22.40s',0.0248,0.0224,-0.0063,8.387,0.013,81.9,38.670,7.637,0.012,92.3,13.930,1,0,b'0000',b'AA',10,56923.95746042,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.049081,176.66194
88.0474267,-7.4562224,b'05h52m11.38s',b'-07d27m22.40s',0.0231,0.0224,-0.0046,8.470,0.015,72.0,41.740,7.740,0.012,89.1,23.690,1,0,b'0000',b'AA',10,59113.04756630,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.050598,151.819652
88.0474300,-7.4562200,b'05h52m11.38s',b'-07d27m22.39s',0.0265,0.0270,-0.0086,8.559,0.020,55.7,37.480,7.866,0.014,79.1,25.270,1,0,b'0000',b'AA',10,58748.75742641,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.050691,135.243265
88.0474126,-7.4562222,b'05h52m11.38s',b'-07d27m22.40s',0.0245,0.0247,-0.0077,8.236,0.016,68.0,35.290,7.475,0.012,87.7,7.630,1,0,b'0000',b'AA',10,57451.04215782,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.051247,211.023901
88.0474106,-7.4562222,b'05h52m11.38s',b'-07d27m22.40s',0.0251,0.0210,-0.0071,8.576,0.014,78.6,65.700,7.904,0.012,94.2,27.950,1,0,b'0000',b'AA',10,58539.64215355,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.055239,217.378986
88.0474212,-7.4561946,b'05h52m11.38s',b'-07d27m22.30s',0.0272,0.0261,-0.0137,8.551,0.015,72.8,53.990,7.911,0.015,74.2,18.520,1,0,b'0000',b'AA',10,58749.34610919,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.05558,4.418078
88.0474230,-7.4562253,b'05h52m11.38s',b'-07d27m22.41s',0.0217,0.0226,-0.0050,8.356,0.015,74.0,42.760,7.570,0.011,95.1,20.620,1,0,b'0000',b'AA',10,57286.43763900,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.056088,168.997784
88.0474348,-7.4562035,b'05h52m11.38s',b'-07d27m22.33s',0.0272,0.0282,-0.0037,8.574,0.016,67.6,49.500,7.869,0.014,76.8,18.290,1,0,b'0000',b'AA',10,58746.07480206,884007601351031684,8.236,0.022,7.455,0.021,4.830,0.015,2.556,0.018,143304095,11.930,0.1040,11.066,0.1130,10.149,0.0580,0.057747,66.109796
