source_id_mf,ra,dec,clon,clat,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'05689b194',55367.76300200,10.109,0.022,21.200,9.375,0.023,7.086,6.070,0.024,4.414,3.379,0.032,1.011,1.0,91,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'05689b193',55367.76287460,10.015,0.028,21.650,9.427,0.022,6.635,6.050,0.017,4.419,3.406,0.038,1.192,1.0,92,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'05693b193',55367.89517850,10.009,0.028,21.730,9.424,0.022,6.643,6.116,0.019,4.832,3.347,0.020,0.882,1.0,81,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'11134a112',55547.81823720,10.220,0.022,22.410,9.496,0.027,6.912,,,,,,,1.0,-19,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'11142a112',55548.08284600,10.100,0.030,21.170,9.476,0.025,6.736,,,,,,,0.5,35,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'11130a111',55547.68593270,10.050,0.025,21.290,9.477,0.023,6.742,,,,,,,1.0,0,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'11130a113',55547.68606010,10.092,0.025,21.160,9.496,0.028,6.904,,,,,,,0.5,-1,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'05724a168',55368.88739310,10.072,0.022,21.190,9.431,0.020,6.623,6.077,0.022,4.442,3.340,0.031,0.868,1.0,83,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'11014a108',55543.85024990,10.113,0.027,21.210,9.461,0.021,6.655,,,,,,,1.0,-20,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'05720a168',55368.75508930,10.045,0.023,21.320,9.381,0.027,7.004,6.046,0.018,4.432,3.334,0.021,0.861,1.0,90,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'05720a169',55368.75521660,10.072,0.026,21.190,9.396,0.024,6.828,6.082,0.017,4.466,3.308,0.035,0.875,1.0,90,b'0000',0.059599,172.358708
b'0099m243_ac51-055795',10.7200424,-23.5410464,b'00h42m52.81s',b'-23d32m27.77s',1,0,b'0000',b'05712a169',55368.49060910,10.044,0.023,21.340,9.361,0.020,7.332,6.060,0.020,4.402,3.306,0.035,0.878,1.0,14,b'0000',0.059599,172.358708
