ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
135.6643193,-68.2268292,b'09h02m39.44s',b'-68d13m36.59s',0.0297,0.0289,0.0092,10.174,0.017,63.1,86.880,9.780,0.017,65.1,32.440,1,0,b'0000',b'AA',10,57212.78332440,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.014416,281.396008
135.6643186,-68.2268284,b'09h02m39.44s',b'-68d13m36.58s',0.0276,0.0335,0.0095,10.145,0.015,73.6,110.300,9.912,0.016,69.1,28.050,1,0,b'0000',b'AA',10,58134.95654748,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.016264,290.725262
135.6643407,-68.2268261,b'09h02m39.44s',b'-68d13m36.57s',0.0312,0.0332,0.0068,10.144,0.018,59.2,75.450,9.914,0.017,62.9,23.280,1,0,b'gg00',b'AA',10,56681.11677715,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.019919,45.502276
135.6643524,-68.2268330,b'09h02m39.44s',b'-68d13m36.60s',0.0288,0.0344,0.0096,10.231,0.015,73.3,101.900,9.911,0.016,66.1,27.200,1,0,b'0000',b'AA',10,58296.93742103,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.031793,109.852567
135.6643334,-68.2268391,b'09h02m39.44s',b'-68d13m36.62s',0.0285,0.0310,0.0037,10.219,0.016,68.2,114.000,9.860,0.015,70.4,39.120,1,0,b'0000',b'AA',10,57214.02983303,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.033104,172.109622
135.6643100,-68.2268356,b'09h02m39.43s',b'-68d13m36.61s',0.0293,0.0324,0.0105,10.217,0.015,73.5,102.200,9.933,0.017,65.2,24.720,1,0,b'0000',b'AA',10,57767.92034141,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.033529,232.952537
135.6643449,-68.2268385,b'09h02m39.44s',b'-68d13m36.62s',0.0304,0.0332,0.0111,10.222,0.016,69.2,87.290,10.002,0.018,59.5,27.040,1,0,b'0000',b'AA',10,59024.38804325,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.036497,146.967133
135.6643231,-68.2268190,b'09h02m39.44s',b'-68d13m36.55s',0.0305,0.0332,0.0134,10.212,0.016,69.9,98.030,9.914,0.016,69.8,27.190,1,0,b'0000',b'AA',10,58498.93201353,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.04066,346.901686
135.6642983,-68.2268290,b'09h02m39.43s',b'-68d13m36.58s',0.0309,0.0284,0.0070,10.076,0.017,62.3,91.260,9.850,0.015,71.9,39.030,1,0,b'0000',b'AA',10,57041.50075884,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.042478,274.860969
135.6642977,-68.2268248,b'09h02m39.43s',b'-68d13m36.57s',0.0303,0.0325,0.0091,10.121,0.016,65.8,94.410,9.838,0.016,66.1,24.040,1,0,b'0000',b'AA',10,57041.76358491,1345068201351029393,10.143,0.022,9.833,0.020,7.080,0.015,4.660,0.025,722084976,12.827,0.0970,12.024,0.1000,11.639,0.0790,0.047017,293.461578
