ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
168.5104854,20.3874706,b'11h14m02.52s',b'20d23m14.89s',0.0442,0.0448,-0.0124,11.295,0.021,52.2,83.090,11.251,0.027,40.8,38.430,1,0,b'0000',b'AA',5,58456.84321581,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,0.951626,43.859582
168.5104959,20.3874653,b'11h14m02.52s',b'20d23m14.88s',0.0433,0.0486,-0.0087,11.305,0.020,55.3,68.580,11.464,0.033,33.0,24.650,1,0,b'0000',b'AA',10,58821.22898736,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,0.9632,46.166336
168.5105168,20.3874451,b'11h14m02.52s',b'20d23m14.80s',0.0397,0.0439,0.0092,11.283,0.019,57.3,101.700,11.258,0.029,37.5,43.720,1,0,b'h000',b'AA',5,57358.76994012,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,0.969023,52.166999
168.5104013,20.3875299,b'11h14m02.50s',b'20d23m15.11s',0.0377,0.0409,-0.0137,11.258,0.016,66.8,88.600,11.223,0.026,42.1,33.030,1,0,b'h000',b'AA',10,56996.14300025,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,0.974894,22.659494
168.5104418,20.3875208,b'11h14m02.51s',b'20d23m15.07s',0.0422,0.0465,-0.0112,11.143,0.021,51.7,62.310,11.180,0.028,38.8,35.220,1,0,b'gg00',b'AA',10,56996.99756676,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,1.006917,30.579223
168.5105213,20.3874729,b'11h14m02.53s',b'20d23m14.90s',0.0386,0.0458,-0.0154,11.256,0.018,59.1,90.080,11.186,0.024,44.9,32.310,1,0,b'h000',b'AA',10,58456.77776407,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,1.04473,48.340001
168.5104973,20.3875166,b'11h14m02.52s',b'20d23m15.06s',0.0414,0.0451,-0.0115,11.278,0.020,55.4,86.600,11.286,0.029,37.6,46.880,1,0,b'0000',b'AA',10,59185.36287897,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,1.102196,39.395483
168.5104306,20.3875598,b'11h14m02.50s',b'20d23m15.22s',0.0395,0.0425,-0.0105,11.274,0.017,63.4,87.670,11.122,0.030,36.8,37.290,1,0,b'0000',b'AA',10,57358.63878166,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,1.113427,25.221552
168.5104543,20.3875517,b'11h14m02.51s',b'20d23m15.19s',0.0429,0.0574,0.0065,11.234,0.024,45.5,69.360,11.027,0.027,39.9,37.720,1,0,b'0000',b'AA',10,59185.55897936,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,1.124327,29.545884
168.5104885,20.3875315,b'11h14m02.52s',b'20d23m15.11s',0.0410,0.0448,-0.0166,11.257,0.017,62.4,72.840,11.250,0.028,38.4,20.330,1,0,b'0000',b'AA',10,57358.50762316,,,,,,,,,,615490220,13.112,0.0390,12.468,0.0550,12.188,0.0440,1.126246,36.494882
