ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
18.6038708,-55.3970808,b'01h14m24.93s',b'-55d23m49.49s',0.0270,0.0240,-0.0042,9.841,0.015,72.0,21.810,9.170,0.013,83.2,8.929,1,0,b'0000',b'AA',10,59166.03284771,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.003074,150.408377
18.6038690,-55.3970794,b'01h14m24.93s',b'-55d23m49.49s',0.0327,0.0299,0.0058,9.796,0.019,58.6,17.130,9.196,0.016,67.7,9.100,1,0,b'0000',b'AA',5,59165.83661947,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.003074,316.575111
18.6038649,-55.3970828,b'01h14m24.93s',b'-55d23m49.50s',0.0287,0.0279,-0.0074,9.847,0.016,67.5,27.950,9.202,0.017,65.4,8.642,1,0,b'0000',b'AA',5,59166.22907532,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.014416,225.96771
18.6038772,-55.3970806,b'01h14m24.93s',b'-55d23m49.49s',0.0275,0.0283,0.0047,9.766,0.017,64.3,16.000,9.069,0.014,78.3,5.717,1,0,b'0000',b'AA',10,56995.44531466,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.01474,98.348184
18.6038676,-55.3970742,b'01h14m24.93s',b'-55d23m49.47s',0.0287,0.0250,0.0067,9.749,0.016,67.0,16.400,9.108,0.014,75.5,7.076,1,0,b'0000',b'AA',10,56994.85382884,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.021515,346.776143
18.6038695,-55.3970739,b'01h14m24.93s',b'-55d23m49.47s',0.0294,0.0278,0.0061,9.739,0.018,61.8,21.990,9.000,0.016,66.9,5.634,1,0,b'0000',b'AA',5,57354.27043941,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.02195,357.334919
18.6038719,-55.3970736,b'01h14m24.93s',b'-55d23m49.46s',0.0303,0.0283,0.0053,9.807,0.015,71.5,19.540,9.118,0.015,72.0,5.953,1,0,b'0000',b'AA',10,57543.61879653,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.023408,9.56957
18.6038804,-55.3970760,b'01h14m24.93s',b'-55d23m49.47s',0.0310,0.0298,0.0066,9.908,0.018,61.3,24.650,9.291,0.014,76.3,9.124,1,0,b'0000',b'AA',10,58272.06235439,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.025715,55.891161
18.6038572,-55.3970787,b'01h14m24.93s',b'-55d23m49.48s',0.0302,0.0282,0.0041,9.849,0.018,62.0,25.980,9.274,0.015,74.8,6.232,1,0,b'0000',b'AA',10,58271.40796458,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.026618,280.139756
18.6038838,-55.3970824,b'01h14m24.93s',b'-55d23m49.50s',0.0323,0.0251,-0.0033,9.792,0.017,65.2,19.890,9.180,0.015,74.3,4.285,1,0,b'0000',b'AA',10,58434.55473372,186056101351058206,9.647,0.022,8.943,0.020,6.061,0.014,3.484,0.022,646837843,12.234,0.0483,11.406,0.0464,10.758,0.0345,0.029481,107.027034
